reproduccion_id,usuario_id,cancion_id,fecha,hora,duracion_escucha_seg,completada,modo_reproduccion,dispositivo
74,2895,1303,2022-11-01,03:00,381.0,1,recomendacion,movil
75,4552,972,2023-07-03,15:00,102.0,0,radio,movil
76,1405,1269,2022-12-24,23:00,296.0,1,album,movil
77,131,335,2023-11-27,18:00,75.0,0,recomendacion,movil
78,3285,1364,2023-05-13,15:00,359.0,1,recomendacion,movil
79,2345,1094,2023-09-24,18:00,291.0,1,radio,movil
80,1905,654,2023-05-24,16:00,110.0,0,busqueda,movil
81,4939,159,2022-09-26,18:00,395.0,1,radio,tablet
82,1275,970,2024-04-09,07:00,382.0,1,\N,movil
83,25,1924,2023-04-26,21:00,152.0,1,playlist,tablet
84,2014,554,2024-04-21,12:00,24.0,0,album,movil
85,1608,524,2022-07-08,11:00,97.0,0,radio,movil
86,4327,1140,2023-03-10,12:00,223.0,1,album,movil
87,2321,566,2024-01-17,14:00,371.0,1,playlist,movil
88,2380,1913,2023-09-20,09:00,162.0,1,radio,movil
89,4718,543,2023-11-27,10:00,330.0,1,radio,tablet
90,664,1294,2023-08-15,08:00,176.0,1,album,movil
91,4143,225,2023-09-07,13:00,48.0,0,playlist,pc
92,3342,560,2022-09-09,23:00,174.0,0,busqueda,pc
93,4806,1222,2024-03-04,11:00,236.0,0,radio,pc
94,4328,1807,2023-02-23,12:00,168.0,1,recomendacion,movil
95,18,126,2022-08-31,12:00,238.0,1,busqueda,pc
96,617,1633,2024-01-25,23:00,379.0,1,radio,tablet
97,1922,100,2022-12-30,22:00,305.0,1,recomendacion,pc
98,1611,157,2022-12-18,09:00,338.0,1,album,movil
99,2457,1852,2023-05-30,13:00,132.0,0,radio,pc
100,389,1676,2022-12-11,10:00,195.0,1,radio,movil
101,4837,798,2022-01-28,12:00,373.0,1,recomendacion,tablet
102,3653,1871,2024-04-26,08:00,369.0,1,album,pc
103,4023,1225,2022-05-11,15:00,19.0,0,playlist,movil
104,2182,897,2024-05-19,03:00,205.0,1,playlist,pc
105,2609,5,2022-08-09,22:00,200.0,1,playlist,pc
106,2084,1560,2024-04-30,02:00,159.0,1,radio,movil
107,4433,852,2022-12-05,15:00,140.0,0,album,pc
108,493,1135,2022-08-20,22:00,239.0,1,recomendacion,pc
109,301,1742,2023-08-28,07:00,244.0,1,radio,pc
110,2141,336,2024-07-16,15:00,215.0,1,playlist,tablet
111,2210,280,2023-08-09,05:00,317.0,1,album,movil
112,4369,1879,2024-09-27,07:00,235.0,1,busqueda,movil
113,2639,1516,2024-01-25,08:00,367.0,1,busqueda,pc
114,3855,1429,2024-07-24,23:00,399.0,1,radio,movil
115,1882,59,2024-10-28,08:00,270.0,1,recomendacion,movil
116,4922,1314,2024-08-18,16:00,307.0,1,radio,tablet
117,3843,639,2024-06-27,14:00,35.0,0,recomendacion,movil
118,4387,212,2023-03-24,15:00,289.0,1,album,pc
119,2794,1993,2022-04-25,23:00,16.0,0,recomendacion,movil
120,3358,1268,2023-12-30,18:00,170.0,1,playlist,movil
121,2518,1386,2024-05-08,09:00,167.0,1,playlist,pc
122,671,1633,2024-09-22,10:00,379.0,1,recomendacion,tablet
123,1354,1359,2023-08-19,06:00,292.0,1,busqueda,movil
124,1071,1751,2022-08-01,15:00,267.0,1,playlist,movil
125,4969,1297,2024-10-24,12:00,246.0,1,album,tablet
126,2265,1313,2023-11-20,07:00,334.0,1,recomendacion,movil
127,3664,1481,2023-11-09,02:00,195.0,0,busqueda,movil
128,3981,1793,2024-07-28,21:00,\N,0,busqueda,movil
129,1397,350,2022-11-13,10:00,130.0,0,recomendacion,movil
130,4855,1732,2023-08-18,12:00,252.0,1,radio,pc
131,1293,1745,2023-10-27,18:00,341.0,1,album,movil
132,3508,672,2023-07-15,15:00,63.0,0,radio,pc
133,4791,1947,2024-10-13,09:00,167.0,0,playlist,movil
134,2781,552,2023-04-04,17:00,223.0,1,playlist,movil
135,673,1928,2023-12-03,15:00,123.0,1,recomendacion,movil
136,2623,454,2023-10-18,14:00,97.0,0,album,pc
137,2029,684,2024-09-14,12:00,139.0,1,playlist,tablet
138,3559,1532,2023-10-02,06:00,152.0,1,recomendacion,pc
139,3260,1620,2023-12-27,07:00,291.0,1,radio,movil
140,4906,1021,2022-06-06,04:00,348.0,1,album,pc
141,3133,1848,2024-12-03,08:00,314.0,1,album,movil
142,337,588,2023-03-24,17:00,198.0,1,playlist,movil
143,3151,99,2024-09-12,05:00,113.0,0,album,pc
144,3062,598,2022-05-06,14:00,325.0,1,busqueda,pc
145,3522,112,2023-05-27,12:00,330.0,1,recomendacion,movil
146,3861,1865,2023-02-12,04:00,386.0,1,album,movil
147,1969,1905,2022-05-17,01:00,325.0,1,radio,pc
148,3800,932,2024-10-18,22:00,131.0,1,radio,movil
149,2856,612,2024-02-13,12:00,195.0,1,album,movil
150,4131,227,2023-05-28,21:00,276.0,1,busqueda,movil
151,910,221,2023-02-18,11:00,81.0,0,album,tablet
152,1926,1685,2023-10-08,11:00,288.0,1,album,pc
153,1545,1337,2023-01-29,17:00,31.0,0,playlist,movil
154,4261,645,2023-09-30,23:00,314.0,1,radio,movil
155,2052,36,2022-02-16,07:00,312.0,1,radio,movil
156,2306,1470,2022-01-30,12:00,170.0,1,playlist,movil
157,4154,978,2023-09-01,10:00,274.0,1,radio,movil
158,2005,1505,2023-08-09,15:00,79.0,0,recomendacion,movil
159,1428,1195,2024-07-17,10:00,338.0,1,busqueda,tablet
160,2826,344,2024-09-05,22:00,164.0,1,busqueda,tablet
161,3719,947,2024-11-04,16:00,92.0,0,album,movil
162,4583,1235,2023-06-26,15:00,163.0,0,busqueda,movil
163,2735,1280,2022-06-19,12:00,146.0,1,recomendacion,movil
164,3225,1346,2023-07-20,12:00,86.0,0,busqueda,movil
165,4786,13,2022-10-23,08:00,156.0,1,busqueda,movil
166,1280,1795,2022-12-14,12:00,144.0,0,recomendacion,pc
167,4045,1824,2024-01-19,10:00,165.0,1,recomendacion,pc
168,4908,1408,2024-08-20,19:00,347.0,1,busqueda,pc
169,357,1534,2024-02-09,13:00,68.0,0,album,movil
170,1051,1859,2023-12-05,22:00,153.0,1,busqueda,pc
171,266,1698,2022-06-07,14:00,215.0,1,radio,tablet
172,868,848,2022-03-29,17:00,268.0,1,playlist,movil
173,1045,1643,2024-09-25,16:00,274.0,1,busqueda,pc
174,1454,1000,2023-12-18,14:00,291.0,1,recomendacion,movil
175,4601,1546,2023-02-17,20:00,254.0,1,recomendacion,pc
176,2909,1393,2023-11-25,22:00,155.0,1,radio,tablet
177,576,712,2024-12-03,22:00,381.0,1,busqueda,movil
178,3412,166,2024-01-18,20:00,116.0,0,recomendacion,smart_speaker
179,4634,491,2023-09-10,23:00,195.0,1,radio,tablet
180,116,700,2023-05-29,13:00,352.0,1,playlist,pc
181,588,449,2024-04-26,05:00,396.0,1,album,smart_speaker
182,3043,1907,2023-01-19,06:00,327.0,1,radio,movil
183,1054,167,2024-04-07,03:00,229.0,0,radio,pc
184,3178,1188,2023-10-01,14:00,370.0,1,radio,movil
185,3346,1515,2024-11-05,16:00,378.0,1,album,movil
186,4053,1285,2022-04-30,11:00,325.0,1,radio,movil
187,2848,1667,2023-01-11,08:00,282.0,1,busqueda,tablet
188,988,275,2022-09-30,08:00,205.0,1,playlist,movil
189,1670,1993,2022-08-15,14:00,186.0,1,recomendacion,pc
190,1997,956,2024-10-25,20:00,18.0,0,busqueda,movil
191,3182,10,2023-12-10,08:00,123.0,1,album,tablet
192,2854,855,2022-01-25,13:00,387.0,1,busqueda,movil
193,3208,1271,2024-10-01,14:00,\N,0,recomendacion,movil
194,16,1637,2023-09-26,20:00,197.0,1,album,tablet
195,152,447,2022-11-23,14:00,167.0,0,album,movil
196,3121,424,2024-06-29,10:00,51.0,0,album,movil
197,663,238,2023-12-01,20:00,204.0,1,album,pc
198,4425,7,2022-01-27,23:00,259.0,1,recomendacion,pc
199,3384,1980,2023-11-06,15:00,248.0,1,busqueda,movil
200,525,1455,2023-02-14,22:00,275.0,1,album,pc
201,3823,993,2024-10-26,18:00,17.0,0,album,movil
202,3222,469,2024-03-12,13:00,276.0,1,recomendacion,pc
203,4155,151,2023-09-15,13:00,216.0,1,busqueda,movil
204,84,395,2024-11-21,11:00,271.0,1,recomendacion,pc
205,4926,570,2022-04-11,18:00,17.0,0,radio,movil
206,1622,1365,2024-01-10,09:00,94.0,0,busqueda,movil
207,3672,1952,2023-12-04,06:00,275.0,1,playlist,movil
208,2045,112,2023-12-03,02:00,330.0,1,recomendacion,pc
209,550,258,2022-05-07,13:00,213.0,0,busqueda,pc
210,4945,148,2023-08-22,19:00,396.0,1,recomendacion,movil
211,4119,1843,2024-10-31,10:00,191.0,1,playlist,movil
212,4810,957,2023-11-03,05:00,352.0,1,recomendacion,movil
213,696,837,2022-07-02,08:00,122.0,0,busqueda,movil
214,1365,1964,2022-10-09,14:00,265.0,1,radio,pc
215,2686,1345,2022-08-11,20:00,308.0,1,playlist,tablet
216,4604,1753,2022-09-26,15:00,283.0,1,album,movil
217,2621,939,2023-06-09,17:00,163.0,1,radio,movil
218,1948,1882,2024-03-20,04:00,248.0,1,busqueda,tablet
219,279,1449,2023-11-28,00:00,56.0,0,recomendacion,movil
220,3634,1056,2023-12-11,18:00,341.0,1,recomendacion,movil
221,4843,1550,2024-01-17,23:00,365.0,1,playlist,movil
222,3766,63,2023-08-07,05:00,374.0,1,busqueda,tablet
223,4351,1010,2023-04-16,12:00,346.0,1,radio,movil
224,1146,60,2022-10-06,00:00,124.0,0,album,tablet
225,1294,24,2022-07-25,22:00,305.0,0,radio,movil
226,1801,908,2024-09-03,13:00,346.0,1,radio,pc
227,2050,1031,2023-04-03,11:00,278.0,1,busqueda,movil
228,3769,1312,2024-05-11,13:00,362.0,1,playlist,tablet
229,2671,1005,2023-12-13,13:00,59.0,0,radio,pc
230,2136,801,2024-09-06,01:00,35.0,0,playlist,movil
231,4891,12,2024-03-14,10:00,186.0,1,busqueda,movil
232,4504,1339,2023-07-09,23:00,172.0,1,album,movil
233,4240,1983,2022-04-13,19:00,193.0,1,playlist,tablet
234,775,280,2022-11-26,10:00,55.0,0,radio,movil
235,4058,1593,2022-09-19,12:00,361.0,1,playlist,movil
236,2506,29,2023-11-03,14:00,85.0,0,busqueda,movil
237,107,84,2024-08-14,19:00,385.0,1,playlist,pc
238,4253,1038,2022-03-13,13:00,75.0,0,album,movil
239,2319,500,2023-09-25,18:00,69.0,0,playlist,tablet
240,880,1177,2023-07-20,06:00,224.0,1,radio,movil
241,1795,294,2024-10-16,04:00,230.0,1,busqueda,movil
242,4437,1306,2023-08-25,06:00,171.0,1,album,pc
243,849,178,2024-01-05,16:00,84.0,0,album,tablet
244,118,1184,2023-12-25,16:00,314.0,1,busqueda,pc
245,2569,1157,2022-05-10,20:00,313.0,1,recomendacion,movil
246,1870,1558,2022-03-16,18:00,136.0,0,radio,tablet
247,3189,1747,2024-05-07,23:00,260.0,1,radio,movil
248,4290,1183,2022-12-05,20:00,239.0,0,playlist,movil
249,2538,35,2023-02-18,18:00,389.0,1,radio,movil
250,2350,595,2023-03-23,15:00,169.0,1,playlist,pc
251,1611,835,2024-12-17,05:00,164.0,1,recomendacion,movil
252,3668,1446,2023-02-23,17:00,335.0,1,radio,tablet
253,37,967,2023-05-12,14:00,373.0,1,recomendacion,movil
254,961,456,2022-06-13,15:00,236.0,1,playlist,pc
255,463,699,2024-08-20,15:00,252.0,1,radio,movil
256,1119,1443,2024-10-07,04:00,\N,0,album,movil
257,4348,1987,2022-05-01,22:00,123.0,0,radio,pc
258,4125,1279,2023-07-07,01:00,57.0,0,playlist,tablet
259,3098,897,2023-03-05,12:00,205.0,1,recomendacion,movil
260,4892,967,2022-12-14,10:00,373.0,1,busqueda,tablet
261,3813,132,2023-12-01,18:00,383.0,1,recomendacion,movil
262,2120,1430,2024-04-28,13:00,135.0,1,busqueda,movil
263,2920,1568,2023-10-10,09:00,142.0,1,busqueda,movil
264,4246,1090,2023-09-01,16:00,295.0,1,album,movil
265,4945,1175,2024-05-08,17:00,191.0,0,recomendacion,movil
266,844,1678,2024-01-19,22:00,287.0,1,radio,movil
267,4452,1771,2023-05-27,18:00,355.0,1,radio,movil
268,4051,76,2023-08-11,17:00,283.0,1,\N,pc
269,4985,1116,2024-12-25,00:00,341.0,1,playlist,movil
270,2652,1439,2023-04-03,10:00,270.0,1,busqueda,pc
271,423,510,2024-11-08,22:00,163.0,0,busqueda,movil
272,1975,1750,2024-02-11,07:00,233.0,1,album,movil
273,2946,284,2023-05-16,12:00,397.0,1,playlist,movil
274,2763,1480,2023-11-26,03:00,291.0,1,album,movil
275,4456,16,2024-04-04,08:00,61.0,0,busqueda,tablet
276,3093,226,2022-10-25,14:00,272.0,1,radio,pc
277,4189,1863,2022-11-26,17:00,168.0,1,radio,movil
278,1474,1952,2023-05-29,14:00,65.0,0,playlist,movil
279,2823,1335,2023-03-05,16:00,130.0,0,radio,pc
280,787,1169,2023-01-15,12:00,106.0,0,recomendacion,movil
281,4686,1949,2022-11-14,08:00,284.0,1,album,movil
282,8,1776,2023-04-02,06:00,210.0,0,album,movil
283,777,1867,2023-05-29,21:00,137.0,1,busqueda,movil
284,4417,1256,2023-07-24,03:00,395.0,1,recomendacion,movil
285,30,105,2023-05-05,04:00,98.0,0,playlist,movil
286,1299,1035,2023-02-20,22:00,262.0,1,busqueda,movil
287,75,632,2023-09-13,21:00,204.0,0,playlist,movil
288,4127,1197,2024-05-23,20:00,45.0,0,album,movil
289,3423,354,2024-01-21,02:00,218.0,0,busqueda,movil
290,1723,611,2024-03-01,10:00,321.0,1,recomendacion,movil
291,4724,349,2022-12-25,08:00,288.0,0,recomendacion,smart_speaker
292,1749,805,2023-08-16,13:00,383.0,1,album,movil
293,2405,794,2022-02-03,21:00,362.0,1,radio,movil
294,117,483,2022-11-08,15:00,217.0,0,playlist,movil
295,2327,1604,2024-11-21,20:00,137.0,0,playlist,pc
296,1963,521,2022-07-04,13:00,123.0,0,playlist,tablet
297,501,1461,2023-04-14,22:00,22.0,0,album,movil
298,1178,1074,2024-02-08,13:00,291.0,1,busqueda,pc
299,22,1093,2022-05-29,09:00,294.0,1,radio,tablet
300,4710,721,2022-11-08,07:00,375.0,1,playlist,pc
301,3498,164,2024-11-13,12:00,231.0,1,radio,pc
302,493,375,2022-03-31,18:00,13.0,0,recomendacion,pc
303,3623,537,2022-02-06,16:00,237.0,1,recomendacion,movil
304,3111,1826,2022-08-05,21:00,169.0,0,playlist,movil
305,4028,1118,2024-05-02,13:00,162.0,1,radio,movil
306,1209,1862,2023-03-29,20:00,184.0,1,album,movil
307,1733,1586,2023-07-15,06:00,156.0,1,busqueda,movil
308,115,944,2023-06-05,20:00,372.0,1,playlist,pc
309,4226,768,2024-08-08,19:00,208.0,1,playlist,movil
310,250,1722,2023-12-10,16:00,318.0,1,busqueda,pc
311,1822,1346,2023-11-27,10:00,283.0,1,playlist,movil
312,2596,731,2023-06-06,14:00,127.0,1,album,tablet
313,4744,365,2022-12-06,11:00,386.0,1,album,movil
314,4497,148,2024-11-05,23:00,\N,1,playlist,movil
315,2902,285,2024-11-08,15:00,277.0,1,radio,pc
316,1294,855,2022-01-08,05:00,387.0,1,playlist,movil
317,3910,1509,2023-11-02,19:00,385.0,1,busqueda,pc
318,4922,605,2022-05-10,09:00,255.0,1,album,tablet
319,1380,997,2024-01-19,02:00,344.0,1,album,tablet
320,4144,1967,2023-05-06,14:00,139.0,1,album,pc
321,2907,527,2024-09-13,16:00,199.0,1,busqueda,pc
322,4606,1552,2022-11-13,20:00,130.0,1,album,movil
323,4283,842,2023-04-06,23:00,361.0,1,busqueda,movil
324,1049,1210,2024-04-22,17:00,121.0,1,\N,pc
325,2232,1920,2023-11-13,23:00,185.0,1,playlist,tablet
326,2581,242,2023-11-17,15:00,284.0,1,radio,pc
327,487,1259,2024-09-26,08:00,250.0,1,busqueda,movil
328,1897,1164,2024-08-21,16:00,308.0,1,playlist,movil
329,81,61,2024-09-19,22:00,266.0,1,radio,movil
330,4130,1409,2024-12-17,17:00,352.0,1,radio,tablet
331,3988,1545,2023-11-06,17:00,324.0,1,busqueda,movil
332,41,907,2024-02-14,13:00,331.0,1,playlist,movil
333,3850,540,2023-08-22,21:00,313.0,1,recomendacion,movil
334,4234,1217,2022-01-04,08:00,136.0,1,busqueda,movil
335,4798,1281,2022-09-29,19:00,247.0,1,recomendacion,movil
336,959,824,2023-05-21,18:00,282.0,1,busqueda,pc
337,3060,272,2024-09-16,23:00,387.0,1,recomendacion,movil
338,421,445,2023-08-17,22:00,398.0,1,album,movil
339,570,942,2024-03-30,13:00,143.0,1,recomendacion,movil
340,2000,999,2022-05-18,10:00,269.0,1,recomendacion,smart_speaker
341,1804,24,2024-11-21,09:00,379.0,1,busqueda,tablet
342,1112,1517,2023-05-08,16:00,344.0,1,playlist,movil
343,2833,386,2024-12-04,17:00,303.0,1,radio,movil
344,248,191,2023-04-30,09:00,302.0,1,recomendacion,tablet
345,2496,933,2024-09-28,20:00,44.0,0,album,movil
346,303,565,2024-07-09,21:00,167.0,0,radio,pc
347,4942,635,2024-07-28,14:00,340.0,1,busqueda,movil
348,1909,1249,2024-09-08,22:00,370.0,1,playlist,movil
349,2055,44,2023-02-15,19:00,166.0,1,radio,movil
350,4251,1773,2022-07-17,22:00,85.0,0,radio,tablet
351,2277,1824,2023-10-05,13:00,165.0,1,album,pc
352,4120,1353,2022-08-02,21:00,243.0,0,\N,pc
353,4721,1205,2024-05-19,22:00,124.0,1,radio,pc
354,2026,632,2023-01-06,08:00,70.0,0,recomendacion,pc
355,4555,1879,2023-11-11,13:00,125.0,0,playlist,movil
356,3909,1422,2022-10-25,13:00,162.0,1,recomendacion,movil
357,4808,1721,2022-10-22,20:00,228.0,1,recomendacion,movil
358,1349,529,2024-12-29,14:00,372.0,1,playlist,pc
359,4341,599,2024-04-08,01:00,281.0,1,recomendacion,movil
360,1584,953,2023-11-17,21:00,25.0,0,busqueda,tablet
361,3411,417,2023-03-16,14:00,147.0,1,recomendacion,movil
362,179,1010,2024-04-06,23:00,232.0,0,busqueda,movil
363,783,555,2023-06-07,15:00,504.0,0,playlist,pc
364,370,306,2024-06-29,11:00,368.0,1,playlist,tablet
365,2559,1985,2022-04-15,17:00,237.0,0,recomendacion,tablet
366,3368,1074,2024-09-22,06:00,55.0,0,recomendacion,pc
367,2503,316,2023-11-08,18:00,311.0,1,busqueda,pc
368,3977,1180,2023-06-14,23:00,86.0,0,busqueda,movil
369,4888,984,2022-08-24,19:00,332.0,1,radio,movil
370,3649,1501,2023-10-21,23:00,140.0,0,radio,movil
371,3968,1864,2023-05-14,22:00,248.0,1,busqueda,movil
372,1171,727,2023-01-20,23:00,335.0,1,radio,movil
373,4574,664,2024-10-11,13:00,210.0,1,playlist,movil
374,1839,1435,2024-08-31,09:00,279.0,1,\N,tablet
375,483,96,2023-12-19,13:00,166.0,1,playlist,tablet
376,4049,953,2024-04-17,17:00,259.0,1,playlist,movil
377,1276,1805,2024-06-15,05:00,345.0,1,radio,movil
378,1745,1519,2022-07-30,13:00,14.0,0,busqueda,movil
379,3757,323,2023-01-01,23:00,\N,1,playlist,movil
380,4488,1289,2023-08-26,08:00,191.0,1,radio,movil
381,1376,1738,2024-08-03,12:00,18.0,0,busqueda,movil
382,589,812,2023-10-01,08:00,216.0,1,recomendacion,pc
383,2532,863,2022-05-17,12:00,\N,1,busqueda,movil
384,2317,787,2024-05-07,03:00,238.0,0,playlist,pc
385,176,801,2023-02-23,14:00,132.0,1,busqueda,movil
386,1514,805,2022-03-09,17:00,131.0,0,recomendacion,movil
387,1107,317,2024-08-23,08:00,38.0,0,radio,movil
388,3326,1987,2024-02-26,14:00,219.0,1,busqueda,movil
389,1465,569,2023-04-25,18:00,279.0,1,playlist,movil
390,2274,454,2024-04-23,23:00,156.0,1,recomendacion,movil
391,3821,1127,2024-06-08,21:00,344.0,1,playlist,tablet
392,4255,66,2023-05-07,23:00,241.0,0,playlist,movil
393,3634,1756,2023-04-03,13:00,275.0,1,recomendacion,movil
394,2722,1705,2024-02-28,11:00,297.0,1,busqueda,movil
395,92,1506,2022-09-02,01:00,356.0,1,radio,movil
396,1282,1276,2022-01-18,12:00,28.0,0,recomendacion,movil
397,2187,593,2024-10-06,21:00,304.0,1,busqueda,movil
398,2605,1150,2024-06-07,16:00,125.0,1,radio,movil
399,205,72,2023-05-20,10:00,280.0,1,busqueda,pc
400,3954,1640,2022-05-09,12:00,310.0,0,radio,tablet
401,4793,412,2024-01-14,03:00,262.0,1,recomendacion,movil
402,1415,931,2023-11-17,08:00,146.0,0,busqueda,pc
403,163,1371,2023-11-16,15:00,186.0,1,radio,movil
404,2203,854,2022-11-23,06:00,60.0,0,radio,movil
405,3536,1578,2022-06-07,12:00,365.0,1,album,movil
406,2144,1850,2022-09-19,20:00,125.0,0,recomendacion,pc
407,20,220,2022-07-14,23:00,338.0,1,album,movil
408,4575,1097,2024-06-25,04:00,225.0,1,recomendacion,tablet
409,2475,1135,2023-05-30,10:00,239.0,1,playlist,movil
410,4222,226,2022-10-06,21:00,272.0,1,album,movil
411,4270,1745,2022-01-17,18:00,341.0,1,recomendacion,tablet
412,4161,86,2022-01-25,12:00,198.0,1,album,movil
413,207,697,2023-03-20,11:00,38.0,0,playlist,movil
414,1814,699,2023-11-26,12:00,142.0,0,radio,movil
415,866,1594,2022-03-19,16:00,270.0,1,radio,smart_speaker
416,3425,46,2024-04-29,16:00,91.0,0,busqueda,movil
417,3458,1589,2024-05-30,23:00,174.0,1,album,smart_speaker
418,1558,813,2023-12-12,15:00,23.0,0,busqueda,movil
419,2159,1198,2024-11-08,19:00,102.0,0,playlist,movil
420,4741,305,2022-12-19,13:00,247.0,1,\N,movil
421,2900,1015,2024-06-05,13:00,71.0,0,radio,smart_speaker
422,4197,1294,2023-12-27,14:00,176.0,1,recomendacion,smart_speaker
423,2484,482,2023-12-09,20:00,155.0,0,radio,movil
424,3260,555,2023-08-19,16:00,\N,1,album,movil
425,1067,1575,2023-10-24,08:00,\N,1,radio,pc
426,4527,1879,2022-10-30,23:00,235.0,1,album,pc
427,1783,1372,2024-04-26,04:00,196.0,0,busqueda,movil
428,4458,813,2024-09-30,10:00,175.0,1,busqueda,pc
429,2011,640,2024-10-29,09:00,28.0,0,busqueda,movil
430,2288,1722,2023-07-10,17:00,318.0,1,recomendacion,movil
431,4471,1901,2024-12-22,11:00,133.0,1,playlist,movil
432,3055,781,2024-06-06,16:00,261.0,1,recomendacion,tablet
433,3756,893,2024-04-29,20:00,286.0,1,radio,movil
434,1426,963,2023-04-29,03:00,187.0,1,playlist,pc
435,4976,1442,2024-12-26,09:00,98.0,0,radio,tablet
436,1100,1831,2022-03-09,07:00,371.0,1,radio,tablet
437,220,862,2024-10-15,04:00,298.0,1,playlist,pc
438,4681,587,2022-10-01,17:00,395.0,1,busqueda,movil
439,2310,1427,2023-03-14,11:00,212.0,1,album,movil
440,1014,1694,2023-01-17,22:00,153.0,1,radio,pc
