chart_id,cancion_id,semana,posicion,streams_semana,semanas_en_chart
70,1563,2023-12-16,28,1085617,11
71,441,2023-08-12,14,89305,50
72,90,2023-09-02,42,559116,22
73,796,2023-07-08,2,81952,35
74,759,2022-12-03,36,1105856,13
75,1294,2023-04-01,24,298514,19
76,659,2023-09-16,26,725803,49
77,304,2022-01-22,18,144825,30
78,1802,2022-11-26,33,1037902,15
79,596,2022-03-19,32,330332,37
80,1377,2022-08-27,31,167138,52
81,709,2023-02-11,12,474841,40
82,396,2023-06-17,15,219952,27
83,554,2023-06-24,44,219172,44
84,1713,2022-05-07,11,110827,32
85,1902,2022-01-15,31,170334,26
86,1850,2023-03-04,31,849406,8
87,1579,2022-04-16,40,420726,8
88,1553,2023-05-27,44,269205,18
89,177,2022-06-18,7,1375172,6
90,1300,2022-05-07,35,848230,8
91,889,2023-03-04,6,235729,33
92,442,2022-10-01,38,108678,6
93,1195,2022-03-26,1,151879,29
94,659,2022-04-16,17,612224,20
95,1107,2023-12-16,45,463987,40
96,982,2022-08-20,10,2025842,1
97,1773,2022-10-08,23,56792,52
98,212,2022-04-09,34,1096945,6
99,17,2022-07-23,13,57185,9
100,32,2023-07-29,44,326483,22
101,1152,2022-04-23,16,1291985,3
102,815,2023-11-11,38,587079,50
103,908,2023-11-25,25,487693,28
104,1279,2022-03-05,13,238074,30
105,1832,2023-10-07,19,1742576,1
106,1788,2023-10-07,12,142096,9
107,1478,2023-02-11,20,207278,42
108,1728,2022-12-03,15,351612,15
109,293,2022-01-01,33,117508,44
110,299,2023-12-23,21,325430,41
111,1325,2022-11-19,10,70068,21
112,1471,2022-11-12,14,1339292,1
113,1920,2023-09-16,10,244406,33
114,319,2022-01-15,26,552291,45
115,109,2022-07-16,23,1072141,12
116,517,2022-11-12,23,902771,8
117,1941,2022-02-05,27,1083324,17
118,171,2023-03-25,18,687034,26
119,865,2022-10-08,1,157676,19
120,1950,2022-05-14,41,278285,45
121,219,2023-06-17,38,408752,46
122,48,2023-11-18,21,255452,23
123,1426,2022-09-17,22,1603152,34
124,1446,2022-09-03,9,872110,45
125,1272,2022-04-23,26,852104,22
126,1324,2023-12-09,4,274007,16
127,390,2023-06-10,16,752919,30
128,1435,2022-01-01,30,526027,52
129,1962,2022-04-02,23,285173,30
130,1448,2022-10-29,42,234286,2
131,1317,2022-06-18,10,827558,34
132,164,2023-10-21,8,504161,52
133,271,2023-09-02,13,68848,16
134,1617,2022-01-29,18,60968,49
135,1909,2022-02-26,25,972487,37
136,831,2022-08-13,23,97056,49
137,436,2022-11-05,7,416320,12
138,1400,2022-05-28,28,519094,50
139,7,2023-07-08,22,1288243,52
140,1018,2023-09-23,27,411315,34
141,180,2022-06-11,7,157853,45
142,1917,2022-09-03,5,201005,35
143,327,2023-10-21,16,75044,36
144,1725,2023-01-28,38,175551,19
145,711,2023-07-01,39,894078,49
146,1979,2023-04-22,19,757097,47
147,97,2023-05-27,23,92747,37
148,1191,2023-03-25,33,376576,27
149,399,2022-09-24,20,229641,30
150,1219,2022-06-18,15,574837,21
151,1018,2023-09-02,10,1676481,27
152,1647,2022-06-18,19,548055,20
153,101,2022-07-09,2,734619,29
154,594,2023-11-11,25,303855,35
155,466,2022-01-22,25,66616,48
156,1037,2022-03-12,31,320727,14
157,1373,2023-10-21,39,407487,42
158,1112,2023-09-23,28,389306,36
159,720,2023-05-13,18,182988,36
160,1065,2022-11-19,1,372171,33
161,1211,2022-07-09,28,682911,42
162,1381,2022-07-09,15,236602,30
163,841,2022-04-02,6,552564,50
164,1648,2022-12-24,21,133165,18
165,1722,2022-01-01,10,212897,4
166,470,2022-02-19,31,1126771,29
167,96,2023-06-10,25,542582,27
168,1372,2023-10-07,41,94874,13
169,1877,2023-11-04,4,203695,6
170,1395,2022-12-24,40,2604776,35
171,278,2022-09-17,11,207427,44
172,844,2023-10-28,17,484356,37
173,970,2023-02-25,14,449639,52
174,301,2023-09-23,29,307386,5
175,633,2023-05-13,4,67180,48
176,1177,2022-07-23,23,217272,9
177,1864,2022-04-30,25,1582533,4
178,197,2023-06-17,25,59688,36
179,425,2022-12-03,26,678833,26
180,173,2023-12-09,2,1166294,14
181,1800,2023-08-05,12,768555,7
182,1939,2023-10-07,44,245226,35
183,257,2023-09-30,2,417472,30
184,607,2023-01-21,10,1060765,45
185,245,2023-11-11,16,1903679,31
186,928,2023-03-11,1,101032,48
187,1272,2023-08-12,47,116394,41
188,482,2023-05-13,11,1609635,51
189,590,2022-10-15,35,1080307,33
190,1192,2022-02-12,35,168542,20
191,183,2022-01-29,32,1805016,7
192,1185,2023-07-29,22,167229,45
193,123,2023-11-25,12,96340,30
194,97,2022-01-22,24,622672,36
195,1044,2022-06-11,1,438042,49
196,820,2023-04-08,9,186998,18
197,1605,2022-01-01,26,1367477,19
198,577,2023-04-01,27,308958,46
199,62,2023-07-29,50,307840,39
200,1059,2022-06-25,35,549599,35
201,674,2023-04-01,38,181198,38
202,1756,2023-04-29,11,491969,42
203,1792,2023-05-13,2,276266,17
204,516,2023-11-18,13,643736,19
205,126,2023-09-09,17,192315,43
206,180,2023-07-08,41,152567,49
207,1183,2023-04-08,14,193716,51
208,23,2022-06-11,7,1423927,30
209,942,2023-01-14,8,995996,35
210,452,2022-08-27,27,932748,14
211,154,2023-12-16,6,808645,16
212,46,2022-11-12,10,556608,22
213,1149,2022-06-11,28,101791,22
214,199,2022-04-30,33,246263,4
215,976,2023-10-21,11,462618,48
216,208,2023-05-13,44,105884,23
217,787,2022-02-05,46,65289,43
218,630,2022-02-26,13,99042,25
219,592,2022-06-25,15,107183,7
220,1077,2023-09-09,1,108007,8
221,943,2023-02-11,42,155466,33
222,187,2022-07-30,44,395671,21
223,1394,2023-10-28,11,218051,10
224,864,2022-08-27,46,1033529,8
225,1364,2022-06-11,50,1094295,21
226,926,2023-01-07,46,1314427,50
227,442,2023-08-05,13,368533,38
228,278,2023-11-04,34,793702,18
229,243,2023-02-04,38,496999,6
230,601,2022-12-10,5,127960,39
231,1806,2023-05-13,1,554886,9
232,1360,2023-02-18,4,957067,31
233,1407,2023-02-18,22,263809,6
234,67,2022-05-07,25,736541,37
235,1894,2023-02-04,24,794755,15
236,564,2022-04-30,30,565827,19
237,1706,2023-01-21,17,1123964,45
238,943,2023-06-24,28,128222,47
239,997,2022-09-17,31,977083,5
240,1016,2022-04-09,17,521742,27
241,334,2023-02-04,12,1017799,48
242,862,2023-04-29,4,430367,18
243,215,2023-12-02,40,248720,28
244,79,2022-06-25,24,1187454,28
245,1703,2023-03-18,19,1099428,45
246,661,2023-03-25,1,205767,46
247,575,2022-03-19,19,731500,27
248,174,2022-04-16,9,97867,37
249,1112,2022-09-17,12,94950,36
250,1055,2023-07-15,3,408110,17
251,1012,2023-05-06,36,68208,17
252,1205,2023-05-06,1,334362,6
253,882,2022-02-05,13,832107,36
254,394,2023-09-02,1,1151250,46
255,1381,2022-02-26,5,197038,18
256,1324,2022-07-16,36,90052,42
257,776,2023-09-02,13,548011,51
258,1863,2023-02-18,34,203828,4
259,1679,2022-07-16,37,61863,21
260,436,2023-04-22,20,120320,18
261,669,2023-05-27,8,1443187,21
262,1811,2022-06-18,24,1090026,4
263,1371,2023-12-09,28,934854,44
264,389,2023-02-18,4,257359,27
265,276,2023-06-03,29,676796,28
266,1171,2023-02-25,23,1623449,49
267,1379,2023-04-15,1,469180,5
268,162,2022-08-27,18,252554,33
269,1425,2022-12-24,47,853045,37
270,688,2023-10-14,29,331355,17
271,1345,2023-02-04,41,480597,2
272,232,2022-03-26,49,439582,26
273,146,2023-09-30,50,172578,23
274,774,2023-07-15,7,50333,12
275,1849,2022-02-12,31,3427968,23
276,266,2023-08-19,47,319639,16
277,1362,2023-02-25,46,216909,29
278,1684,2022-05-07,34,775964,14
279,781,2022-05-07,45,498887,29
280,153,2022-05-28,36,1112051,17
281,1898,2023-08-26,37,809572,11
282,1254,2022-06-18,27,215482,23
283,1388,2023-01-07,4,498543,41
284,1401,2022-10-29,14,399282,17
285,1949,2023-09-23,22,1601476,32
286,544,2022-08-27,23,186935,17
287,1350,2022-05-21,37,216921,44
288,1978,2023-05-13,6,1315547,2
289,374,2023-12-16,35,356070,16
290,706,2022-08-20,25,355557,7
291,820,2022-01-08,50,1063267,34
292,293,2023-10-07,33,225524,41
293,314,2022-03-05,26,646842,51
294,1649,2023-10-14,25,689210,28
295,559,2022-02-05,27,342055,1
296,1553,2023-08-05,28,253203,45
297,1166,2023-10-21,4,736502,23
298,709,2022-03-12,12,197805,6
299,873,2022-04-23,26,905485,51
300,627,2023-06-17,32,319279,2
301,1393,2022-07-02,2,59274,36
302,912,2022-07-23,25,471138,26
303,576,2022-10-15,1,158095,16
304,1245,2022-01-08,48,364209,28
305,1369,2023-04-22,2,876004,14
306,376,2022-09-24,3,155368,51
307,1650,2023-07-15,43,166668,29
308,1480,2023-10-21,1,371080,27
309,452,2023-02-11,1,373610,50
310,1002,2022-02-19,14,352265,34
311,1573,2022-09-24,46,642891,19
312,1159,2022-01-29,40,206737,14
313,1638,2022-10-08,5,200909,17
314,773,2022-10-01,3,61307,50
315,751,2022-05-07,35,290418,17
316,1978,2023-08-19,29,158936,40
317,1667,2022-08-27,14,497752,24
318,1793,2022-11-12,4,149939,29
319,993,2022-09-24,7,1174669,31
320,864,2023-11-04,21,995285,50
321,1169,2023-07-15,15,774446,18
322,1069,2022-03-05,2,876496,35
323,42,2022-08-20,18,1654255,17
324,1860,2022-10-08,10,242690,12
325,1680,2022-03-05,4,2002503,6
326,302,2022-02-19,38,1156018,33
327,1176,2023-01-21,37,274623,39
328,953,2023-12-23,48,1047821,3
329,1726,2023-12-02,42,1187994,39
330,544,2022-11-05,5,68377,26
331,1642,2023-05-06,49,1093585,2
332,169,2023-07-08,22,333913,5
333,1090,2023-09-02,11,883914,14
334,847,2023-02-25,25,108921,47
335,462,2022-10-15,33,144484,4
336,1315,2022-11-12,32,1976314,34
337,376,2023-11-25,32,319081,15
338,911,2023-06-17,19,850872,33
339,661,2022-12-31,11,743635,17
340,1206,2022-09-10,23,821004,30
341,1746,2022-01-22,13,773282,48
342,1208,2023-09-09,21,1276469,41
343,325,2022-02-05,15,498963,49
344,1447,2023-11-04,44,327088,15
345,273,2023-05-13,7,1346668,6
346,1304,2023-09-16,17,270768,11
347,454,2022-07-09,5,548071,43
348,311,2022-04-02,31,1016263,15
349,988,2023-04-15,40,1288572,46
350,1163,2023-11-11,29,1542199,11
351,948,2023-10-14,1,589305,52
352,296,2023-12-16,21,686840,25
353,1921,2023-12-09,44,394100,48
354,737,2023-04-15,8,217661,41
355,1520,2022-10-01,28,58155,35
356,1293,2023-11-18,43,175540,10
357,1792,2022-09-03,28,2004996,21
358,1479,2022-04-30,10,870933,22
359,381,2023-02-04,39,376037,12
360,1875,2023-08-19,45,260485,37
361,1991,2023-09-23,35,83253,16
362,1869,2022-01-15,38,55094,23
363,504,2022-05-28,5,753372,1
364,193,2022-09-24,17,2169339,31
365,384,2022-07-30,16,196400,50
366,1411,2022-05-07,23,210472,10
367,1428,2023-05-20,40,1414189,23
368,1394,2022-06-18,10,510729,1
369,265,2022-02-26,19,145465,33
370,1853,2022-02-12,15,73381,33
371,1531,2023-05-20,1,464570,12
372,643,2023-06-24,29,351248,1
373,1100,2022-09-17,49,332900,9
374,965,2022-11-05,38,1791165,38
375,1837,2022-02-19,30,202500,17
376,1718,2023-03-25,12,384706,12
377,1712,2023-03-11,11,169982,11
378,320,2022-12-17,37,244148,29
379,1582,2022-08-20,28,775989,23
380,1024,2023-05-20,33,159887,1
381,1349,2023-07-08,40,614254,45
382,1903,2022-06-11,15,119426,8
383,1577,2022-02-19,15,155714,42
384,968,2023-04-29,13,61682,2
385,1665,2022-04-09,42,547754,50
386,211,2023-06-10,32,2368871,1
387,1856,2022-07-23,8,584248,4
388,269,2022-05-14,20,1334065,43
389,446,2023-11-11,21,423704,29
390,1498,2022-11-19,1,620164,16
391,33,2022-10-08,39,1348699,42
392,1795,2023-01-21,46,95082,11
393,1572,2023-01-21,19,504951,14
394,1976,2022-01-01,5,478455,3
395,567,2022-01-22,33,66856,10
396,338,2023-03-11,17,134919,20
397,1993,2022-06-04,20,451871,18
398,1223,2023-04-15,4,394254,1
399,308,2023-05-20,8,260666,15
400,1494,2023-05-13,22,648196,8
401,1149,2023-05-20,9,273324,44
402,1583,2022-04-30,9,782384,4
403,1221,2022-09-10,28,878362,2
404,1422,2022-01-01,4,567224,18
405,152,2023-04-01,35,213544,45
406,841,2023-11-04,6,861408,19
407,701,2022-08-06,39,195033,26
408,953,2022-11-26,23,230491,33
409,82,2023-04-29,2,519275,46
410,653,2022-03-26,4,634054,26
411,303,2022-02-26,29,282042,43
412,262,2023-06-24,12,497494,46
413,1495,2022-05-14,37,192501,17
414,1738,2023-12-09,32,841922,13
415,616,2023-08-19,3,2472231,27
416,1726,2023-09-09,35,649273,44
417,50,2023-08-12,43,242364,32
418,689,2022-04-30,37,264436,50
419,1035,2022-11-05,12,65500,10
420,246,2023-07-29,15,570577,15
421,1083,2023-10-28,49,508171,29
422,1530,2022-07-02,44,1595996,5
423,244,2022-01-22,26,307194,10
424,1331,2022-10-01,34,1400965,4
425,493,2022-01-22,25,764074,3
426,701,2022-09-03,21,219840,46
427,438,2022-12-10,27,58284,22
428,635,2023-02-25,25,698521,5
429,1146,2023-07-22,12,392934,34
430,181,2023-07-01,43,1683193,20
431,1395,2022-04-23,26,61176,32
432,969,2022-11-26,32,418972,7
433,1412,2022-10-22,6,827529,45
434,1723,2023-09-30,6,829782,42
435,616,2023-09-02,1,607461,26
436,1684,2022-03-19,36,300745,32
437,526,2022-04-23,2,84805,36
438,78,2023-12-16,20,229595,48
439,936,2022-01-15,13,576560,28
440,1297,2022-09-10,2,787145,8
441,1702,2022-11-19,7,900174,24
442,950,2022-05-14,33,793789,40
443,708,2022-02-19,11,245627,51
444,1379,2023-08-05,23,642230,44
445,1618,2022-01-08,49,1788155,35
446,129,2022-04-16,21,123381,14
447,1438,2022-03-05,18,707194,40
448,729,2022-03-12,13,313800,4
449,1399,2022-01-15,4,177442,22
450,1435,2022-09-17,6,242862,48
451,1924,2022-02-12,20,141044,11
452,840,2023-02-04,12,894625,43
453,637,2023-10-07,38,295071,37
454,418,2022-11-05,43,1437250,31
455,159,2023-09-30,25,1746407,46
456,430,2022-03-05,9,1736922,8
457,775,2022-02-19,23,134630,14
458,1864,2022-06-11,42,262619,16
459,655,2022-02-19,28,235810,12
460,1397,2023-06-10,13,1329892,3
461,726,2023-07-08,25,95222,26
462,1576,2023-05-13,16,494113,3
463,713,2023-06-03,7,382155,45
464,1579,2022-12-24,49,1920497,27
465,1917,2022-01-15,18,1702484,22
466,1515,2023-02-04,46,325822,17
467,1313,2023-11-25,36,341137,21
468,587,2022-04-02,40,292688,33
469,42,2022-03-05,12,828356,30
470,208,2023-06-24,47,102780,34
471,1264,2023-09-23,43,111732,1
472,570,2022-07-16,8,659869,42
473,1308,2023-01-21,12,58413,49
474,565,2022-01-15,12,605894,51
475,1059,2023-03-25,10,118882,36
476,937,2023-01-14,20,821323,22
477,892,2023-10-14,12,722842,28
478,835,2022-08-06,13,150605,44
479,527,2023-01-28,23,757208,40
480,1965,2023-03-11,12,830873,21
481,1942,2023-11-11,8,1348895,36
482,337,2022-12-03,32,694483,49
483,1728,2022-09-17,8,1060968,23
484,1974,2022-02-05,3,557337,3
485,50,2023-07-01,37,541103,46
486,1439,2023-09-09,35,612494,50
487,1893,2022-12-31,21,310733,21
488,370,2023-01-14,30,179757,44
489,1138,2022-11-05,41,316633,46
490,1270,2022-10-22,29,499950,12
491,1245,2023-02-04,45,635600,2
492,54,2022-04-16,7,355050,13
493,253,2022-03-19,17,250321,40
494,1489,2022-12-17,22,191772,51
495,214,2022-10-22,34,151179,29
496,1265,2022-11-12,19,373484,51
497,1430,2022-11-12,19,662752,37
498,159,2023-04-08,3,935532,16
499,1360,2023-09-23,9,261798,39
500,1112,2023-08-05,18,522299,43
501,940,2022-01-08,6,374764,12
502,807,2023-05-13,25,1744567,30
503,1370,2023-03-18,23,1120202,42
504,369,2022-09-17,50,1119695,16
505,358,2022-01-01,2,482800,37
506,359,2022-10-29,17,337089,44
507,1846,2022-04-02,24,577571,21
508,171,2023-01-14,32,136969,31
509,54,2022-12-03,40,1122674,23
510,1761,2022-04-02,47,208200,35
511,1881,2022-03-05,15,926940,36
512,1679,2022-02-26,38,227267,23
513,636,2022-03-19,43,419092,29
514,1433,2023-12-09,4,789811,52
515,968,2022-02-26,31,300222,22
516,1920,2022-06-04,37,271586,43
517,1078,2023-08-19,10,1144058,13
518,53,2022-05-14,13,85699,37
519,893,2022-07-30,13,971108,13
520,1403,2022-05-28,29,1366924,27
521,518,2023-01-07,33,464095,25
522,970,2023-06-10,34,645315,14
523,1528,2022-12-24,9,1038254,2
524,180,2023-09-02,9,335932,20
525,1369,2023-12-09,40,1105106,22
526,421,2022-07-16,17,282815,25
527,1768,2023-07-01,16,232981,34
528,763,2022-04-16,38,2093204,21
529,1929,2022-08-13,32,65821,50
530,30,2023-04-22,44,242508,38
531,463,2022-08-20,44,356752,21
532,1595,2022-01-15,23,236173,31
533,1642,2023-07-22,50,215756,47
534,1608,2022-10-15,40,281558,23
535,593,2022-02-05,46,303799,24
536,695,2023-10-21,15,87148,46
537,1304,2022-04-23,15,796365,6
538,564,2022-12-03,5,142109,12
539,587,2022-11-05,25,70943,13
540,1138,2023-01-28,31,496261,33
541,1541,2023-10-28,22,602204,38
542,168,2023-08-05,18,764140,34
543,1982,2023-01-28,1,95939,35
544,684,2023-02-04,9,144205,7
545,372,2023-02-11,28,150640,20
546,612,2022-02-12,37,500258,24
547,1004,2022-07-09,8,1152372,35
548,1573,2023-06-03,7,662814,50
549,1925,2022-08-27,34,238954,45
550,464,2023-01-21,3,1009206,5
551,663,2022-04-30,11,604018,47
552,877,2022-09-10,3,633092,49
553,1842,2023-09-30,24,1627482,10
554,617,2022-05-21,22,1551525,50
555,192,2023-07-08,20,293613,30
556,667,2023-03-11,17,555074,19
557,1525,2022-07-09,11,162836,23
558,217,2022-11-12,15,315439,25
559,1965,2022-08-20,21,209698,9
560,1124,2022-02-26,36,278930,46
561,1571,2022-03-12,6,612590,44
562,678,2023-09-09,4,168016,45
563,1530,2022-06-25,40,149426,47
564,746,2023-08-19,31,288484,17
565,1186,2022-04-16,11,101646,6
566,361,2023-08-05,24,890718,31
567,1957,2023-03-18,40,1641013,32
568,1857,2022-10-29,2,858072,10
569,1626,2022-04-23,3,429011,23
570,1964,2023-01-14,16,610638,43
571,1683,2022-10-01,19,868863,45
572,1968,2022-07-16,39,85333,29
573,85,2022-09-10,47,320748,27
574,1656,2022-02-12,25,127614,30
575,601,2022-06-11,30,97563,40
576,1620,2022-08-13,28,761423,36
577,951,2022-12-03,6,1026213,1
578,1846,2022-05-28,14,93758,50
579,1816,2022-10-01,48,148495,16
580,268,2023-07-08,21,174757,27
581,635,2023-10-21,43,1022291,9
582,179,2023-11-25,21,1274204,46
583,280,2023-01-14,14,774031,8
584,4,2023-05-13,26,845741,40
585,977,2022-02-19,31,259799,24
586,57,2023-10-14,26,312390,19
587,379,2022-01-29,27,214591,49
588,128,2023-03-04,2,1639588,42
589,830,2022-03-05,28,700345,25
590,589,2022-02-19,4,258778,39
591,1774,2022-08-13,15,122903,36
592,1161,2022-11-05,4,158338,10
593,73,2022-10-08,2,164130,35
594,1742,2022-04-02,34,527010,9
595,1726,2023-11-18,20,1216297,20
596,1877,2023-11-25,21,1065050,33
597,222,2023-04-29,33,86133,35
598,1897,2023-10-07,11,667313,24
599,1267,2023-05-27,26,141772,12
600,778,2022-08-20,38,235791,43
601,1739,2023-02-18,13,442419,35
602,808,2022-05-28,32,969168,44
603,505,2023-06-24,24,185081,6
604,824,2022-02-05,27,1085063,2
605,371,2022-02-05,47,713524,41
606,1750,2023-11-18,9,610832,6
607,676,2023-12-16,28,121303,42
608,1597,2023-01-07,31,371441,34
609,1552,2022-11-19,39,210880,16
610,1546,2022-12-03,13,493539,38
611,746,2022-08-13,15,609814,22
612,93,2023-03-18,46,83800,22
613,1555,2022-06-18,24,566674,29
614,1654,2022-08-27,2,394692,4
615,1271,2022-04-16,13,962218,4
616,1734,2022-11-19,4,838155,42
617,1775,2022-12-31,5,316341,10
618,525,2023-11-11,18,1919133,47
619,2,2022-07-16,40,492042,42
620,1926,2023-04-15,34,1707213,52
621,915,2022-12-10,31,685170,3
622,1362,2022-10-22,18,311745,25
623,1691,2022-05-07,48,183141,8
624,661,2023-03-11,31,363126,31
625,23,2022-09-17,19,1424812,16
626,1896,2022-01-29,16,119761,1
627,1364,2022-09-17,41,358386,50
628,491,2022-07-02,29,262998,24
629,184,2023-10-28,49,1059732,10
630,1912,2023-07-22,15,864968,19
631,1128,2023-07-22,47,451635,6
632,589,2022-10-08,4,318129,43
633,980,2022-04-02,7,626291,1
634,601,2023-08-19,7,1579680,18
635,380,2023-10-07,25,103326,41
636,950,2022-01-08,21,1195463,14
637,956,2023-08-19,37,224233,40
638,1047,2023-04-29,44,52112,21
639,1452,2022-10-08,38,725467,23
640,629,2023-04-01,9,826587,9
641,328,2022-09-24,24,231748,26
642,1806,2022-10-22,15,803547,12
643,452,2023-12-09,1,849789,12
644,611,2022-01-01,23,612432,4
645,89,2023-05-27,22,69703,41
646,1634,2022-06-11,44,600435,22
647,330,2022-06-11,28,1397116,37
648,1247,2023-11-11,5,534206,16
649,684,2022-11-05,25,278581,30
650,1247,2023-12-16,44,464462,3
651,894,2022-04-02,30,2541453,30
652,239,2023-09-30,5,369881,15
653,1062,2022-08-06,13,971160,47
654,72,2022-09-03,20,124559,21
655,271,2022-11-12,46,79069,14
656,1158,2022-08-27,39,297269,35
657,349,2022-03-26,36,124118,27
658,1453,2023-11-04,29,250632,3
659,1607,2022-05-07,37,678384,12
660,1106,2023-07-01,22,344833,1
661,752,2023-07-29,38,243724,24
662,1337,2023-12-09,49,1160520,14
663,609,2022-03-05,30,54736,25
664,952,2023-11-04,18,891080,42
665,361,2023-10-28,2,535464,40
666,1168,2023-01-07,17,73784,42
667,260,2022-02-19,34,67375,4
668,530,2023-02-18,27,144311,22
669,178,2022-08-27,4,1945032,15
670,1141,2023-12-09,40,94803,35
671,102,2022-10-22,6,721341,3
672,94,2022-06-25,27,306741,41
673,318,2022-06-18,27,185016,46
674,736,2023-10-14,1,477838,27
675,1290,2022-02-05,21,279581,35
676,1231,2022-10-15,12,235663,30
677,376,2022-09-17,8,186969,2
678,52,2023-02-25,23,356076,2
679,183,2022-03-12,23,142926,44
680,1720,2023-12-23,6,1005094,29
681,3,2023-01-07,39,497928,52
682,518,2022-09-10,8,82472,37
683,836,2023-05-13,39,355363,4
684,1302,2022-11-05,46,546572,8
685,312,2023-08-19,13,1038841,13
686,1235,2022-11-12,7,61879,40
687,967,2022-12-10,46,354656,32
688,1715,2023-08-12,4,661817,20
689,1827,2022-09-17,11,159157,47
690,141,2022-04-16,37,175094,24
691,211,2022-05-14,25,386352,48
692,710,2023-07-08,16,1129219,24
693,597,2023-01-21,7,303974,48
694,68,2023-03-25,10,381295,5
695,498,2022-01-08,8,554968,19
696,1011,2023-03-11,26,236100,38
697,438,2023-05-13,21,1059026,20
698,131,2022-08-13,50,1683240,36
699,1764,2022-01-08,18,575350,46
700,1670,2023-11-25,29,558713,46
701,1070,2022-04-09,7,609740,16
702,644,2023-10-28,41,157771,39
703,1270,2022-03-26,34,709079,19
704,1290,2023-03-11,8,263071,7
705,697,2022-12-10,49,2556769,2
706,1169,2023-09-09,3,747501,6
707,1396,2023-08-12,12,488254,34
708,1263,2022-08-20,24,1266549,52
709,1631,2022-01-22,7,1803949,39
710,11,2023-05-20,22,902078,47
711,1894,2022-06-25,48,756518,28
712,257,2023-01-21,24,81287,44
713,291,2023-01-07,17,662114,9
714,701,2022-01-22,47,254551,36
715,1457,2022-06-11,30,1379008,47
716,1954,2023-03-11,4,523069,51
717,862,2023-01-28,27,281536,43
718,261,2022-12-10,13,256984,31
719,1070,2023-09-09,12,454651,2
720,216,2023-09-02,18,388143,38
721,195,2023-04-15,1,297865,43
722,1649,2022-07-09,32,166883,5
723,461,2023-04-08,44,845976,38
724,1083,2022-06-18,14,334060,19
725,667,2022-04-02,2,102067,35
726,117,2023-12-09,38,94636,16
727,133,2022-05-21,32,185980,41
728,1903,2023-03-25,25,451737,7
729,1398,2022-12-31,23,130071,7
730,1595,2022-03-12,43,171046,43
731,689,2022-03-05,38,398279,15
732,319,2022-01-08,6,172797,45
733,1225,2022-04-09,47,1026190,4
734,1475,2023-04-08,39,495809,31
735,377,2022-04-16,14,94867,52
736,797,2023-09-30,29,125345,6
737,1352,2023-12-23,5,158564,48
738,464,2023-07-22,32,546983,7
739,1322,2022-08-06,4,105829,37
740,1038,2023-10-14,31,72127,27
741,1998,2022-07-23,14,701823,35
742,580,2022-11-05,46,375165,9
743,1101,2023-12-23,10,994553,49
744,350,2023-02-04,3,837174,26
745,728,2023-03-25,3,209763,15
746,1772,2023-07-08,45,156757,6
747,1521,2023-09-09,38,413155,12
