"cancion_id";"titulo";"artista_id";"album";"anio_lanzamiento";"duracion_seg";"genero";"subgenero";"energia";"bailabilidad";"valencia";"acusticidad";"instrumentalidad";"tempo";"volumen_db";"explicito";"nombre_artistico";"seguidores";"total_reproducciones";"reproducciones_completadas";"ratio_completadas";"puntuacion_media";"num_valoraciones";"en_chart";"mejor_posicion_chart";"semanas_en_chart";"num_playlists"
35;"Tema 35";26;"Taburete - Cambio de Dirección";"2024";389;"clasica";"orquesta";0.26;0.27;0.39;0.7;0.36;146;-27.3;0;"Taburete";7789680;26;16.0;0.6154;3.75;4;1;16;2;1
36;"Tema 36";159;"Gabriel García - Tercero";"2024";312;"flamenco";"flamenco-fusión";0.63;0.78;0.78;0.83;0.25;101;-16.5;1;"Gabriel García";823999;27;19.0;0.7037;2.78;9;1;3;3;0
37;"Tema 37";178;"Miguel González - Reflexión";"2024";204;"indie";"dream-pop";0.45;0.36;0.64;0.58;0.32;71;-6.3;0;"Miguel González";1476876;33;21.0;0.6364;4.09;11;1;11;2;5
38;"Tema 38";174;"Laura González - Evolución";"2021";347;"rock";"grunge";0.64;0.45;0.32;0.32;0.18;132;-3.4;0;"Laura González";780472;35;23.0;0.6571;3.63;8;1;8;3;3
39;"Tema 39";115;"Diego García - Cuarto";"2024";242;"rap";"trap";0.81;0.64;0.36;0.15;0.25;180;-27.0;0;"Diego García";3020482;19;15.0;0.7895;4.25;12;1;11;3;6
40;"Tema 40";50;"Justin Timberlake - Nuevo";"2024";345;"latin";"bachata";0.63;0.88;0.62;0.53;0.28;132;-27.6;0;"Justin Timberlake";2135108;23;16.0;0.6957;3.17;6;1;16;1;1
41;"Tema 41";129;"Ana Sánchez - Cambio de Dirección";"2023";202;"indie";"indie-pop";0.34;0.69;0.49;0.39;0.33;95;-1.6;0;"Ana Sánchez";30929;25;20.0;0.8;3.58;12;1;40;1;3
42;"Tema 42";14;"Bad Bunny - Regreso";"2023";310;"rock";"grunge";0.99;0.53;0.45;0.13;0.31;86;-13.2;0;"Bad Bunny";1293438;28;22.0;0.7857;3.63;8;1;12;4;2
43;"Tema 43";133;"Juan Ramírez - Segundo Album";"2022";162;"latin";"salsa";0.75;0.93;0.63;0.4;0.0;129;-15.9;0;"Juan Ramírez";393041;38;25.0;0.6579;3.33;9;1;15;1;1
44;"Tema 44";132;"Juan García - Tercero";"2023";166;"r&b";"neo-soul";0.42;0.54;0.45;0.36;0.3;175;-12.5;0;"Juan García";763502;29;19.0;0.6552;4.38;8;1;2;4;3
45;"Tema 45";7;"Melendi - Reincidencia";"2020";322;"electronica";"trance";0.98;0.73;0.44;0.13;0.09;155;-1.1;1;"Melendi";399193;18;14.0;0.7778;4.11;9;1;23;3;6
46;"Tema 46";21;"Serrat - Nuevo";"2021";134;"pop";"pop-latino";0.4;0.84;0.52;0.37;0.21;85;-0.2;0;"Serrat";4831854;20;15.0;0.75;3.5;12;1;10;1;2
47;"Tema 47";167;"Ana Smith - Nuevo";"2021";190;"latin";"cumbia";0.63;0.84;0.89;0.41;0.25;133;-9.1;0;"Ana Smith";1170430;30;19.0;0.6333;2.86;7;1;21;2;3
48;"Tema 48";121;"Francisco Pérez - Evolución";"2021";360;"flamenco";"rumba";0.68;0.65;0.63;0.96;0.02;61;-21.6;0;"Francisco Pérez";4952044;39;34.0;0.8718;3.85;13;1;21;2;3
49;"Tema 49";5;"Duncan Dhu - Quinto";"2021";196;"clasica";"musica-clasica-instrumental";0.58;0.27;0.43;0.89;0.11;88;-24.4;0;"Duncan Dhu";948124;24;16.0;0.6667;4.13;8;0;0;0;3
50;"Tema 50";61;"Metallica - Quinto";"2020";144;"flamenco";"flamenco-fusión";0.69;0.54;0.63;0.63;0.39;167;-0.4;0;"Metallica";4437042;30;20.0;0.6667;3.67;6;1;5;5;4
51;"Tema 51";160;"María Torres - Vueltas";"2020";176;"rock";"hard-rock";0.88;0.46;0.42;0.43;0.27;197;-25.1;1;"María Torres";3918246;21;13.0;0.619;3.38;8;1;27;1;2
52;"Tema 52";132;"Juan García - 25 Aniversario";"2021";193;"r&b";"r&b-contemporaneo";0.72;0.75;0.78;0.39;0.25;169;-17.5;1;"Juan García";763502;28;20.0;0.7143;3.71;7;1;23;2;4
53;"Tema 53";91;"Francisco Green - Cuarto";"2024";333;"clasica";"camara";0.57;0.26;0.22;0.71;0.15;81;-5.7;0;"Francisco Green";392117;26;17.0;0.6538;3.57;7;1;13;4;2
54;"Tema 54";93;"Laura Green - Segundo Album";"2024";398;"indie";"post-punk";0.79;0.28;0.6;0.39;0.39;189;-4.7;0;"Laura Green";4301178;27;19.0;0.7037;3.57;7;1;7;5;5
55;"Tema 55";100;"David Johnson - Vueltas";"2020";318;"flamenco";"flamenco-pop";0.84;0.59;0.57;0.71;0.02;124;-4.1;0;"David Johnson";352502;20;8.0;0.4;2.67;3;1;17;2;1
56;"Tema 56";92;"David Johnson - Reflexión";"2020";296;"pop";"pop-urbano";0.73;0.85;0.9;0.27;0.31;86;-1.7;0;"David Johnson";3757379;25;20.0;0.8;4.2;10;0;0;0;4
57;"Tema 57";189;"José Sánchez - Reflexión";"2022";188;"rap";"trap-latino";0.95;0.69;0.48;0.03;0.38;150;-11.8;0;"José Sánchez";2272838;26;22.0;0.8462;4.13;8;1;3;6;5
58;"Tema 58";165;"Sofia González - Tercero";"2023";365;"indie";"indie-pop";0.41;0.54;0.61;0.38;0.05;94;-9.9;1;"Sofia González";293887;31;18.0;0.5806;3.9;10;1;9;4;5
59;"Tema 59";199;"Ana Ramírez - Vueltas";"2020";270;"flamenco";"flamenco-fusión";0.71;0.71;0.61;0.94;0.22;71;-13.2;0;"Ana Ramírez";6553397;42;32.0;0.7619;3.91;11;0;0;0;0
60;"Tema 60";11;"Javier Álvarez - Nuevo";"2022";383;"pop";"pop-rock";0.75;0.64;0.55;0.11;0.3;199;-11.4;0;"Javier Álvarez";203996;33;19.0;0.5758;4.0;5;1;13;1;6
61;"Tema 61";10;"Fito & Fitipaldis - Reflexión";"2021";266;"indie";"indie-folk";0.65;0.31;0.37;0.21;0.14;72;-12.3;0;"Fito & Fitipaldis";6256250;20;12.0;0.6;4.0;4;1;39;1;5
62;"Tema 62";85;"José Johnson - Quinto";"2020";308;"reggaeton";"reggaeton-romantico";0.82;0.89;0.76;0.07;0.21;162;-6.5;0;"José Johnson";1127465;21;18.0;0.8571;3.56;9;1;10;2;4
63;"Tema 63";99;"Gabriel González - Nuevo";"2021";374;"clasica";"musica-clasica-instrumental";0.3;0.19;0.63;0.98;0.06;154;-2.2;0;"Gabriel González";87243;25;17.0;0.68;4.0;6;1;13;1;2
64;"Tema 64";133;"Juan Ramírez - Quinto";"2020";337;"latin";"cumbia";0.77;0.76;0.74;0.59;0.2;170;-20.1;0;"Juan Ramírez";393041;26;19.0;0.7308;4.17;6;1;46;1;2
65;"Tema 65";47;"Post Malone - Cambio de Dirección";"2022";284;"rap";"trap-latino";0.89;0.68;0.33;0.03;0.05;80;-25.4;0;"Post Malone";3488372;21;16.0;0.7619;3.5;6;1;4;1;5
66;"Tema 66";76;"Ozuna - Quinto";"2023";338;"r&b";"neo-soul";0.45;0.69;0.47;0.24;0.36;173;-15.8;0;"Ozuna";10945303;25;16.0;0.64;3.45;11;1;29;3;2
67;"Tema 67";11;"Javier Álvarez - Evolución";"2022";342;"pop";"pop-latino";0.67;0.56;0.58;0.11;0.07;74;-21.6;1;"Javier Álvarez";203996;18;10.0;0.5556;3.86;7;1;4;3;2
68;"Tema 68";164;"Alex García - Reincidencia";"2022";382;"rock";"rock-alternativo";0.67;0.33;0.35;0.28;0.08;67;-19.1;1;"Alex García";2312155;24;18.0;0.75;4.33;9;1;10;3;3
69;"Tema 69";156;"Emma Martínez - Regreso";"2023";137;"electronica";"techno";0.8;0.84;0.32;0.12;0.25;77;-27.5;1;"Emma Martínez";841434;25;17.0;0.68;4.2;15;1;8;4;2
70;"Tema 70";166;"Miguel Smith - Nuevo";"2022";316;"rock";"grunge";0.95;0.58;0.32;0.21;0.32;68;-7.6;0;"Miguel Smith";5420934;24;15.0;0.625;4.0;6;1;28;1;3
71;"Tema 71";174;"Laura González - Vueltas";"2022";310;"rock";"hard-rock";0.67;0.36;0.45;0.29;0.25;79;-18.9;0;"Laura González";780472;29;24.0;0.8276;3.75;4;1;27;1;9
72;"Tema 72";136;"Miguel Ramírez - Nuevo";"2023";280;"rock";"rock-progresivo";0.79;0.52;0.31;0.2;0.29;123;-3.1;0;"Miguel Ramírez";1181151;28;18.0;0.6429;3.38;8;1;20;1;4
73;"Tema 73";7;"Melendi - Evolución";"2021";375;"electronica";"trance";0.8;0.79;0.35;0.07;0.21;159;-22.7;0;"Melendi";399193;23;18.0;0.7826;4.33;6;1;2;7;6
74;"Tema 74";31;"Extremoduro - Quinto";"2022";348;"latin";"salsa";0.69;0.79;0.61;0.33;0.08;133;-20.2;0;"Extremoduro";4776665;34;26.0;0.7647;3.91;11;1;18;2;2
75;"Tema 75";126;"Francisco Fernández - Cuarto";"2020";189;"rock";"rock-duro";0.65;0.57;0.54;0.37;0.32;175;-15.0;1;"Francisco Fernández";1681173;22;15.0;0.6818;3.86;7;1;3;1;4
76;"Tema 76";183;"Gabriel Fernández - Vueltas";"2020";283;"pop";"pop-latino";0.43;0.69;0.73;0.32;0.17;76;-26.2;0;"Gabriel Fernández";7768571;25;16.0;0.64;3.2;10;1;38;2;5
77;"Tema 77";75;"Daddy Yankee - Quinto";"2021";209;"rock";"rock-progresivo";0.71;0.41;0.56;0.33;0.14;190;-0.4;1;"Daddy Yankee";10316767;25;21.0;0.84;4.2;5;1;33;2;2
78;"Tema 78";52;"Coldplay - Reflexión";"2021";241;"flamenco";"rumba";0.74;0.49;0.44;0.66;0.1;66;-25.2;0;"Coldplay";12437963;21;17.0;0.8095;3.92;13;1;6;4;5
79;"Tema 79";147;"Laura Fernández - Nuevo";"2023";186;"reggaeton";"reggaeton-puro";0.76;0.86;0.47;0.18;0.03;76;-14.3;0;"Laura Fernández";2831476;24;16.0;0.6667;4.25;8;1;12;2;5
80;"Tema 80";184;"Juan González - Evolución";"2023";389;"indie";"dream-pop";0.51;0.69;0.36;0.4;0.39;164;-4.0;0;"Juan González";6305001;19;15.0;0.7895;3.13;8;1;29;2;5
81;"Tema 81";19;"Alejandro Sanz - Tercero";"2022";157;"r&b";"smooth-jazz";0.69;0.58;0.47;0.37;0.37;179;-13.3;0;"Alejandro Sanz";2927685;26;19.0;0.7308;4.0;3;1;23;3;5
82;"Tema 82";89;"Sofia González - Tercero";"2024";213;"electronica";"techno";0.83;0.7;0.68;0.03;0.13;170;-17.2;0;"Sofia González";6556755;27;21.0;0.7778;3.71;7;1;2;6;6
83;"Tema 83";15;"Karol G - Segundo Album";"2024";198;"electronica";"deep-house";0.8;0.68;0.36;0.09;0.12;102;-12.6;1;"Karol G";1103394;27;20.0;0.7407;4.0;6;1;22;3;4
84;"Tema 84";182;"Alex González - Cuarto";"2022";385;"flamenco";"flamenco-pop";0.56;0.59;0.61;0.62;0.13;80;-26.0;0;"Alex González";371332;23;16.0;0.6957;3.29;7;1;29;1;3
85;"Tema 85";163;"Carlos Johnson - Cambio de Dirección";"2022";184;"rap";"trap";0.72;0.95;0.43;0.16;0.1;196;-9.6;1;"Carlos Johnson";3021513;18;14.0;0.7778;4.0;6;1;14;3;3
86;"Tema 86";165;"Sofia González - Tercero";"2024";198;"indie";"indie-pop";0.68;0.5;0.54;0.41;0.14;146;-2.1;0;"Sofia González";293887;22;9.0;0.4091;3.57;7;1;9;2;7
87;"Tema 87";145;"Gabriel Torres - Debut";"2020";161;"electronica";"house";0.93;0.94;0.36;0.11;0.38;127;-24.6;0;"Gabriel Torres";1015749;20;13.0;0.65;4.4;5;1;8;3;5
88;"Tema 88";197;"Emma López - 25 Aniversario";"2023";135;"latin";"bachata";0.62;0.89;0.77;0.54;0.06;199;-6.1;0;"Emma López";3893396;23;13.0;0.5652;3.67;6;1;2;2;3
89;"Tema 89";78;"María Johnson - Vueltas";"2021";327;"electronica";"deep-house";0.68;0.66;0.38;0.12;0.27;176;-14.3;1;"María Johnson";240787;30;23.0;0.7667;3.75;8;1;9;3;8
90;"Tema 90";16;"C. Tangana - Tercero";"2023";332;"rock";"hard-rock";0.74;0.56;0.46;0.43;0.18;178;-18.7;1;"C. Tangana";1113057;28;23.0;0.8214;3.7;10;1;12;3;3
91;"Tema 91";156;"Emma Martínez - Tercero";"2022";283;"electronica";"deep-house";0.79;0.71;0.67;0.08;0.09;162;-3.0;1;"Emma Martínez";841434;26;17.0;0.6538;3.0;5;1;47;1;8
92;"Tema 92";95;"Francisco Torres - Cambio de Dirección";"2024";174;"reggaeton";"perreo";0.82;0.91;0.76;0.12;0.05;121;-1.8;0;"Francisco Torres";4431669;27;20.0;0.7407;4.0;4;1;27;1;3
93;"Tema 93";69;"Calvin Harris - Vueltas";"2021";192;"pop";"pop-activo";0.65;0.62;0.56;0.34;0.25;72;-14.0;0;"Calvin Harris";1119806;27;18.0;0.6667;4.0;8;1;22;4;7
94;"Tema 94";99;"Gabriel González - 25 Aniversario";"2023";247;"clasica";"camara";0.55;0.24;0.28;0.79;0.1;143;-7.7;0;"Gabriel González";87243;20;13.0;0.65;3.86;7;1;5;5;5
95;"Tema 95";185;"Carlos Smith - Nuevo";"2021";201;"latin";"bachata";0.61;0.84;0.83;0.55;0.14;191;-5.4;0;"Carlos Smith";904982;29;23.0;0.7931;3.5;6;1;24;2;3
96;"Tema 96";79;"David Stone - Vueltas";"2020";166;"indie";"dream-pop";0.36;0.62;0.36;0.4;0.32;189;-25.5;0;"David Stone";1341678;22;17.0;0.7727;3.6;5;1;21;3;1
97;"Tema 97";62;"Eminem - Cuarto";"2024";300;"latin";"cumbia";0.68;0.88;0.82;0.46;0.28;72;-13.7;0;"Eminem";3032483;28;22.0;0.7857;3.07;14;1;17;5;7
98;"Tema 98";153;"Sofia Johnson - Regreso";"2023";266;"reggaeton";"reggaeton-puro";0.78;0.87;0.47;0.18;0.23;87;-18.0;0;"Sofia Johnson";479592;27;19.0;0.7037;4.6;5;1;3;5;3
99;"Tema 99";68;"David Guetta - Evolución";"2022";326;"flamenco";"flamenco-pop";0.68;0.78;0.46;0.83;0.2;71;-11.7;0;"David Guetta";13463868;28;15.0;0.5357;3.86;7;1;13;6;3
100;"Tema 100";146;"María Fernández - Cambio de Dirección";"2021";305;"flamenco";"flamenco-pop";0.51;0.75;0.77;0.83;0.28;78;-2.3;0;"María Fernández";122753;22;15.0;0.6818;2.75;4;1;39;1;7
101;"Tema 101";116;"David López - Reflexión";"2024";263;"rap";"mumble-rap";0.91;0.65;0.53;0.12;0.17;90;-7.9;1;"David López";6164559;26;18.0;0.6923;3.36;11;1;2;3;4
102;"Tema 102";25;"Morat - Reincidencia";"2022";293;"rap";"mumble-rap";0.98;0.92;0.48;0.02;0.39;153;-4.8;0;"Morat";3144673;29;18.0;0.6207;3.29;7;1;1;4;3
103;"Tema 103";51;"Bruno Mars - 25 Aniversario";"2024";325;"clasica";"orquesta";0.16;0.28;0.63;0.86;0.24;71;-18.0;1;"Bruno Mars";28442457;25;15.0;0.6;5.0;6;0;0;0;4
104;"Tema 104";183;"Gabriel Fernández - Nuevo";"2023";385;"pop";"pop-rock";0.42;0.62;0.82;0.1;0.13;98;-18.1;0;"Gabriel Fernández";7768571;29;23.0;0.7931;3.33;6;1;26;2;5
105;"Tema 105";132;"Juan García - Tercero";"2022";283;"r&b";"neo-soul";0.59;0.78;0.54;0.24;0.3;160;-16.4;0;"Juan García";763502;27;21.0;0.7778;3.25;4;1;24;1;2
106;"Tema 106";190;"Sofia Ramírez - Quinto";"2024";292;"rock";"grunge";0.69;0.44;0.36;0.17;0.2;190;-17.4;0;"Sofia Ramírez";840631;28;22.0;0.7857;3.25;8;1;1;1;2
107;"Tema 107";182;"Alex González - 25 Aniversario";"2022";363;"flamenco";"flamenco-puro";0.87;0.54;0.63;0.85;0.01;154;-10.1;0;"Alex González";371332;30;24.0;0.8;3.2;5;1;35;1;5
108;"Tema 108";29;"Elefantes - Reincidencia";"2024";277;"rock";"rock-duro";0.67;0.59;0.36;0.27;0.03;181;-0.1;0;"Elefantes";4587523;29;22.0;0.7586;4.18;11;1;9;5;5
109;"Tema 109";168;"Gabriel Pérez - Reflexión";"2024";236;"r&b";"r&b-soul";0.58;0.68;0.43;0.4;0.08;182;-3.1;1;"Gabriel Pérez";629296;22;14.0;0.6364;4.4;5;1;23;1;3
110;"Tema 110";162;"Francisco Pérez - Evolución";"2024";314;"indie";"indie-pop";0.4;0.3;0.32;0.44;0.23;122;-28.0;1;"Francisco Pérez";3011511;28;18.0;0.6429;3.73;11;1;1;3;4
111;"Tema 111";180;"José García - Segundo Album";"2021";129;"electronica";"electro-house";0.91;0.76;0.56;0.07;0.16;140;-13.2;0;"José García";453833;20;14.0;0.7;4.75;4;1;4;1;1
112;"Tema 112";106;"Carlos González - Evolución";"2021";330;"rock";"grunge";0.66;0.35;0.64;0.48;0.15;180;-21.9;0;"Carlos González";870216;25;13.0;0.52;3.85;13;1;1;6;4
113;"Tema 113";189;"José Sánchez - Evolución";"2020";190;"rap";"mumble-rap";0.89;0.74;0.31;0.03;0.29;113;-10.2;0;"José Sánchez";2272838;26;20.0;0.7692;3.5;10;1;4;3;4
114;"Tema 114";170;"Laura Sánchez - Vueltas";"2024";312;"clasica";"opera";0.11;0.07;0.32;0.9;0.01;104;-26.9;0;"Laura Sánchez";2691335;22;13.0;0.5909;3.64;11;1;8;4;2
115;"Tema 115";137;"Ana Ramírez - Nuevo";"2024";301;"electronica";"deep-house";0.92;0.66;0.63;0.04;0.04;183;-22.7;1;"Ana Ramírez";2204358;22;17.0;0.7727;4.33;6;1;21;2;5
116;"Tema 116";64;"Kanye West - Quinto";"2024";272;"rap";"hip-hop";0.92;0.9;0.63;0.08;0.27;136;-23.9;0;"Kanye West";4029815;21;14.0;0.6667;4.25;8;1;35;1;1
117;"Tema 117";181;"Francisco Fernández - Cuarto";"2023";282;"rap";"rap-consciente";0.79;0.91;0.31;0.02;0.08;149;-29.2;0;"Francisco Fernández";1261397;27;18.0;0.6667;3.83;6;1;20;3;4
118;"Tema 118";185;"Carlos Smith - Quinto";"2022";182;"latin";"regional-mexicano";0.66;0.85;0.73;0.56;0.33;199;-19.7;0;"Carlos Smith";904982;17;14.0;0.8235;3.38;8;1;35;1;5
119;"Tema 119";102;"David Torres - Nuevo";"2021";268;"rock";"rock-duro";0.7;0.41;0.54;0.21;0.25;133;-17.7;0;"David Torres";3045188;24;17.0;0.7083;3.29;7;1;6;1;4
120;"Tema 120";21;"Serrat - Nuevo";"2023";251;"pop";"pop-rock";0.62;0.65;0.62;0.38;0.31;114;-25.8;1;"Serrat";4831854;24;17.0;0.7083;3.6;10;1;7;3;5
121;"Tema 121";138;"David López - Quinto";"2024";259;"rap";"hip-hop";0.96;0.77;0.66;0.16;0.17;87;-29.3;0;"David López";3652260;25;15.0;0.6;3.67;6;1;22;2;5
122;"Tema 122";151;"María García - Cuarto";"2021";145;"latin";"regional-mexicano";0.69;0.84;0.79;0.3;0.06;117;-5.0;0;"María García";7176582;25;19.0;0.76;3.17;6;1;34;1;3
123;"Tema 123";14;"Bad Bunny - Segundo Album";"2023";289;"rock";"hard-rock";0.99;0.46;0.37;0.21;0.01;85;-2.6;0;"Bad Bunny";1293438;31;24.0;0.7742;3.67;6;1;1;3;2
124;"Tema 124";36;"Ariana Grande - Debut";"2024";200;"electronica";"electro-house";0.65;0.8;0.44;0.08;0.26;181;-5.1;0;"Ariana Grande";13718652;24;21.0;0.875;5.0;5;1;3;2;4
125;"Tema 125";52;"Coldplay - Reflexión";"2022";284;"flamenco";"flamenco-pop";0.58;0.4;0.45;0.96;0.35;75;-12.1;0;"Coldplay";12437963;20;14.0;0.7;4.23;13;1;20;1;3
