cancion_id,titulo,artista_id,album,anio_lanzamiento,duracion_seg,genero,subgenero,energia,bailabilidad,valencia,acusticidad,instrumentalidad,tempo,volumen_db,explicito
37,Tema 37,178,Miguel González - Reflexión,2024,204,indie,dream-pop,0.45,0.36,0.64,0.58,0.32,71,-6.3,0
38,Tema 38,174,Laura González - Evolución,2021,347,rock,grunge,0.64,0.45,0.32,0.32,0.18,132,-3.4,0
39,Tema 39,115,Diego García - Cuarto,2024,242,rap,trap,0.81,0.64,0.36,0.15,0.25,180,-27.0,0
40,Tema 40,50,Justin Timberlake - Nuevo,2024,345,latin,bachata,0.63,0.88,0.62,0.53,0.28,132,-27.6,0
41,Tema 41,129,Ana Sánchez - Cambio de Dirección,2023,202,indie,indie-pop,0.34,0.69,0.49,0.39,0.33,95,-1.6,0
42,Tema 42,14,Bad Bunny - Regreso,2023,310,rock,grunge,0.99,0.53,0.45,0.13,0.31,86,-13.2,0
43,Tema 43,133,Juan Ramírez - Segundo Album,2022,162,latin,salsa,0.75,0.93,0.63,0.4,0.0,129,-15.9,0
44,Tema 44,132,Juan García - Tercero,2023,166,r&b,neo-soul,0.42,0.54,0.45,0.36,0.3,175,-12.5,0
45,Tema 45,7,Melendi - Reincidencia,2020,322,electronica,trance,0.98,0.73,0.44,0.13,0.09,155,-1.1,1
46,Tema 46,21,Serrat - Nuevo,2021,134,pop,pop-latino,0.4,0.84,0.52,0.37,0.21,85,-0.2,0
47,Tema 47,167,Ana Smith - Nuevo,2021,190,latin,cumbia,0.63,0.84,0.89,0.41,0.25,133,-9.1,0
48,Tema 48,121,Francisco Pérez - Evolución,2021,360,flamenco,rumba,0.68,0.65,0.63,0.96,0.02,61,-21.6,0
49,Tema 49,5,Duncan Dhu - Quinto,2021,196,clasica,musica-clasica-instrumental,0.58,0.27,0.43,0.89,0.11,88,-24.4,0
50,Tema 50,61,Metallica - Quinto,2020,144,flamenco,flamenco-fusión,0.69,0.54,0.63,0.63,0.39,167,-0.4,0
51,Tema 51,160,María Torres - Vueltas,2020,176,rock,hard-rock,0.88,0.46,0.42,0.43,0.27,197,-25.1,1
52,Tema 52,132,Juan García - 25 Aniversario,2021,193,r&b,r&b-contemporaneo,0.72,0.75,0.78,0.39,0.25,169,-17.5,1
53,Tema 53,91,Francisco Green - Cuarto,2024,333,clasica,camara,0.57,0.26,0.22,0.71,0.15,81,-5.7,0
54,Tema 54,93,Laura Green - Segundo Album,2024,398,indie,post-punk,0.79,0.28,0.6,0.39,0.39,189,-4.7,0
55,Tema 55,100,David Johnson - Vueltas,2020,318,flamenco,flamenco-pop,0.84,0.59,0.57,0.71,0.02,124,-4.1,0
56,Tema 56,92,David Johnson - Reflexión,2020,296,pop,pop-urbano,0.73,0.85,0.9,0.27,0.31,86,-1.7,0
57,Tema 57,189,José Sánchez - Reflexión,2022,188,rap,trap-latino,0.95,0.69,0.48,0.03,0.38,150,-11.8,0
58,Tema 58,165,Sofia González - Tercero,2023,365,indie,indie-pop,0.41,0.54,0.61,0.38,0.05,94,-9.9,1
59,Tema 59,199,Ana Ramírez - Vueltas,2020,270,flamenco,flamenco-fusión,0.71,0.71,0.61,0.94,0.22,71,-13.2,0
60,Tema 60,11,Javier Álvarez - Nuevo,2022,383,pop,pop-rock,0.75,0.64,0.55,0.11,0.3,199,-11.4,0
61,Tema 61,10,Fito & Fitipaldis - Reflexión,2021,266,indie,indie-folk,0.65,0.31,0.37,0.21,0.14,72,-12.3,0
62,Tema 62,85,José Johnson - Quinto,2020,308,reggaeton,reggaeton-romantico,0.82,0.89,0.76,0.07,0.21,162,-6.5,0
63,Tema 63,99,Gabriel González - Nuevo,2021,374,clasica,musica-clasica-instrumental,0.3,0.19,0.63,0.98,0.06,154,-2.2,0
64,Tema 64,133,Juan Ramírez - Quinto,2020,337,latin,cumbia,0.77,0.76,0.74,0.59,0.2,170,-20.1,0
65,Tema 65,47,Post Malone - Cambio de Dirección,2022,284,rap,trap-latino,0.89,0.68,0.33,0.03,0.05,80,-25.4,0
66,Tema 66,76,Ozuna - Quinto,2023,338,r&b,neo-soul,0.45,0.69,0.47,0.24,0.36,173,-15.8,0
67,Tema 67,11,Javier Álvarez - Evolución,2022,342,pop,pop-latino,0.67,0.56,0.58,0.11,0.07,74,-21.6,1
68,Tema 68,164,Alex García - Reincidencia,2022,382,rock,rock-alternativo,0.67,0.33,0.35,0.28,0.08,67,-19.1,1
69,Tema 69,156,Emma Martínez - Regreso,2023,137,electronica,techno,0.8,0.84,0.32,0.12,0.25,77,-27.5,1
70,Tema 70,166,Miguel Smith - Nuevo,2022,316,rock,grunge,0.95,0.58,0.32,0.21,0.32,68,-7.6,0
71,Tema 71,174,Laura González - Vueltas,2022,310,rock,hard-rock,0.67,0.36,0.45,0.29,0.25,79,-18.9,0
72,Tema 72,136,Miguel Ramírez - Nuevo,2023,280,rock,rock-progresivo,0.79,0.52,0.31,0.2,0.29,123,-3.1,0
73,Tema 73,7,Melendi - Evolución,2021,375,electronica,trance,0.8,0.79,0.35,0.07,0.21,159,-22.7,0
74,Tema 74,31,Extremoduro - Quinto,2022,348,latin,salsa,0.69,0.79,0.61,0.33,0.08,133,-20.2,0
75,Tema 75,126,Francisco Fernández - Cuarto,2020,189,rock,rock-duro,0.65,0.57,0.54,0.37,0.32,175,-15.0,1
76,Tema 76,183,Gabriel Fernández - Vueltas,2020,283,pop,pop-latino,0.43,0.69,0.73,0.32,0.17,76,-26.2,0
77,Tema 77,75,Daddy Yankee - Quinto,2021,209,rock,rock-progresivo,0.71,0.41,0.56,0.33,0.14,190,-0.4,1
78,Tema 78,52,Coldplay - Reflexión,2021,241,flamenco,rumba,0.74,0.49,0.44,0.66,0.1,66,-25.2,0
79,Tema 79,147,Laura Fernández - Nuevo,2023,186,reggaeton,reggaeton-puro,0.76,0.86,0.47,0.18,0.03,76,-14.3,0
80,Tema 80,184,Juan González - Evolución,2023,389,indie,dream-pop,0.51,0.69,0.36,0.4,0.39,164,-4.0,0
81,Tema 81,19,Alejandro Sanz - Tercero,2022,157,r&b,smooth-jazz,0.69,0.58,0.47,0.37,0.37,179,-13.3,0
82,Tema 82,89,Sofia González - Tercero,2024,213,electronica,techno,0.83,0.7,0.68,0.03,0.13,170,-17.2,0
83,Tema 83,15,Karol G - Segundo Album,2024,198,electronica,deep-house,0.8,0.68,0.36,0.09,0.12,102,-12.6,1
84,Tema 84,182,Alex González - Cuarto,2022,385,flamenco,flamenco-pop,0.56,0.59,0.61,0.62,0.13,80,-26.0,0
85,Tema 85,163,Carlos Johnson - Cambio de Dirección,2022,184,rap,trap,0.72,0.95,0.43,0.16,0.1,196,-9.6,1
86,Tema 86,165,Sofia González - Tercero,2024,198,indie,indie-pop,0.68,0.5,0.54,0.41,0.14,146,-2.1,0
87,Tema 87,145,Gabriel Torres - Debut,2020,161,electronica,house,0.93,0.94,0.36,0.11,0.38,127,-24.6,0
88,Tema 88,197,Emma López - 25 Aniversario,2023,135,latin,bachata,0.62,0.89,0.77,0.54,0.06,199,-6.1,0
89,Tema 89,78,María Johnson - Vueltas,2021,327,electronica,deep-house,0.68,0.66,0.38,0.12,0.27,176,-14.3,1
90,Tema 90,16,C. Tangana - Tercero,2023,332,rock,hard-rock,0.74,0.56,0.46,0.43,0.18,178,-18.7,1
91,Tema 91,156,Emma Martínez - Tercero,2022,283,electronica,deep-house,0.79,0.71,0.67,0.08,0.09,162,-3.0,1
92,Tema 92,95,Francisco Torres - Cambio de Dirección,2024,174,reggaeton,perreo,0.82,0.91,0.76,0.12,0.05,121,-1.8,0
93,Tema 93,69,Calvin Harris - Vueltas,2021,192,pop,pop-activo,0.65,0.62,0.56,0.34,0.25,72,-14.0,0
94,Tema 94,99,Gabriel González - 25 Aniversario,2023,247,clasica,camara,0.55,0.24,0.28,0.79,0.1,143,-7.7,0
95,Tema 95,185,Carlos Smith - Nuevo,2021,201,latin,bachata,0.61,0.84,0.83,0.55,0.14,191,-5.4,0
96,Tema 96,79,David Stone - Vueltas,2020,166,indie,dream-pop,0.36,0.62,0.36,0.4,0.32,189,-25.5,0
97,Tema 97,62,Eminem - Cuarto,2024,300,latin,cumbia,0.68,0.88,0.82,0.46,0.28,72,-13.7,0
98,Tema 98,153,Sofia Johnson - Regreso,2023,266,reggaeton,reggaeton-puro,0.78,0.87,0.47,0.18,0.23,87,-18.0,0
99,Tema 99,68,David Guetta - Evolución,2022,326,flamenco,flamenco-pop,0.68,0.78,0.46,0.83,0.2,71,-11.7,0
100,Tema 100,146,María Fernández - Cambio de Dirección,2021,305,flamenco,flamenco-pop,0.51,0.75,0.77,0.83,0.28,78,-2.3,0
101,Tema 101,116,David López - Reflexión,2024,263,rap,mumble-rap,0.91,0.65,0.53,0.12,0.17,90,-7.9,1
102,Tema 102,25,Morat - Reincidencia,2022,293,rap,mumble-rap,0.98,0.92,0.48,0.02,0.39,153,-4.8,0
103,Tema 103,51,Bruno Mars - 25 Aniversario,2024,325,clasica,orquesta,0.16,0.28,0.63,0.86,0.24,71,-18.0,1
104,Tema 104,183,Gabriel Fernández - Nuevo,2023,385,pop,pop-rock,0.42,0.62,0.82,0.1,0.13,98,-18.1,0
105,Tema 105,132,Juan García - Tercero,2022,283,r&b,neo-soul,0.59,0.78,0.54,0.24,0.3,160,-16.4,0
106,Tema 106,190,Sofia Ramírez - Quinto,2024,292,rock,grunge,0.69,0.44,0.36,0.17,0.2,190,-17.4,0
107,Tema 107,182,Alex González - 25 Aniversario,2022,363,flamenco,flamenco-puro,0.87,0.54,0.63,0.85,0.01,154,-10.1,0
108,Tema 108,29,Elefantes - Reincidencia,2024,277,rock,rock-duro,0.67,0.59,0.36,0.27,0.03,181,-0.1,0
109,Tema 109,168,Gabriel Pérez - Reflexión,2024,236,r&b,r&b-soul,0.58,0.68,0.43,0.4,0.08,182,-3.1,1
110,Tema 110,162,Francisco Pérez - Evolución,2024,314,indie,indie-pop,0.4,0.3,0.32,0.44,0.23,122,-28.0,1
111,Tema 111,180,José García - Segundo Album,2021,129,electronica,electro-house,0.91,0.76,0.56,0.07,0.16,140,-13.2,0
112,Tema 112,106,Carlos González - Evolución,2021,330,rock,grunge,0.66,0.35,0.64,0.48,0.15,180,-21.9,0
113,Tema 113,189,José Sánchez - Evolución,2020,190,rap,mumble-rap,0.89,0.74,0.31,0.03,0.29,113,-10.2,0
114,Tema 114,170,Laura Sánchez - Vueltas,2024,312,clasica,opera,0.11,0.07,0.32,0.9,0.01,104,-26.9,0
115,Tema 115,137,Ana Ramírez - Nuevo,2024,301,electronica,deep-house,0.92,0.66,0.63,0.04,0.04,183,-22.7,1
116,Tema 116,64,Kanye West - Quinto,2024,272,rap,hip-hop,0.92,0.9,0.63,0.08,0.27,136,-23.9,0
117,Tema 117,181,Francisco Fernández - Cuarto,2023,282,rap,rap-consciente,0.79,0.91,0.31,0.02,0.08,149,-29.2,0
118,Tema 118,185,Carlos Smith - Quinto,2022,182,latin,regional-mexicano,0.66,0.85,0.73,0.56,0.33,199,-19.7,0
119,Tema 119,102,David Torres - Nuevo,2021,268,rock,rock-duro,0.7,0.41,0.54,0.21,0.25,133,-17.7,0
120,Tema 120,21,Serrat - Nuevo,2023,251,pop,pop-rock,0.62,0.65,0.62,0.38,0.31,114,-25.8,1
121,Tema 121,138,David López - Quinto,2024,259,rap,hip-hop,0.96,0.77,0.66,0.16,0.17,87,-29.3,0
122,Tema 122,151,María García - Cuarto,2021,145,latin,regional-mexicano,0.69,0.84,0.79,0.3,0.06,117,-5.0,0
123,Tema 123,14,Bad Bunny - Segundo Album,2023,289,rock,hard-rock,0.99,0.46,0.37,0.21,0.01,85,-2.6,0
124,Tema 124,36,Ariana Grande - Debut,2024,200,electronica,electro-house,0.65,0.8,0.44,0.08,0.26,181,-5.1,0
125,Tema 125,52,Coldplay - Reflexión,2022,284,flamenco,flamenco-pop,0.58,0.4,0.45,0.96,0.35,75,-12.1,0
126,Tema 126,23,Camarón de la Isla - Regreso,2024,238,clasica,orquesta,0.4,0.2,0.29,0.97,0.17,104,-18.5,0
127,Tema 127,46,Doja Cat - Debut,2023,373,rap,hip-hop,0.86,0.62,0.37,0.15,0.03,134,-11.9,0
128,Tema 128,3,El Guincho - Quinto,2024,174,r&b,r&b-contemporaneo,0.49,0.62,0.52,0.24,0.29,132,-21.1,0
129,Tema 129,165,Sofia González - Cambio de Dirección,2024,372,indie,indie-pop,0.58,0.44,0.63,0.67,0.29,189,-23.6,0
130,Tema 130,50,Justin Timberlake - Reflexión,2020,289,latin,salsa,0.61,0.77,0.78,0.22,0.2,177,-12.1,0
131,Tema 131,184,Juan González - Tercero,2020,292,indie,indie-folk,0.47,0.59,0.35,0.24,0.29,109,-15.1,1
132,Tema 132,164,Alex García - Reincidencia,2023,383,rock,rock-progresivo,0.88,0.43,0.4,0.43,0.32,82,-9.2,0
133,Tema 133,25,Morat - Tercero,2021,364,rap,trap,0.78,0.81,0.44,0.02,0.37,123,-25.9,1
134,Tema 134,99,Gabriel González - Cuarto,2023,256,clasica,opera,0.58,0.13,0.29,0.86,0.35,137,-8.0,0
135,Tema 135,147,Laura Fernández - Debut,2022,304,reggaeton,reggaeton-trap,0.94,0.93,0.68,0.17,0.1,75,-15.3,0
136,Tema 136,120,Sofia González - Quinto,2021,327,clasica,opera,0.21,0.3,0.67,0.71,0.28,90,-2.2,0
137,Tema 137,76,Ozuna - Nuevo,2024,233,r&b,neo-soul,0.46,0.67,0.77,0.11,0.28,94,-21.1,0
138,Tema 138,117,Miguel Johnson - Evolución,2024,311,indie,dream-pop,0.76,0.69,0.77,0.44,0.34,200,-4.7,0
139,Tema 139,194,Sofia Ramírez - Cambio de Dirección,2021,246,r&b,r&b-soul,0.51,0.75,0.41,0.34,0.09,194,-26.4,0
140,Tema 140,181,Francisco Fernández - Nuevo,2020,177,rap,trap-latino,0.72,0.84,0.44,0.14,0.03,200,-20.5,0
141,Tema 141,52,Coldplay - 25 Aniversario,2024,196,flamenco,flamenco-fusión,0.72,0.72,0.53,0.85,0.35,143,-11.5,0
142,Tema 142,114,Juan Johnson - Segundo Album,2021,370,electronica,house,0.69,0.61,0.74,0.0,0.35,190,-14.1,0
143,Tema 143,15,Karol G - Vueltas,2021,382,electronica,electro-house,0.98,0.88,0.8,0.05,0.31,176,-17.9,0
144,Tema 144,144,María Rodríguez - Vueltas,2022,131,indie,dream-pop,0.54,0.51,0.74,0.69,0.31,125,-17.5,0
145,Tema 145,191,Ana Fernández - Cuarto,2024,157,pop,pop-activo,0.57,0.76,0.6,0.13,0.14,168,-21.4,0
146,Tema 146,17,Pablo Alborán - Cambio de Dirección,2020,155,indie,dream-pop,0.45,0.32,0.32,0.21,0.4,68,-17.2,0
147,Tema 147,47,Post Malone - Reflexión,2021,335,rap,trap,0.82,0.84,0.39,0.19,0.31,157,-27.3,0
148,Tema 148,97,Sofia Smith - Reincidencia,2020,396,reggaeton,reggaeton-trap,0.83,0.98,0.78,0.09,0.25,149,-25.0,1
149,Tema 149,138,David López - Reincidencia,2024,185,rap,hip-hop,1.0,0.68,0.68,0.13,0.24,60,-14.6,0
150,Tema 150,77,Emma Torres - Vueltas,2024,337,r&b,smooth-jazz,0.48,0.55,0.49,0.17,0.31,118,-19.5,1
151,Tema 151,89,Sofia González - Tercero,2022,216,electronica,house,0.62,0.94,0.74,0.14,0.4,68,-24.8,0
152,Tema 152,108,Gabriel García - 25 Aniversario,2020,243,pop,pop-urbano,0.56,0.77,0.78,0.15,0.33,77,-23.3,1
153,Tema 153,9,Bunbury - Vueltas,2024,144,indie,indie-pop,0.41,0.47,0.6,0.49,0.04,71,-3.7,0
154,Tema 154,60,Pink Floyd - Cambio de Dirección,2021,148,latin,salsa,0.69,0.73,0.87,0.58,0.34,188,-5.7,0
155,Tema 155,60,Pink Floyd - Evolución,2024,283,latin,regional-mexicano,0.83,0.84,0.63,0.36,0.15,142,-22.2,1
156,Tema 156,37,Ed Sheeran - Regreso,2024,233,indie,dream-pop,0.66,0.45,0.34,0.31,0.27,136,-27.7,0
157,Tema 157,143,Sofia Torres - 25 Aniversario,2021,338,electronica,trance,0.94,0.77,0.54,0.09,0.33,186,-19.6,1
158,Tema 158,89,Sofia González - Regreso,2023,388,electronica,deep-house,0.87,0.8,0.43,0.13,0.32,166,-10.2,0
159,Tema 159,77,Emma Torres - Reincidencia,2021,395,r&b,smooth-jazz,0.7,0.76,0.68,0.43,0.28,121,-9.6,0
160,Tema 160,77,Emma Torres - Evolución,2021,357,r&b,r&b-soul,0.62,0.73,0.46,0.45,0.35,165,-29.1,0
161,Tema 161,143,Sofia Torres - Cambio de Dirección,2021,318,electronica,techno,0.93,0.65,0.47,0.11,0.06,125,-5.5,1
162,Tema 162,166,Miguel Smith - Segundo Album,2023,309,rock,rock-duro,0.93,0.45,0.3,0.21,0.25,197,-0.6,0
163,Tema 163,49,Shawn Mendes - Debut,2022,313,indie,post-punk,0.62,0.33,0.62,0.47,0.31,70,-26.8,0
164,Tema 164,49,Shawn Mendes - Reflexión,2024,231,indie,dream-pop,0.68,0.47,0.78,0.37,0.25,113,-2.0,0
165,Tema 165,86,Diego Johnson - Quinto,2020,228,rap,hip-hop,0.73,0.93,0.58,0.01,0.12,90,-8.8,0
166,Tema 166,194,Sofia Ramírez - Vueltas,2021,224,r&b,smooth-jazz,0.42,0.67,0.54,0.35,0.02,121,-3.9,0
167,Tema 167,199,Ana Ramírez - Quinto,2023,358,flamenco,flamenco-pop,0.89,0.79,0.7,0.65,0.3,138,-29.3,0
168,Tema 168,132,Juan García - Vueltas,2023,170,r&b,smooth-jazz,0.41,0.6,0.6,0.41,0.27,141,-16.6,0
169,Tema 169,95,Francisco Torres - Nuevo,2023,143,reggaeton,reggaeton-trap,0.78,1.0,0.57,0.09,0.07,97,-6.2,1
170,Tema 170,142,Diego Sánchez - 25 Aniversario,2024,333,rock,rock-progresivo,0.88,0.37,0.33,0.37,0.26,99,-21.8,1
171,Tema 171,59,The Beatles - Reincidencia,2024,245,pop,pop-rock,0.78,0.55,0.67,0.38,0.17,200,-10.8,0
172,Tema 172,176,Diego López - Nuevo,2022,370,electronica,electro-house,0.76,0.7,0.79,0.06,0.36,177,-23.1,1
173,Tema 173,91,Francisco Green - Tercero,2021,399,clasica,musica-clasica-instrumental,0.21,0.01,0.53,0.81,0.35,107,-15.8,0
174,Tema 174,139,Ana García - Regreso,2020,388,pop,pop-activo,0.79,0.56,0.85,0.33,0.31,79,-4.7,0
175,Tema 175,172,Carlos Smith - Debut,2020,331,rap,hip-hop,0.93,0.82,0.35,0.01,0.37,119,-11.5,1
176,Tema 176,39,Dua Lipa - Debut,2021,378,indie,dream-pop,0.7,0.44,0.36,0.26,0.27,155,-17.1,1
177,Tema 177,164,Alex García - Regreso,2024,367,rock,hard-rock,0.68,0.45,0.33,0.33,0.11,64,-6.1,1
178,Tema 178,142,Diego Sánchez - Reincidencia,2020,128,rock,grunge,0.72,0.44,0.3,0.13,0.16,130,-15.6,0
179,Tema 179,74,Luis Fonsi - Debut,2024,340,r&b,neo-soul,0.61,0.59,0.68,0.44,0.31,87,-28.8,0
180,Tema 180,135,José Martínez - Tercero,2021,218,clasica,opera,0.34,0.03,0.32,1.0,0.06,150,-15.0,0
181,Tema 181,102,David Torres - Segundo Album,2022,327,rock,hard-rock,0.85,0.51,0.52,0.1,0.13,122,-14.5,0
182,Tema 182,58,Queen - Quinto,2020,136,r&b,r&b-soul,0.43,0.61,0.41,0.13,0.16,163,-26.0,0
183,Tema 183,142,Diego Sánchez - Vueltas,2020,124,rock,rock-alternativo,0.83,0.51,0.62,0.18,0.07,81,-26.9,0
184,Tema 184,112,Gabriel Martínez - Regreso,2022,168,flamenco,flamenco-puro,0.75,0.68,0.41,0.97,0.02,118,-13.8,1
185,Tema 185,178,Miguel González - 25 Aniversario,2023,258,indie,indie-rock,0.65,0.64,0.66,0.6,0.14,79,-5.6,0
186,Tema 186,72,Bob Marley - Cambio de Dirección,2024,136,electronica,techno,0.63,0.91,0.57,0.12,0.18,140,-10.7,1
187,Tema 187,54,Oasis - 25 Aniversario,2021,323,pop,pop-activo,0.61,0.76,0.53,0.12,0.1,136,-25.2,1
188,Tema 188,62,Eminem - 25 Aniversario,2023,396,latin,merengue,0.91,0.75,0.89,0.33,0.07,158,-6.3,0
189,Tema 189,36,Ariana Grande - Reflexión,2020,376,electronica,deep-house,0.86,0.77,0.58,0.11,0.09,73,-0.1,1
190,Tema 190,60,Pink Floyd - Segundo Album,2022,323,latin,merengue,0.94,0.86,0.66,0.47,0.03,67,-29.1,0
191,Tema 191,116,David López - Vueltas,2021,302,rap,mumble-rap,0.78,0.76,0.65,0.15,0.3,156,-17.2,0
192,Tema 192,175,Emma Martínez - 25 Aniversario,2023,163,r&b,r&b-contemporaneo,0.52,0.61,0.8,0.12,0.35,123,-12.6,0
193,Tema 193,22,Joan Manuel Serrat - Quinto,2021,314,indie,indie-pop,0.52,0.56,0.54,0.64,0.36,159,-17.3,0
194,Tema 194,28,La Casa Azul - Segundo Album,2020,277,r&b,smooth-jazz,0.5,0.68,0.76,0.18,0.25,152,-11.1,0
195,Tema 195,27,Sfdk - Tercero,2020,215,indie,dream-pop,0.67,0.27,0.66,0.65,0.07,174,-22.9,0
196,Tema 196,132,Juan García - Reincidencia,2020,133,r&b,r&b-soul,0.74,0.55,0.74,0.3,0.1,150,-3.9,0
197,Tema 197,153,Sofia Johnson - 25 Aniversario,2022,317,reggaeton,reggaeton-puro,0.83,0.9,0.54,0.12,0.07,134,-18.3,0
198,Tema 198,200,Emma López - Segundo Album,2024,244,reggaeton,reggaeton-trap,0.99,0.85,0.66,0.07,0.31,157,-26.1,1
199,Tema 199,69,Calvin Harris - Quinto,2022,372,pop,pop-urbano,0.79,0.66,0.59,0.12,0.07,76,-14.4,1
200,Tema 200,71,Diplo - Reincidencia,2022,367,indie,indie-rock,0.47,0.61,0.52,0.32,0.25,152,-8.8,0
201,Tema 201,64,Kanye West - Evolución,2023,220,rap,rap-consciente,0.75,0.66,0.31,0.15,0.27,87,-15.8,1
202,Tema 202,2,Recycled J - Reincidencia,2022,314,rap,trap,0.95,0.88,0.53,0.17,0.08,172,-26.6,0
203,Tema 203,167,Ana Smith - 25 Aniversario,2021,273,latin,merengue,0.69,0.71,0.76,0.57,0.02,111,-26.3,0
204,Tema 204,46,Doja Cat - Reincidencia,2022,269,rap,rap-consciente,0.84,0.93,0.43,0.1,0.02,122,-25.5,0
205,Tema 205,72,Bob Marley - Reflexión,2023,306,electronica,house,0.99,0.94,0.3,0.14,0.26,111,-4.0,0
206,Tema 206,140,Carlos Green - Tercero,2024,133,latin,bachata,0.76,0.83,0.75,0.47,0.06,113,-29.1,0
