usuario_id,edad,sexo,ciudad,tipo_suscripcion,fecha_registro,dispositivo_principal,horas_escucha_mensual
111,16,No_especificado,Almería,premium,2019-06-09,movil,20
112,14,M,Sevilla,premium,2023-10-22,tablet,71
113,21,M,Tarragona,free,2021-06-30,movil,1
114,22,M,Bilbao,premium,2019-04-20,pc,40
115,31,F,Cádiz,premium,2019-06-05,pc,50
116,18,F,Valencia,free,2019-09-03,pc,30
117,20,M,Alicante,premium,2022-07-27,movil,41
118,36,M,Jaén,premium,2019-12-24,pc,32
119,21,M,Jerez,free,2023-11-17,movil,28
120,17,F,Gijón,estudiante,2019-02-16,pc,40
121,34,No_especificado,Valladolid,premium,2020-03-17,movil,86
122,35,M,Valencia,free,2021-10-15,pc,27
123,34,M,Madrid,premium,2022-03-27,movil,23
124,29,F,Oviedo,familiar,2023-01-12,pc,59
125,31,M,Gijón,premium,2023-11-21,tablet,47
126,32,M,Valencia,premium,2023-11-24,pc,38
127,28,No_especificado,Girona,premium,2023-06-10,tablet,20
128,24,M,Oviedo,free,2021-01-15,tablet,40
129,31,F,Palma,free,2021-02-03,movil,19
130,50,No_especificado,Valladolid,premium,2020-10-18,movil,17
131,14,M,Vigo,premium,2021-02-01,movil,79
132,28,F,Valladolid,premium,2023-07-26,movil,40
133,13,No_especificado,Getafe,premium,2021-01-07,tablet,53
134,34,F,Córdoba,familiar,2020-11-12,movil,27
135,26,F,Palma,familiar,2023-12-28,pc,49
136,31,No_especificado,Valladolid,free,2022-05-11,movil,3
137,43,No_especificado,Palma,premium,2023-10-10,pc,63
138,23,M,Vigo,premium,2019-06-17,movil,40
139,26,No_especificado,Valencia,premium,2021-11-30,tablet,29
140,22,No_especificado,Palma,free,2023-02-23,movil,15
141,47,F,Girona,free,2019-08-28,pc,34
142,39,F,Vigo,premium,2021-12-07,tablet,52
143,14,No_especificado,Castellón,premium,2023-03-16,movil,44
144,39,M,Toledo,premium,2022-08-04,pc,19
145,35,No_especificado,Granada,premium,2023-01-06,movil,91
146,40,No_especificado,Bilbao,free,2021-10-11,pc,41
147,30,F,Almería,free,2023-03-28,movil,34
148,19,No_especificado,Bilbao,premium,2023-07-27,tablet,60
149,35,F,Alicante,premium,2020-02-29,movil,50
150,43,M,Zaragoza,free,2020-06-03,pc,11
151,25,F,Vigo,premium,2019-01-22,movil,46
152,15,F,Cádiz,premium,2020-03-02,movil,49
153,13,F,Valencia,premium,2022-10-22,pc,65
154,28,F,Castellón,premium,2019-03-05,movil,34
155,17,F,Bilbao,free,2021-05-15,movil,16
156,36,F,Girona,premium,2019-02-25,pc,55
157,19,M,Jaén,premium,2020-05-31,smart_speaker,28
158,35,No_especificado,Bilbao,premium,2021-07-20,movil,30
159,28,No_especificado,Jaén,premium,2019-03-12,movil,47
160,31,No_especificado,Léida,premium,2020-03-19,pc,62
161,13,No_especificado,Córdoba,premium,2022-04-30,movil,6
162,21,No_especificado,Léida,estudiante,2019-05-22,pc,95
163,52,No_especificado,Alcalá de Henares,premium,2023-06-30,movil,81
164,25,M,Badajoz,familiar,2022-04-14,pc,6
165,13,M,Léida,free,2020-08-23,movil,10
166,25,No_especificado,Santander,familiar,2021-05-23,movil,99
167,38,M,Granada,free,2021-09-14,movil,23
168,17,No_especificado,Murcia,premium,2023-05-02,movil,25
169,31,M,Santander,premium,2023-11-08,movil,58
170,32,M,Léida,premium,2023-07-14,tablet,24
171,35,M,Palma,premium,2019-10-13,tablet,53
172,15,No_especificado,Barcelona,free,2021-06-16,smart_speaker,8
173,36,F,Barcelona,premium,2022-12-21,pc,40
174,47,No_especificado,Bilbao,premium,2021-05-07,pc,55
175,22,No_especificado,Huelva,premium,2019-05-18,movil,44
176,28,No_especificado,Castellón,free,2021-08-30,movil,9
177,17,M,Alicante,premium,2019-02-19,tablet,59
178,38,No_especificado,Granada,premium,2021-07-02,pc,57
179,46,No_especificado,Badajoz,premium,2021-09-05,movil,34
180,48,M,Getafe,free,2019-08-26,pc,6
181,15,M,Tarragona,premium,2019-09-30,movil,9
182,22,F,Sevilla,premium,2021-11-10,movil,34
183,34,No_especificado,Gijón,premium,2022-04-14,movil,49
184,13,M,Burgos,premium,2020-05-14,movil,37
185,23,M,Jaén,estudiante,2021-09-06,tablet,5
186,16,F,Zaragoza,premium,2019-10-27,movil,29
187,45,M,Zaragoza,premium,2021-09-05,tablet,48
188,35,No_especificado,Palma,premium,2020-05-20,smart_speaker,15
189,42,No_especificado,Cádiz,premium,2020-04-06,movil,71
190,13,F,Valencia,estudiante,2023-11-19,movil,32
191,33,M,Cádiz,premium,2021-03-11,movil,57
192,19,M,Córdoba,premium,2021-09-08,tablet,38
193,20,F,Palma,premium,2020-05-09,pc,47
194,42,M,Huelva,premium,2022-05-13,movil,29
195,40,M,Valladolid,free,2023-05-02,movil,8
196,17,F,Gijón,premium,2021-08-09,movil,61
197,39,F,Tarragona,premium,2023-09-09,smart_speaker,62
198,13,F,Jaén,premium,2021-11-13,movil,35
199,37,No_especificado,Córdoba,premium,2021-08-19,pc,45
200,15,F,Orense,premium,2022-06-16,pc,54
201,19,F,Gijón,premium,2023-11-27,movil,80
202,46,F,Burgos,free,2020-05-05,movil,29
203,44,F,Granada,premium,2023-08-19,movil,46
204,37,F,Badajoz,premium,2022-05-09,pc,74
205,30,No_especificado,Córdoba,premium,2023-07-01,pc,39
206,13,No_especificado,Cádiz,premium,2022-12-30,movil,43
207,37,F,Orense,premium,2019-12-22,movil,63
208,34,F,Almería,free,2020-02-26,pc,11
209,13,F,Murcia,premium,2023-12-23,pc,35
210,24,M,Vigo,premium,2021-09-18,movil,38
211,35,F,Santander,premium,2019-10-27,tablet,84
212,29,M,Alcalá de Henares,premium,2023-07-24,movil,40
213,24,M,Granada,premium,2023-07-21,movil,47
214,18,F,Gijón,estudiante,2021-11-12,tablet,53
215,33,M,Huelva,premium,2022-07-10,movil,49
216,33,F,Huelva,familiar,2021-03-03,pc,73
217,13,M,Cádiz,premium,2023-04-06,movil,57
218,19,M,Gijón,estudiante,2019-08-09,movil,22
219,14,M,Huelva,premium,2020-02-24,movil,53
220,25,M,Madrid,free,2019-08-17,pc,0
221,33,F,Oviedo,premium,2021-05-30,pc,16
222,29,No_especificado,Gijón,premium,2022-02-05,movil,49
223,38,M,Burgos,premium,2023-04-11,movil,80
224,13,F,Salamanca,free,2022-01-14,tablet,19
225,24,M,Gijón,premium,2023-07-16,smart_speaker,53
226,30,F,Toledo,premium,2020-05-10,movil,37
227,22,M,Toledo,premium,2020-07-26,movil,22
228,39,F,Huelva,free,2022-04-02,movil,26
229,39,F,Salamanca,familiar,2020-04-20,tablet,50
230,20,No_especificado,Léida,free,2021-06-25,movil,3
231,32,No_especificado,Alcalá de Henares,premium,2019-02-17,tablet,24
232,50,No_especificado,Girona,premium,2021-06-13,movil,18
233,31,F,Barcelona,premium,2021-10-19,movil,76
234,35,F,Salamanca,premium,2021-02-02,movil,48
235,16,No_especificado,Alcalá de Henares,free,2019-12-11,movil,0
236,37,F,Castellón,premium,2021-04-09,movil,75
237,22,M,Alcalá de Henares,free,2022-05-14,pc,2
238,13,No_especificado,Almería,estudiante,2022-08-14,smart_speaker,25
239,26,M,Alcalá de Henares,premium,2022-03-16,movil,76
240,36,F,Huelva,premium,2023-01-23,movil,51
241,23,F,Badajoz,premium,2020-12-14,movil,33
242,44,F,Jaén,free,2019-11-20,movil,23
243,13,No_especificado,Orense,free,2022-05-11,tablet,9
244,17,M,Alcalá de Henares,premium,2021-01-16,movil,34
245,34,No_especificado,Palma,free,2019-07-09,movil,18
246,27,F,Málaga,premium,2021-12-11,pc,71
247,19,F,Valladolid,estudiante,2023-10-25,movil,96
248,19,M,Toledo,premium,2021-04-18,tablet,46
249,24,M,Málaga,premium,2022-06-25,movil,47
250,33,No_especificado,Murcia,free,2020-08-13,pc,26
251,18,M,Almería,premium,2019-02-05,tablet,22
252,58,No_especificado,Zaragoza,familiar,2019-05-18,movil,45
253,36,M,Alicante,premium,2023-05-15,movil,12
254,24,No_especificado,Murcia,premium,2019-11-09,pc,42
255,33,M,Burgos,premium,2023-10-18,movil,0
256,29,M,Lugo,premium,2021-10-30,movil,22
257,31,M,Sevilla,familiar,2021-08-18,movil,28
258,17,No_especificado,Cádiz,free,2022-03-21,movil,15
259,15,F,Murcia,premium,2022-12-25,movil,35
260,13,No_especificado,Valencia,free,2019-05-18,movil,0
261,40,F,Jerez,familiar,2021-12-19,movil,21
262,25,F,Vigo,premium,2023-12-26,pc,60
263,20,No_especificado,Castellón,premium,2023-05-30,smart_speaker,28
264,30,No_especificado,Vigo,premium,2023-03-20,pc,67
265,13,M,Lugo,free,2023-10-24,tablet,17
266,13,M,Zaragoza,premium,2022-05-13,tablet,37
267,28,M,Getafe,familiar,2021-02-22,tablet,34
268,22,F,Girona,premium,2020-02-11,movil,16
269,28,No_especificado,Valladolid,premium,2021-07-10,movil,66
270,14,No_especificado,Córdoba,estudiante,2022-08-22,pc,34
271,34,M,Barcelona,premium,2020-04-10,movil,69
272,13,F,Jerez,estudiante,2022-12-30,movil,45
273,31,F,Córdoba,premium,2021-05-01,tablet,42
274,13,M,Bilbao,estudiante,2020-08-28,movil,62
275,46,F,Huelva,premium,2019-06-09,movil,47
276,15,No_especificado,Jaén,premium,2019-03-24,movil,34
277,49,F,Zaragoza,familiar,2020-12-22,tablet,87
278,35,No_especificado,Palma,premium,2019-01-23,movil,52
279,20,No_especificado,Gijón,estudiante,2019-05-03,movil,44
280,27,No_especificado,Cádiz,free,2019-02-19,movil,28
281,46,No_especificado,Jerez,premium,2020-12-11,movil,67
282,13,M,Orense,premium,2022-04-14,movil,49
283,36,F,Huelva,free,2023-04-13,movil,29
284,20,No_especificado,Lugo,premium,2019-05-18,pc,103
285,13,F,Santander,estudiante,2022-09-14,movil,22
286,30,No_especificado,Gijón,premium,2019-10-22,pc,87
287,17,M,Alcalá de Henares,free,2020-07-18,tablet,16
288,40,F,Madrid,premium,2019-09-30,movil,44
289,23,F,Valladolid,free,2021-05-24,pc,28
290,31,M,Madrid,premium,2019-05-16,movil,65
291,43,No_especificado,Jaén,free,2023-05-31,movil,24
292,31,M,Girona,free,2019-08-22,movil,23
293,33,F,Cádiz,free,2023-10-09,movil,20
294,27,No_especificado,Santander,premium,2022-07-17,smart_speaker,68
295,46,No_especificado,Orense,premium,2022-10-29,movil,14
296,28,M,Toledo,premium,2023-07-27,pc,31
297,24,F,Lugo,free,2020-09-07,movil,26
298,36,F,Sevilla,premium,2022-04-26,pc,42
299,13,M,Valladolid,premium,2022-02-10,tablet,25
300,38,M,Jerez,premium,2019-11-10,pc,0
301,42,No_especificado,Cádiz,familiar,2021-04-25,pc,75
302,43,F,Tarragona,premium,2019-06-16,movil,41
303,13,No_especificado,Zaragoza,free,2023-05-07,pc,26
304,43,F,Vigo,premium,2023-07-28,tablet,63
305,20,M,Santander,premium,2021-01-28,movil,46
306,21,F,Vigo,free,2022-04-20,movil,7
307,39,M,Oviedo,premium,2020-05-13,movil,21
308,17,M,Burgos,premium,2022-04-30,movil,22
309,13,M,Málaga,premium,2023-06-19,movil,47
310,41,F,Girona,premium,2019-07-09,movil,41
311,13,No_especificado,Valladolid,estudiante,2019-04-16,pc,70
312,48,M,Oviedo,free,2023-09-24,movil,10
313,22,No_especificado,Castellón,premium,2022-09-26,pc,55
314,47,F,Santander,premium,2019-07-24,movil,34
315,13,M,Madrid,free,2023-08-10,pc,29
316,37,F,Girona,familiar,2019-08-09,pc,60
317,21,No_especificado,Zaragoza,free,2023-08-31,movil,34
318,34,F,Badajoz,premium,2019-11-19,movil,29
319,28,M,Girona,premium,2022-05-27,pc,17
320,36,F,Santander,premium,2022-09-23,movil,39
321,22,F,Castellón,free,2021-11-08,movil,19
322,28,F,Getafe,premium,2023-07-11,pc,62
323,35,F,Burgos,familiar,2020-03-07,pc,55
324,37,M,Valencia,premium,2019-06-12,movil,53
325,22,M,Bilbao,free,2021-07-08,tablet,18
326,26,F,Santander,free,2022-11-09,pc,27
327,23,F,Huelva,premium,2021-04-19,movil,37
328,51,No_especificado,Tarragona,free,2022-12-23,pc,34
329,18,M,Cádiz,free,2019-11-17,movil,28
330,29,M,Valencia,premium,2023-09-19,movil,52
331,29,M,Girona,familiar,2021-08-07,movil,95
332,32,No_especificado,Burgos,premium,2021-07-09,movil,43
333,40,No_especificado,Huelva,free,2022-09-10,movil,23
334,29,No_especificado,Murcia,premium,2019-01-16,tablet,51
335,26,F,Getafe,familiar,2019-07-10,movil,60
336,20,M,Valencia,premium,2023-12-16,smart_speaker,29
337,16,F,Gijón,free,2020-02-19,movil,0
338,17,M,Cádiz,premium,2022-12-27,movil,41
339,29,F,Madrid,premium,2019-08-03,pc,39
340,13,No_especificado,Granada,premium,2020-03-08,tablet,76
341,41,No_especificado,Lugo,free,2020-07-14,pc,26
342,50,No_especificado,Granada,premium,2021-06-09,tablet,25
343,50,M,Jerez,premium,2023-01-12,pc,25
344,30,F,Valencia,premium,2020-08-05,movil,19
345,28,No_especificado,Zaragoza,premium,2021-08-29,movil,52
346,26,F,Toledo,premium,2020-10-07,movil,59
347,29,F,Tarragona,premium,2023-12-31,movil,34
348,21,M,Badajoz,premium,2021-03-19,movil,61
349,20,M,Toledo,free,2023-08-10,movil,33
350,42,F,Sevilla,premium,2019-06-05,movil,11
351,41,No_especificado,Getafe,familiar,2019-02-03,movil,121
352,31,No_especificado,Tarragona,premium,2023-04-24,smart_speaker,56
353,40,No_especificado,Salamanca,premium,2021-12-29,movil,39
354,30,M,Almería,premium,2021-03-07,movil,18
355,29,No_especificado,Granada,premium,2019-01-30,movil,54
356,34,No_especificado,Almería,premium,2021-09-09,movil,66
357,18,No_especificado,Badajoz,free,2019-12-13,movil,12
358,50,F,Palma,premium,2021-05-23,pc,41
359,30,M,Oviedo,premium,2020-09-25,movil,43
360,18,No_especificado,Zaragoza,estudiante,2019-06-06,pc,90
361,21,M,Almería,estudiante,2019-05-16,tablet,21
362,22,F,Murcia,premium,2019-08-21,pc,4
363,20,No_especificado,Jerez,premium,2021-11-12,movil,25
364,35,F,Málaga,free,2020-12-30,pc,9
365,38,F,Granada,premium,2022-01-21,movil,72
366,37,No_especificado,Málaga,familiar,2019-05-10,pc,53
367,29,No_especificado,Granada,premium,2021-09-07,movil,14
368,26,F,Barcelona,familiar,2020-11-27,pc,34
369,36,F,Bilbao,familiar,2023-07-12,pc,137
370,33,M,Palma,premium,2020-01-25,tablet,5
371,23,No_especificado,Zaragoza,premium,2023-03-06,movil,47
372,29,F,Jerez,premium,2021-03-04,pc,30
373,30,M,Valencia,premium,2021-07-16,movil,20
374,16,M,Cádiz,free,2022-08-21,pc,29
375,15,M,Burgos,premium,2023-11-01,pc,55
376,13,M,Orense,premium,2022-02-23,movil,80
377,18,F,Girona,premium,2022-02-07,pc,40
378,31,F,Alicante,familiar,2022-07-03,pc,43
379,29,No_especificado,Burgos,premium,2020-05-18,pc,56
380,39,F,Valencia,premium,2023-10-25,tablet,60
381,25,No_especificado,Córdoba,free,2022-11-26,tablet,17
382,56,M,Gijón,free,2020-11-27,movil,34
383,16,No_especificado,Cádiz,estudiante,2019-06-03,smart_speaker,52
384,23,F,Barcelona,premium,2019-02-23,pc,42
385,13,No_especificado,Málaga,estudiante,2023-11-16,movil,39
386,49,No_especificado,Bilbao,free,2021-01-12,movil,28
387,13,F,Burgos,free,2023-12-25,smart_speaker,38
388,41,No_especificado,Málaga,free,2020-04-19,pc,14
389,36,No_especificado,Málaga,free,2023-07-21,movil,7
390,22,No_especificado,Tarragona,premium,2022-02-05,tablet,74
391,24,F,Valencia,premium,2020-09-30,movil,7
392,27,No_especificado,Santander,familiar,2020-07-05,movil,57
393,42,M,Madrid,premium,2019-08-07,movil,45
394,22,F,Vigo,estudiante,2022-01-14,movil,76
395,29,No_especificado,Almería,free,2019-06-17,movil,8
396,41,No_especificado,Bilbao,premium,2022-07-15,movil,48
397,28,No_especificado,Córdoba,premium,2019-12-13,movil,48
398,15,No_especificado,Lugo,premium,2020-05-03,tablet,34
399,28,No_especificado,Gijón,familiar,2022-03-27,movil,54
400,43,M,Girona,premium,2022-01-26,pc,49
401,38,No_especificado,Alcalá de Henares,premium,2020-01-30,movil,45
402,40,M,Vigo,familiar,2022-04-24,movil,71
403,28,F,Almería,premium,2022-06-16,pc,44
404,16,F,Badajoz,estudiante,2022-08-20,movil,62
405,27,M,Vigo,premium,2022-04-24,movil,34
406,41,M,Murcia,free,2023-07-26,movil,1
407,22,No_especificado,Almería,premium,2019-09-29,movil,65
408,31,M,Valencia,premium,2023-02-06,movil,44
409,31,M,Gijón,free,2019-08-19,movil,22
410,13,No_especificado,Alicante,premium,2023-08-27,pc,38
411,47,F,Salamanca,premium,2021-07-04,movil,31
412,24,M,Cádiz,free,2020-10-27,pc,11
413,26,No_especificado,Gijón,familiar,2021-06-27,movil,42
414,33,M,Salamanca,premium,2021-03-08,tablet,48
415,37,No_especificado,Almería,premium,2021-09-30,tablet,23
416,23,M,Badajoz,premium,2019-01-07,movil,40
417,33,M,Jerez,premium,2021-12-09,movil,29
418,38,F,Valladolid,premium,2020-08-03,movil,68
419,16,M,Jaén,free,2023-05-29,movil,12
420,21,F,Castellón,premium,2020-09-12,movil,97
421,22,No_especificado,Gijón,premium,2023-09-16,movil,78
422,13,M,Jaén,premium,2020-03-27,movil,25
423,19,M,Girona,premium,2021-02-26,movil,28
424,24,No_especificado,Valladolid,free,2019-08-13,tablet,9
425,18,F,Bilbao,free,2020-07-10,movil,37
426,42,F,Vigo,familiar,2019-02-11,movil,88
427,34,M,Almería,free,2020-08-02,smart_speaker,21
428,22,No_especificado,Orense,free,2020-01-10,movil,5
429,32,M,Valladolid,premium,2019-02-10,smart_speaker,21
430,16,No_especificado,Getafe,premium,2022-03-09,pc,68
431,50,M,Bilbao,premium,2023-02-09,movil,52
432,41,F,Gijón,premium,2022-04-15,pc,40
433,13,No_especificado,Castellón,free,2019-07-16,movil,29
434,34,M,Burgos,premium,2019-04-04,pc,46
435,25,M,Santander,familiar,2021-10-06,movil,88
436,16,M,Zaragoza,free,2019-07-31,smart_speaker,8
437,15,F,Valencia,premium,2020-02-24,movil,46
438,14,No_especificado,Zaragoza,premium,2019-07-30,movil,31
439,19,F,Córdoba,premium,2020-03-28,smart_speaker,39
440,13,M,Valencia,premium,2020-06-09,movil,46
441,42,M,Gijón,free,2022-08-09,pc,22
442,46,M,Málaga,premium,2020-11-28,movil,71
443,37,M,Badajoz,familiar,2023-06-09,pc,62
444,28,M,Valencia,premium,2021-09-01,pc,60
445,23,No_especificado,Madrid,premium,2023-09-21,movil,7
446,33,F,Santander,premium,2019-07-24,smart_speaker,22
447,16,No_especificado,Gijón,free,2019-01-01,pc,20
448,26,F,Léida,premium,2022-02-13,movil,16
449,29,M,Barcelona,premium,2022-09-28,movil,64
450,14,M,Toledo,free,2023-02-19,movil,39
451,13,M,Granada,free,2019-09-29,movil,51
452,23,F,Toledo,free,2022-06-20,movil,22
453,13,No_especificado,Salamanca,free,2021-01-20,movil,19
454,30,F,Huelva,premium,2019-11-12,tablet,43
455,21,M,Jaén,premium,2021-02-13,tablet,26
456,41,No_especificado,Murcia,free,2022-11-02,movil,20
457,46,M,Palma,familiar,2020-03-09,movil,44
458,22,F,Toledo,free,2022-12-03,movil,32
459,13,No_especificado,Orense,estudiante,2022-04-26,movil,19
460,41,F,Léida,familiar,2019-11-19,tablet,24
461,13,No_especificado,Salamanca,estudiante,2021-07-08,pc,96
462,13,F,Gijón,premium,2020-10-08,pc,48
463,28,No_especificado,Barcelona,premium,2020-02-06,movil,0
464,24,No_especificado,Jerez,premium,2019-07-06,movil,53
465,32,No_especificado,Córdoba,familiar,2019-04-21,movil,87
466,23,M,Jaén,free,2021-03-19,pc,30
467,19,No_especificado,Córdoba,estudiante,2019-04-19,pc,14
468,13,M,Córdoba,premium,2020-05-07,movil,15
469,40,No_especificado,Zaragoza,familiar,2020-05-09,movil,14
470,31,No_especificado,Málaga,premium,2020-06-15,movil,39
471,26,M,Valencia,premium,2021-05-25,movil,72
472,22,M,Toledo,premium,2022-12-02,tablet,57
473,28,No_especificado,Léida,premium,2019-05-27,movil,41
474,55,M,Burgos,premium,2021-08-01,pc,16
475,43,F,Barcelona,free,2019-03-09,movil,29
476,22,No_especificado,Barcelona,premium,2023-11-03,pc,77
477,13,F,Palma,estudiante,2023-04-01,movil,36
478,13,M,Málaga,premium,2022-11-09,pc,53
479,14,M,Léida,free,2023-05-24,smart_speaker,26
480,25,M,Barcelona,familiar,2023-01-12,pc,45
481,32,F,Alicante,free,2023-06-16,movil,15
482,14,F,Badajoz,estudiante,2019-11-23,pc,120
483,22,No_especificado,Jaén,free,2020-08-11,tablet,0
484,17,M,Valladolid,premium,2019-12-26,tablet,19
485,37,No_especificado,Valencia,premium,2020-10-05,movil,51
486,32,F,Jerez,premium,2019-02-23,movil,37
487,24,No_especificado,Badajoz,free,2023-12-20,movil,14
488,27,F,Málaga,premium,2021-01-10,movil,61
489,32,M,Vigo,premium,2021-02-12,movil,55
490,33,M,Gijón,premium,2021-11-13,movil,62
491,31,No_especificado,Sevilla,premium,2021-01-19,movil,52
492,42,No_especificado,Alcalá de Henares,premium,2023-02-03,movil,31
493,17,No_especificado,Jaén,free,2019-04-19,pc,2
494,30,No_especificado,Jerez,premium,2022-06-19,movil,7
495,33,No_especificado,Orense,premium,2020-01-14,smart_speaker,42
496,41,M,Alicante,free,2023-11-08,movil,9
497,25,M,Orense,premium,2023-02-21,tablet,67
498,44,F,Murcia,free,2022-01-26,pc,9
499,30,M,Orense,familiar,2020-02-02,movil,68
