"usuario_id";"edad";"sexo";"ciudad";"tipo_suscripcion";"fecha_registro";"dispositivo_principal";"horas_escucha_mensual";"total_reproducciones";"canciones_distintas";"artistas_distintos";"ratio_completadas";"modo_reproduccion_favorito";"reproducciones_fin_semana";"generos_distintos";"genero_favorito";"puntuacion_media_dada"
51;35;"F";"Huelva";"premium";"2021-06-10";"pc";32;11;11;11;0.5455;"playlist";18.18;7;"pop";3.0
52;24;"No_especificado";"Sevilla";"estudiante";"2020-12-24";"movil";55;10;10;9;0.5;"Sin datos";30.0;7;"latin";4.0
53;29;"F";"Jaén";"familiar";"2022-05-29";"movil";60;12;12;12;0.5833;"recomendacion";25.0;7;"rock";0.0
54;18;"F";"Salamanca";"free";"2021-05-02";"movil";15;12;12;11;0.6667;"radio";25.0;7;"indie";4.5
55;28;"No_especificado";"Palma";"premium";"2020-11-24";"smart_speaker";17;8;8;8;0.875;"busqueda";37.5;5;"rock";4.33
56;22;"F";"Alicante";"premium";"2022-05-11";"pc";52;10;10;10;0.7;"radio";30.0;5;"electronica";4.0
57;13;"No_especificado";"Cádiz";"free";"2023-07-11";"movil";37;9;9;9;0.6667;"playlist";22.22;6;"rock";4.33
58;43;"No_especificado";"Jaén";"premium";"2019-05-10";"movil";20;6;6;5;0.5;"playlist";16.67;4;"indie";3.5
59;44;"M";"Salamanca";"free";"2020-10-30";"movil";17;13;13;12;0.5385;"album";7.69;7;"latin";3.5
60;33;"F";"Jaén";"premium";"2023-05-31";"tablet";35;10;10;10;0.8;"recomendacion";20.0;5;"rap";0.0
61;39;"F";"Granada";"premium";"2019-09-18";"movil";53;12;12;11;0.6667;"album";41.67;6;"indie";3.6
62;18;"No_especificado";"Toledo";"estudiante";"2022-12-21";"pc";20;5;5;5;0.8;"recomendacion";20.0;4;"indie";2.67
63;13;"M";"Girona";"premium";"2022-02-27";"movil";48;5;5;5;0.8;"album";20.0;5;"electronica";3.5
64;34;"No_especificado";"Bilbao";"premium";"2021-02-25";"movil";58;13;13;12;0.8462;"album";15.38;6;"electronica";4.33
65;26;"M";"Orense";"premium";"2021-10-02";"pc";21;12;12;11;0.75;"playlist";41.67;8;"pop";4.25
66;19;"No_especificado";"Gijón";"premium";"2019-05-18";"tablet";68;10;10;10;0.6;"busqueda";30.0;7;"rap";4.0
67;22;"F";"Valladolid";"premium";"2021-01-15";"pc";47;8;8;7;0.75;"album";25.0;6;"rap";3.75
68;15;"M";"Toledo";"estudiante";"2022-07-20";"movil";58;6;6;6;0.8333;"radio";16.67;5;"flamenco";5.0
69;22;"No_especificado";"Jaén";"free";"2022-02-24";"movil";35;9;9;9;0.6667;"album";33.33;7;"r&b";1.67
70;37;"F";"Girona";"free";"2020-10-05";"movil";12;10;10;10;0.7;"busqueda";10.0;6;"r&b";4.0
71;26;"No_especificado";"Granada";"premium";"2022-05-08";"movil";33;12;12;12;0.6667;"busqueda";33.33;9;"rock";5.0
72;13;"M";"Granada";"premium";"2021-12-08";"movil";27;11;11;11;0.9091;"recomendacion";18.18;8;"reggaeton";1.0
73;30;"F";"Huelva";"premium";"2022-12-05";"movil";51;11;11;11;0.6364;"album";45.45;6;"indie";4.0
74;29;"F";"Salamanca";"premium";"2019-10-23";"movil";38;14;14;14;0.7857;"radio";21.43;8;"r&b";3.0
75;39;"No_especificado";"Getafe";"premium";"2019-06-11";"movil";46;8;8;7;0.75;"playlist";12.5;6;"latin";2.0
76;36;"M";"Léida";"premium";"2022-07-05";"pc";9;8;8;8;0.5;"album";25.0;4;"reggaeton";3.2
77;13;"F";"Burgos";"premium";"2019-08-09";"movil";50;17;17;16;0.8824;"album";52.94;9;"indie";3.88
78;13;"M";"Jerez";"estudiante";"2020-08-06";"movil";44;7;7;7;0.5714;"playlist";42.86;6;"rap";5.0
79;24;"M";"Alicante";"free";"2019-04-18";"movil";43;13;13;12;0.8462;"busqueda";38.46;7;"indie";4.33
80;32;"F";"Valladolid";"familiar";"2020-10-07";"pc";64;7;7;7;0.5714;"recomendacion";42.86;5;"electronica";4.5
81;38;"M";"Huelva";"premium";"2022-08-16";"movil";52;11;11;11;0.6364;"playlist";27.27;8;"r&b";1.0
82;22;"No_especificado";"Valencia";"premium";"2022-08-11";"movil";66;7;7;7;0.7143;"busqueda";14.29;5;"flamenco";3.33
83;14;"No_especificado";"Valencia";"free";"2023-12-14";"pc";24;5;5;5;0.8;"album";0.0;5;"rock";4.0
84;13;"No_especificado";"Córdoba";"premium";"2021-10-14";"pc";49;13;13;13;0.7692;"recomendacion";15.38;8;"r&b";1.0
85;30;"M";"Bilbao";"free";"2021-12-06";"movil";45;8;8;8;0.625;"busqueda";0.0;5;"latin";4.5
86;13;"M";"Cádiz";"free";"2021-01-01";"pc";10;14;13;13;0.5714;"playlist";35.71;8;"rap";3.8
87;37;"M";"Girona";"premium";"2021-03-31";"movil";51;12;12;11;0.5833;"radio";16.67;7;"latin";0.0
88;30;"No_especificado";"Vigo";"premium";"2022-11-23";"movil";25;11;11;11;0.7273;"playlist";9.09;6;"indie";3.0
89;20;"M";"Léida";"free";"2019-11-22";"tablet";38;16;16;16;0.6875;"radio";56.25;7;"reggaeton";4.5
90;27;"F";"Toledo";"free";"2020-05-05";"tablet";25;12;12;12;0.75;"playlist";33.33;8;"indie";4.0
91;26;"M";"Sevilla";"free";"2022-08-09";"pc";2;9;9;8;0.7778;"busqueda";33.33;4;"indie";3.2
92;39;"M";"Valencia";"premium";"2020-03-24";"movil";55;12;12;12;0.8333;"recomendacion";25.0;9;"pop";4.67
93;55;"M";"Lugo";"premium";"2020-10-16";"tablet";24;11;11;11;0.6364;"busqueda";27.27;7;"pop";4.0
94;37;"No_especificado";"Vigo";"premium";"2019-02-09";"pc";18;9;9;9;0.5556;"album";11.11;8;"flamenco";3.4
95;29;"M";"Getafe";"premium";"2022-01-31";"movil";64;10;10;10;0.7;"busqueda";0.0;5;"reggaeton";0.0
96;13;"M";"Salamanca";"free";"2020-04-15";"movil";16;7;7;7;1.0;"busqueda";28.57;6;"rock";3.75
97;21;"No_especificado";"Málaga";"premium";"2022-04-06";"movil";30;11;11;11;0.6364;"busqueda";27.27;8;"rap";3.25
98;32;"M";"Vigo";"familiar";"2020-03-11";"movil";93;5;5;5;0.8;"playlist";0.0;4;"pop";3.5
99;26;"No_especificado";"Oviedo";"premium";"2020-06-28";"movil";49;9;9;9;0.8889;"recomendacion";44.44;6;"indie";2.67
100;29;"M";"Granada";"premium";"2023-03-25";"movil";45;8;8;7;0.75;"busqueda";50.0;4;"rock";3.33
101;14;"F";"Badajoz";"premium";"2021-03-15";"movil";67;13;13;12;0.8462;"busqueda";30.77;8;"rock";4.67
102;31;"M";"Léida";"free";"2022-05-20";"movil";25;8;8;7;0.75;"radio";37.5;4;"clasica";4.5
103;18;"F";"Salamanca";"estudiante";"2020-01-14";"pc";38;5;5;5;0.6;"recomendacion";20.0;5;"rap";4.0
104;25;"M";"Salamanca";"free";"2020-02-14";"movil";0;13;13;13;0.6923;"recomendacion";38.46;6;"pop";0.0
105;13;"F";"Salamanca";"premium";"2023-12-21";"pc";32;7;7;7;0.8571;"busqueda";14.29;5;"indie";3.33
106;34;"F";"Sevilla";"premium";"2022-08-19";"movil";31;9;9;8;0.6667;"radio";33.33;5;"flamenco";3.33
107;15;"F";"Salamanca";"premium";"2021-11-12";"pc";28;13;13;13;0.6154;"playlist";15.38;8;"latin";4.33
108;22;"M";"Santander";"free";"2020-02-27";"movil";14;13;13;12;0.7692;"album";30.77;7;"r&b";3.5
109;53;"No_especificado";"Burgos";"premium";"2021-07-26";"pc";66;9;9;9;0.6667;"album";0.0;7;"flamenco";3.67
110;40;"M";"Girona";"familiar";"2021-09-10";"pc";95;9;9;8;0.8889;"album";0.0;7;"pop";2.0
111;16;"No_especificado";"Almería";"premium";"2019-06-09";"movil";20;7;7;7;0.8571;"album";42.86;3;"pop";2.0
112;14;"M";"Sevilla";"premium";"2023-10-22";"tablet";71;12;12;12;0.75;"album";33.33;8;"electronica";3.67
113;21;"M";"Tarragona";"free";"2021-06-30";"movil";1;5;5;5;0.4;"busqueda";40.0;4;"electronica";4.0
114;22;"M";"Bilbao";"premium";"2019-04-20";"pc";40;10;10;10;0.7;"busqueda";20.0;7;"indie";0.0
115;31;"F";"Cádiz";"premium";"2019-06-05";"pc";50;12;12;11;0.5833;"playlist";41.67;8;"rap";4.5
116;18;"F";"Valencia";"free";"2019-09-03";"pc";30;14;14;14;0.7857;"playlist";21.43;6;"electronica";3.67
117;20;"M";"Alicante";"premium";"2022-07-27";"movil";41;7;7;7;0.8571;"recomendacion";0.0;4;"indie";2.0
118;36;"M";"Jaén";"premium";"2019-12-24";"pc";32;13;13;11;0.7692;"busqueda";7.69;4;"r&b";3.67
119;21;"M";"Jerez";"free";"2023-11-17";"movil";28;8;8;8;0.75;"album";50.0;5;"clasica";0.0
120;17;"F";"Gijón";"estudiante";"2019-02-16";"pc";40;8;8;7;0.375;"playlist";37.5;5;"clasica";5.0
121;34;"No_especificado";"Valladolid";"premium";"2020-03-17";"movil";86;8;8;8;0.75;"playlist";25.0;5;"electronica";4.0
122;35;"M";"Valencia";"free";"2021-10-15";"pc";27;5;5;4;0.8;"radio";20.0;4;"electronica";4.5
123;34;"M";"Madrid";"premium";"2022-03-27";"movil";23;20;20;20;0.65;"busqueda";25.0;10;"indie";3.83
124;29;"F";"Oviedo";"familiar";"2023-01-12";"pc";59;5;5;5;0.8;"playlist";20.0;4;"pop";5.0
125;31;"M";"Gijón";"premium";"2023-11-21";"tablet";47;5;5;5;0.4;"busqueda";60.0;4;"rap";2.8
126;32;"M";"Valencia";"premium";"2023-11-24";"pc";38;14;14;13;0.7143;"recomendacion";28.57;9;"indie";5.0
127;28;"No_especificado";"Girona";"premium";"2023-06-10";"tablet";20;8;8;8;0.375;"busqueda";25.0;7;"pop";3.5
128;24;"M";"Oviedo";"free";"2021-01-15";"tablet";40;13;13;13;1.0;"recomendacion";38.46;8;"r&b";3.5
129;31;"F";"Palma";"free";"2021-02-03";"movil";19;7;7;7;1.0;"album";28.57;5;"r&b";0.0
130;50;"No_especificado";"Valladolid";"premium";"2020-10-18";"movil";17;10;10;10;0.8;"album";40.0;4;"r&b";3.67
131;14;"M";"Vigo";"premium";"2021-02-01";"movil";79;5;5;5;0.6;"recomendacion";40.0;5;"rock";5.0
132;28;"F";"Valladolid";"premium";"2023-07-26";"movil";40;3;3;3;0.3333;"radio";33.33;3;"indie";3.2
133;13;"No_especificado";"Getafe";"premium";"2021-01-07";"tablet";53;13;13;13;0.6154;"album";38.46;7;"clasica";3.33
134;34;"F";"Córdoba";"familiar";"2020-11-12";"movil";27;8;8;8;0.75;"radio";25.0;7;"r&b";3.5
135;26;"F";"Palma";"familiar";"2023-12-28";"pc";49;13;13;13;0.9231;"album";15.38;7;"r&b";3.67
136;31;"No_especificado";"Valladolid";"free";"2022-05-11";"movil";3;7;7;7;0.5714;"playlist";42.86;6;"clasica";4.0
137;43;"No_especificado";"Palma";"premium";"2023-10-10";"pc";63;3;3;3;0.6667;"radio";33.33;3;"clasica";4.67
138;23;"M";"Vigo";"premium";"2019-06-17";"movil";40;8;8;8;0.625;"recomendacion";25.0;6;"indie";3.5
139;26;"No_especificado";"Valencia";"premium";"2021-11-30";"tablet";29;15;15;15;0.6667;"album";26.67;7;"latin";0.0
140;22;"No_especificado";"Palma";"free";"2023-02-23";"movil";15;4;4;3;0.5;"busqueda";25.0;3;"r&b";3.0
141;47;"F";"Girona";"free";"2019-08-28";"pc";34;7;7;6;0.7143;"playlist";28.57;6;"rock";3.5
142;39;"F";"Vigo";"premium";"2021-12-07";"tablet";52;7;7;7;0.4286;"album";28.57;5;"pop";4.0
143;14;"No_especificado";"Castellón";"premium";"2023-03-16";"movil";44;9;9;8;0.6667;"busqueda";22.22;7;"rock";4.0
144;39;"M";"Toledo";"premium";"2022-08-04";"pc";19;10;10;10;0.7;"radio";50.0;6;"pop";4.33
145;35;"No_especificado";"Granada";"premium";"2023-01-06";"movil";91;9;9;9;0.7778;"recomendacion";11.11;5;"pop";3.67
146;40;"No_especificado";"Bilbao";"free";"2021-10-11";"pc";41;10;10;9;0.9;"busqueda";20.0;8;"clasica";4.5
147;30;"F";"Almería";"free";"2023-03-28";"movil";34;9;9;9;0.4444;"busqueda";33.33;5;"electronica";3.0
148;19;"No_especificado";"Bilbao";"premium";"2023-07-27";"tablet";60;14;13;13;0.7857;"recomendacion";21.43;8;"flamenco";3.67
149;35;"F";"Alicante";"premium";"2020-02-29";"movil";50;9;9;9;0.5556;"busqueda";33.33;7;"indie";4.25
150;43;"M";"Zaragoza";"free";"2020-06-03";"pc";11;21;20;19;0.8095;"radio";33.33;9;"r&b";3.2
151;25;"F";"Vigo";"premium";"2019-01-22";"movil";46;8;8;8;0.75;"radio";50.0;6;"r&b";3.33
152;15;"F";"Cádiz";"premium";"2020-03-02";"movil";49;10;10;10;0.5;"playlist";0.0;7;"reggaeton";0.0
153;13;"F";"Valencia";"premium";"2022-10-22";"pc";65;7;7;7;1.0;"playlist";28.57;5;"clasica";5.0
154;28;"F";"Castellón";"premium";"2019-03-05";"movil";34;11;11;11;0.7273;"album";36.36;8;"r&b";4.67
155;17;"F";"Bilbao";"free";"2021-05-15";"movil";16;11;11;10;0.8182;"playlist";18.18;6;"rap";4.67
156;36;"F";"Girona";"premium";"2019-02-25";"pc";55;9;9;9;0.6667;"radio";66.67;8;"rock";4.25
157;19;"M";"Jaén";"premium";"2020-05-31";"smart_speaker";28;10;10;10;0.8;"playlist";30.0;6;"clasica";4.5
158;35;"No_especificado";"Bilbao";"premium";"2021-07-20";"movil";30;8;8;8;0.5;"radio";25.0;6;"clasica";3.0
159;28;"No_especificado";"Jaén";"premium";"2019-03-12";"movil";47;5;5;5;0.6;"radio";20.0;4;"rock";0.0
160;31;"No_especificado";"Léida";"premium";"2020-03-19";"pc";62;13;13;13;0.8462;"playlist";30.77;6;"clasica";4.0
161;13;"No_especificado";"Córdoba";"premium";"2022-04-30";"movil";6;12;12;12;0.75;"busqueda";33.33;7;"pop";4.0
162;21;"No_especificado";"Léida";"estudiante";"2019-05-22";"pc";95;18;17;17;0.7778;"album";38.89;9;"flamenco";3.67
163;52;"No_especificado";"Alcalá de Henares";"premium";"2023-06-30";"movil";81;10;10;10;0.9;"radio";50.0;8;"reggaeton";5.0
164;25;"M";"Badajoz";"familiar";"2022-04-14";"pc";6;9;9;9;0.8889;"recomendacion";33.33;7;"rap";3.5
165;13;"M";"Léida";"free";"2020-08-23";"movil";10;6;6;6;0.6667;"playlist";50.0;5;"pop";3.0
166;25;"No_especificado";"Santander";"familiar";"2021-05-23";"movil";99;6;6;6;0.8333;"busqueda";33.33;4;"clasica";4.0
167;38;"M";"Granada";"free";"2021-09-14";"movil";23;11;11;11;0.6364;"album";27.27;7;"indie";0.0
168;17;"No_especificado";"Murcia";"premium";"2023-05-02";"movil";25;9;9;9;0.8889;"playlist";55.56;7;"latin";3.0
169;31;"M";"Santander";"premium";"2023-11-08";"movil";58;3;3;3;0.3333;"radio";0.0;3;"pop";4.33
170;32;"M";"Léida";"premium";"2023-07-14";"tablet";24;10;10;10;0.8;"album";70.0;7;"clasica";4.0
171;35;"M";"Palma";"premium";"2019-10-13";"tablet";53;7;7;7;0.7143;"album";28.57;7;"flamenco";3.25
172;15;"No_especificado";"Barcelona";"free";"2021-06-16";"smart_speaker";8;10;10;10;0.8;"busqueda";40.0;7;"flamenco";3.67
173;36;"F";"Barcelona";"premium";"2022-12-21";"pc";40;11;11;11;0.3636;"busqueda";18.18;7;"r&b";4.0
174;47;"No_especificado";"Bilbao";"premium";"2021-05-07";"pc";55;8;8;8;0.875;"playlist";25.0;3;"indie";4.0
175;22;"No_especificado";"Huelva";"premium";"2019-05-18";"movil";44;13;13;13;0.5385;"radio";23.08;9;"latin";4.0
176;28;"No_especificado";"Castellón";"free";"2021-08-30";"movil";9;18;18;18;0.7222;"playlist";38.89;9;"reggaeton";3.0
177;17;"M";"Alicante";"premium";"2019-02-19";"tablet";59;17;17;16;0.7647;"busqueda";23.53;7;"r&b";3.5
178;38;"No_especificado";"Granada";"premium";"2021-07-02";"pc";57;10;10;9;0.6;"recomendacion";40.0;5;"flamenco";4.5
179;46;"No_especificado";"Badajoz";"premium";"2021-09-05";"movil";34;17;17;17;0.6471;"recomendacion";47.06;9;"rap";4.5
180;48;"M";"Getafe";"free";"2019-08-26";"pc";6;14;14;14;0.8571;"recomendacion";35.71;10;"rock";4.67
181;15;"M";"Tarragona";"premium";"2019-09-30";"movil";9;6;6;5;0.8333;"playlist";33.33;5;"pop";4.5
182;22;"F";"Sevilla";"premium";"2021-11-10";"movil";34;10;10;9;0.8;"radio";20.0;5;"latin";5.0
183;34;"No_especificado";"Gijón";"premium";"2022-04-14";"movil";49;10;10;10;0.7;"album";20.0;7;"latin";4.5
184;13;"M";"Burgos";"premium";"2020-05-14";"movil";37;12;12;11;0.6667;"album";16.67;8;"latin";4.25
185;23;"M";"Jaén";"estudiante";"2021-09-06";"tablet";5;5;5;5;1.0;"radio";60.0;5;"reggaeton";0.0
186;16;"F";"Zaragoza";"premium";"2019-10-27";"movil";29;7;7;7;0.7143;"playlist";57.14;4;"indie";1.5
187;45;"M";"Zaragoza";"premium";"2021-09-05";"tablet";48;10;10;10;0.6;"recomendacion";20.0;6;"indie";4.5
188;35;"No_especificado";"Palma";"premium";"2020-05-20";"smart_speaker";15;7;7;7;0.4286;"busqueda";57.14;4;"r&b";2.5
189;42;"No_especificado";"Cádiz";"premium";"2020-04-06";"movil";71;10;10;10;0.8;"recomendacion";30.0;7;"latin";4.0
190;13;"F";"Valencia";"estudiante";"2023-11-19";"movil";32;11;11;11;0.7273;"album";54.55;7;"electronica";3.5
191;33;"M";"Cádiz";"premium";"2021-03-11";"movil";57;9;9;9;0.6667;"playlist";11.11;7;"pop";5.0
192;19;"M";"Córdoba";"premium";"2021-09-08";"tablet";38;6;6;6;0.8333;"busqueda";16.67;6;"electronica";4.75
193;20;"F";"Palma";"premium";"2020-05-09";"pc";47;8;8;8;0.625;"album";50.0;6;"rap";4.0
194;42;"M";"Huelva";"premium";"2022-05-13";"movil";29;21;21;21;0.7143;"busqueda";42.86;9;"pop";0.0
195;40;"M";"Valladolid";"free";"2023-05-02";"movil";8;13;13;12;0.7692;"busqueda";53.85;8;"electronica";0.0
196;17;"F";"Gijón";"premium";"2021-08-09";"movil";61;12;12;12;0.5833;"playlist";16.67;7;"flamenco";3.75
197;39;"F";"Tarragona";"premium";"2023-09-09";"smart_speaker";62;10;10;10;0.7;"busqueda";50.0;7;"indie";5.0
198;13;"F";"Jaén";"premium";"2021-11-13";"movil";35;4;4;4;0.5;"album";75.0;4;"rock";3.8
199;37;"No_especificado";"Córdoba";"premium";"2021-08-19";"pc";45;12;12;11;0.75;"radio";33.33;7;"indie";3.33
200;15;"F";"Orense";"premium";"2022-06-16";"pc";54;9;9;9;0.6667;"busqueda";33.33;6;"indie";3.6
201;19;"F";"Gijón";"premium";"2023-11-27";"movil";80;5;5;5;0.8;"recomendacion";40.0;5;"flamenco";4.0
202;46;"F";"Burgos";"free";"2020-05-05";"movil";29;10;10;10;0.6;"playlist";30.0;8;"pop";3.8
203;44;"F";"Granada";"premium";"2023-08-19";"movil";46;5;5;5;0.4;"recomendacion";20.0;4;"rap";3.67
204;37;"F";"Badajoz";"premium";"2022-05-09";"pc";74;12;12;11;0.8333;"radio";25.0;7;"indie";4.5
205;30;"No_especificado";"Córdoba";"premium";"2023-07-01";"pc";39;8;8;7;0.375;"busqueda";25.0;6;"electronica";3.0
206;13;"No_especificado";"Cádiz";"premium";"2022-12-30";"movil";43;10;10;10;0.8;"album";20.0;4;"rap";3.2
207;37;"F";"Orense";"premium";"2019-12-22";"movil";63;7;7;7;0.5714;"recomendacion";28.57;5;"indie";4.25
208;34;"F";"Almería";"free";"2020-02-26";"pc";11;6;6;6;0.8333;"recomendacion";16.67;4;"r&b";4.0
209;13;"F";"Murcia";"premium";"2023-12-23";"pc";35;8;8;8;0.625;"album";37.5;6;"indie";2.0
210;24;"M";"Vigo";"premium";"2021-09-18";"movil";38;12;12;12;0.5833;"album";41.67;6;"reggaeton";3.0
211;35;"F";"Santander";"premium";"2019-10-27";"tablet";84;11;11;10;0.4545;"busqueda";36.36;7;"clasica";4.0
212;29;"M";"Alcalá de Henares";"premium";"2023-07-24";"movil";40;15;15;15;0.7333;"recomendacion";20.0;8;"flamenco";4.0
213;24;"M";"Granada";"premium";"2023-07-21";"movil";47;12;12;12;0.5833;"playlist";25.0;6;"rock";4.5
214;18;"F";"Gijón";"estudiante";"2021-11-12";"tablet";53;8;8;8;0.5;"album";12.5;7;"reggaeton";3.5
215;33;"M";"Huelva";"premium";"2022-07-10";"movil";49;11;11;11;0.4545;"album";18.18;7;"indie";4.5
216;33;"F";"Huelva";"familiar";"2021-03-03";"pc";73;6;6;6;0.8333;"busqueda";0.0;4;"pop";3.0
217;13;"M";"Cádiz";"premium";"2023-04-06";"movil";57;11;11;11;0.4545;"album";27.27;7;"indie";3.67
218;19;"M";"Gijón";"estudiante";"2019-08-09";"movil";22;11;11;11;0.5455;"playlist";36.36;8;"reggaeton";3.75
