valoracion_id,usuario_id,cancion_id,puntuacion,fecha,comentario_texto
225,969,1007,3,2024-08-23,
226,2591,238,2,2024-11-20,
227,3488,1623,4,2024-05-17,Sensacional
228,811,1441,5,2022-11-24,
229,1189,1029,5,2022-05-28,Muy buena melodía
230,154,669,5,2024-10-03,
231,4215,1785,3,2023-01-08,Vale la pena escucharla
232,4245,1100,4,2023-10-25,
233,3640,1987,5,2024-09-11,
234,3837,885,5,2022-01-23,Me encanta
235,247,522,5,2024-05-09,Bailazo
236,1109,637,2,2024-08-26,Podría mejorar
237,984,1116,2,2023-12-24,No me gusta
238,4380,730,2,2024-08-01,
239,3107,1846,5,2022-04-03,Me encanta
240,4558,189,3,2022-12-19,Repetida en la radio
241,2796,298,5,2024-08-12,
242,2879,1900,5,2023-08-18,¡Buena canción!
243,788,1139,4,2024-09-25,
244,904,394,2,2022-11-26,
245,4350,346,3,2023-02-27,
246,2129,462,3,2022-09-04,
247,3307,1429,5,2023-04-10,Poco original
248,3842,1273,3,2024-01-16,Repetida en la radio
249,3242,1429,3,2024-09-23,Subidón total
250,2666,819,3,2023-08-28,Sensacional
251,3149,108,3,2022-03-28,Increíble
252,3052,410,3,2023-08-17,
253,3350,200,5,2023-10-07,
254,1929,322,3,2023-09-02,¡Buena canción!
255,2524,651,3,2024-10-14,
256,2311,1068,4,2023-07-27,
257,2122,806,2,2022-04-06,Repetida en la radio
258,2605,838,3,2022-07-31,Imprescindible
259,3006,628,5,2024-07-17,
260,1667,1925,5,2024-11-26,
261,2917,1692,5,2024-11-08,Mi favorita del álbum
262,1198,1237,3,2024-11-22,
263,3614,1234,1,2024-05-24,Sensacional
264,200,1687,3,2022-12-31,
265,4942,1742,5,2022-10-16,Mi favorita del álbum
266,835,1649,5,2023-04-05,
267,410,471,4,2023-05-13,Podría mejorar
268,1134,1969,5,2024-03-04,
269,2523,572,5,2023-07-18,Vale la pena escucharla
270,2406,315,5,2022-10-13,
271,259,552,5,2023-04-10,Subidón total
272,2024,51,3,2022-08-15,
273,1422,1547,4,2023-04-23,Bailazo
274,1308,875,4,2023-07-28,Me encanta
275,4486,549,5,2024-03-13,Muy buena melodía
276,2486,1943,2,2024-06-16,
277,2439,1876,5,2022-04-21,Me encanta
278,564,658,5,2024-08-13,Tema del verano
279,1215,524,5,2022-12-03,Imprescindible
280,4100,454,5,2023-03-11,Subidón total
281,1514,354,5,2024-05-29,Mi favorita del álbum
282,620,66,4,2023-01-20,Perfecto para el gym
283,3502,255,4,2022-09-26,
284,733,988,4,2023-09-29,¡Buena canción!
285,4018,126,3,2023-06-27,Repetida en la radio
286,840,1391,4,2023-07-11,Poco original
287,1554,76,3,2023-10-20,¡Buena canción!
288,1470,783,5,2024-08-21,Excelente artista
289,2569,894,4,2024-07-27,Quedaría mejor sin este verso
290,2430,1052,4,2024-11-29,Sensacional
291,92,149,5,2022-04-30,
292,1797,1382,5,2024-02-11,Bailazo
293,2182,881,5,2024-12-01,
294,4935,1381,4,2023-08-26,Bailazo
295,1673,1971,4,2022-06-03,Repetida en la radio
296,4390,1338,3,2022-11-23,
297,2855,52,4,2024-09-01,
298,4214,1931,1,2022-10-14,Mi favorita del álbum
299,1633,1315,5,2022-07-13,Gran descubrimiento
300,4914,1736,4,2024-01-29,Mi favorita del álbum
301,591,1367,2,2023-07-01,
302,3626,216,2,2022-01-06,
303,487,1836,4,2023-09-04,
304,128,1080,3,2022-01-26,Poco original
305,2206,1916,3,2022-02-26,Repetida en la radio
306,2406,958,5,2023-03-24,Increíble
307,1690,1723,1,2022-02-17,Perfecto para el gym
308,702,1637,5,2023-10-27,Perfecto para el gym
309,493,1361,4,2024-01-06,
310,4645,323,4,2023-11-18,Vale la pena escucharla
311,4421,38,3,2023-09-19,Subidón total
312,1050,634,4,2023-02-17,Me encanta
313,947,277,3,2024-12-28,Quedaría mejor sin este verso
314,857,361,3,2024-03-13,¡Buena canción!
315,1978,1369,4,2024-01-27,Subidón total
316,2965,1197,4,2022-05-04,Sensacional
317,4225,611,5,2022-11-30,
318,2842,711,3,2022-12-31,
319,4179,1490,5,2022-03-04,Poco original
320,2791,1850,4,2024-04-15,¡Buena canción!
321,990,1741,3,2023-11-03,Gran descubrimiento
322,4793,816,2,2022-07-23,
323,3326,742,5,2023-12-15,¡Buena canción!
324,3669,43,3,2024-01-16,
325,2537,1010,4,2023-05-09,Poco original
326,2637,870,5,2024-02-24,No me gusta
327,3972,1976,5,2024-03-21,
328,581,1530,3,2023-07-05,Me encanta
329,2801,1822,4,2023-04-23,Me encanta
330,2928,1388,1,2024-12-28,
331,2772,1123,3,2023-09-30,Mi favorita del álbum
332,3746,1932,4,2023-11-19,Muy buena melodía
333,1151,218,4,2023-05-30,Repetida en la radio
334,2277,1450,3,2023-08-01,
335,1294,1608,5,2022-03-20,Repetida en la radio
336,1033,1262,4,2023-01-17,Tema del verano
337,2544,116,4,2023-02-23,Muy buena melodía
338,4274,896,5,2024-02-22,Obra maestra
339,4048,210,5,2024-04-09,Podría mejorar
340,2521,1499,4,2024-09-14,¡Buena canción!
341,847,142,5,2024-11-26,Vale la pena escucharla
342,4770,450,2,2024-06-08,Quedaría mejor sin este verso
343,4572,660,5,2024-12-06,Increíble
344,3916,1593,5,2023-06-06,Vale la pena escucharla
345,4209,1981,5,2024-02-17,
346,3089,1529,5,2023-11-26,Sensacional
347,3616,1104,5,2023-08-20,
348,2719,1255,4,2023-06-10,¡Buena canción!
349,951,457,4,2024-09-30,Perfecto para el gym
350,899,85,5,2024-05-21,Excelente artista
351,539,948,3,2023-08-07,
352,688,1988,5,2022-04-09,Imprescindible
353,4496,219,5,2023-08-19,
354,351,92,5,2022-01-31,Imprescindible
355,4998,194,1,2024-12-26,
356,2855,1712,5,2023-06-19,
357,906,962,5,2024-02-25,
358,2345,1594,4,2024-08-10,Sensacional
359,4590,1194,4,2023-08-14,Obra maestra
360,3162,130,5,2022-07-07,
361,2609,244,4,2023-02-22,Podría mejorar
362,3883,854,5,2022-01-04,Perfecto para el gym
363,160,1702,3,2024-08-16,
364,157,69,5,2023-11-15,
365,2274,1949,5,2022-07-21,
366,1052,1487,4,2024-08-29,
367,360,706,3,2024-06-02,Subidón total
368,4687,1589,3,2022-02-27,Excelente artista
369,2091,525,3,2022-05-07,
370,3384,120,5,2023-03-15,
371,2099,254,5,2023-02-09,Gran descubrimiento
372,1021,820,5,2024-03-14,Muy buena melodía
373,482,1340,3,2023-07-27,Excelente artista
374,1097,697,4,2022-01-02,
375,1139,1358,3,2024-03-20,Repetida en la radio
376,4950,1188,4,2024-04-06,Podría mejorar
377,3298,1260,2,2023-11-10,
378,1731,1400,3,2023-06-03,
379,2641,1974,5,2023-01-25,Mi favorita del álbum
380,2850,1908,5,2022-08-28,
381,1059,1072,5,2024-06-18,
382,100,285,3,2023-06-26,Bailazo
383,2145,1847,5,2022-07-09,
384,2825,1810,4,2023-10-03,Mi favorita del álbum
385,303,1837,3,2023-01-25,
386,4620,1503,5,2024-04-06,Excelente artista
387,4474,1985,3,2024-10-23,
388,642,1962,5,2022-02-04,Increíble
389,1894,496,3,2024-07-19,Sensacional
390,4163,1587,5,2024-02-11,
391,57,1635,4,2024-01-13,Gran descubrimiento
392,2347,624,4,2022-01-27,
393,965,59,5,2024-12-15,Gran descubrimiento
394,4127,1369,3,2024-11-18,Me encanta
395,1126,247,3,2024-01-12,
396,1535,1640,4,2022-04-08,
397,840,580,5,2022-07-17,
398,3868,1715,5,2023-10-15,Repetida en la radio
399,64,1360,5,2023-08-13,
400,1464,1012,3,2022-11-01,Perfecto para el gym
401,1973,1580,5,2022-07-14,Bailazo
402,4044,1971,4,2022-09-17,Excelente artista
403,958,630,5,2022-04-05,Subidón total
404,3716,128,3,2024-03-17,
405,387,1126,4,2024-09-06,Increíble
406,3978,1350,2,2022-08-31,
407,2848,1747,2,2022-07-08,Excelente artista
408,1446,1237,4,2022-08-04,
409,1455,1190,4,2022-05-29,
410,2738,1244,5,2024-09-14,Increíble
411,2207,338,5,2024-05-09,
412,3794,747,5,2024-04-15,
413,3137,1370,1,2024-02-26,
414,123,1173,4,2024-01-01,Mi favorita del álbum
415,1066,146,2,2022-07-16,
416,532,555,3,2024-09-05,¡Buena canción!
417,4980,960,4,2023-09-12,Me encanta
418,3415,828,4,2022-04-13,
419,4470,688,5,2023-11-27,Subidón total
420,4136,282,3,2024-11-21,¡Buena canción!
421,1402,1090,3,2022-04-27,Gran descubrimiento
422,1307,323,5,2024-11-19,Tema del verano
423,2217,1705,4,2024-07-31,Obra maestra
424,4547,1277,3,2024-07-21,
425,2058,12,5,2022-09-04,Imprescindible
426,2045,107,2,2022-12-02,
427,589,157,4,2024-04-04,Sensacional
428,1440,635,5,2024-11-12,Perfecto para el gym
429,3014,1839,3,2022-09-18,Excelente artista
430,1982,751,4,2022-10-12,
431,4210,169,2,2023-04-17,Mi favorita del álbum
432,538,1811,3,2023-08-16,
433,2684,1377,3,2022-02-02,
434,4178,1262,5,2023-07-21,Vale la pena escucharla
435,113,156,4,2023-11-02,
436,3058,1527,5,2024-07-07,Bailazo
437,1309,1999,4,2024-07-24,Tema del verano
438,4692,1499,4,2024-09-16,Mi favorita del álbum
439,3479,1250,3,2022-09-26,Muy buena melodía
440,3340,269,3,2023-07-02,
441,4566,993,4,2023-02-27,Quedaría mejor sin este verso
442,3017,1346,5,2022-11-07,
443,1784,511,4,2022-11-23,
444,3786,332,5,2024-05-21,Imprescindible
445,2587,1434,5,2024-05-27,Mi favorita del álbum
446,560,1544,4,2022-03-19,Muy buena melodía
447,3676,1924,5,2023-07-31,Me encanta
448,3439,1222,5,2024-11-12,Vale la pena escucharla
449,779,1341,4,2024-09-05,Sensacional
450,3596,41,4,2022-11-18,
451,3868,1832,3,2023-04-27,
452,1373,499,4,2022-05-29,
453,162,237,4,2022-11-07,
454,3808,172,4,2022-10-08,Sensacional
455,148,455,4,2023-06-01,
456,2173,1992,5,2023-12-27,
457,2695,517,4,2022-06-23,
458,639,129,5,2023-05-29,Imprescindible
459,1661,1411,5,2023-12-07,¡Buena canción!
460,1626,1116,5,2023-08-23,Sensacional
461,4871,1263,4,2023-12-31,Bailazo
462,3295,1497,5,2022-01-07,Tema del verano
463,9,1325,2,2022-10-16,Excelente artista
464,4223,1481,4,2023-06-29,Excelente artista
465,2873,503,3,2024-11-15,Mi favorita del álbum
466,1502,1072,5,2023-09-22,
467,2607,1956,4,2022-10-18,Sensacional
468,4926,590,3,2023-11-09,Podría mejorar
469,1649,1812,5,2023-11-09,Poco original
470,3680,1268,5,2022-12-31,¡Buena canción!
471,235,1312,5,2022-12-27,Subidón total
472,1838,1933,4,2023-03-30,Sensacional
473,3557,1184,5,2022-04-05,
474,4628,1615,5,2024-01-16,Gran descubrimiento
475,3007,554,5,2023-09-10,Mi favorita del álbum
476,2224,852,4,2022-11-05,
477,2023,1402,2,2022-04-16,
478,81,515,1,2022-06-29,
479,3370,1449,2,2023-02-06,¡Buena canción!
480,4215,643,5,2024-04-10,Perfecto para el gym
481,4643,1897,5,2023-07-16,No me gusta
482,286,1619,3,2023-08-05,Me encanta
483,4219,1231,3,2023-06-22,
484,638,704,4,2023-09-15,
485,2088,1776,2,2023-08-19,Perfecto para el gym
486,1108,795,4,2024-06-30,
487,4615,1963,5,2023-06-22,Perfecto para el gym
488,998,707,1,2022-04-15,Quedaría mejor sin este verso
489,1518,1679,2,2023-10-01,Excelente artista
490,329,1688,4,2023-03-17,
491,2565,552,5,2022-03-09,Increíble
492,1260,868,5,2023-05-01,Poco original
493,1162,1800,5,2023-06-05,
494,4973,626,3,2024-08-23,Tema del verano
495,2952,434,4,2024-12-21,Podría mejorar
496,1950,370,2,2022-08-17,
497,3351,110,2,2022-06-17,Excelente artista
498,4931,569,4,2022-09-21,Imprescindible
499,880,526,3,2024-07-14,Sensacional
500,2841,1676,3,2023-07-16,Sensacional
501,4986,445,4,2022-09-21,Poco original
502,960,41,5,2022-10-19,
503,4409,1715,5,2022-11-23,
504,4588,890,5,2023-10-13,Obra maestra
505,2383,1939,3,2024-03-10,Podría mejorar
506,3239,1713,2,2023-06-21,Excelente artista
507,2185,1964,5,2022-10-04,Poco original
508,340,1186,5,2022-01-24,Vale la pena escucharla
509,1290,1070,4,2023-03-13,Vale la pena escucharla
510,3748,1876,4,2022-04-24,
511,2301,998,5,2023-05-19,Gran descubrimiento
512,3871,1908,5,2022-02-07,
513,3295,48,5,2022-09-21,Quedaría mejor sin este verso
514,2840,1022,5,2023-10-29,
515,4597,1681,5,2024-04-09,
516,1984,220,5,2024-04-17,
517,1195,1094,5,2022-03-25,
518,703,1352,2,2023-01-27,Subidón total
519,2698,971,5,2023-12-19,Perfecto para el gym
520,2794,233,5,2022-11-08,
521,452,196,3,2024-04-04,Me encanta
522,2992,634,3,2024-06-20,Podría mejorar
523,293,418,5,2024-08-24,Quedaría mejor sin este verso
524,4624,612,4,2022-11-12,Increíble
525,4081,710,5,2022-03-27,
526,125,1913,3,2022-01-25,Repetida en la radio
527,2610,968,5,2024-08-22,Muy buena melodía
528,2898,1809,1,2023-03-05,Poco original
529,3740,217,4,2022-12-20,Mi favorita del álbum
530,2048,153,5,2022-07-27,
531,2424,808,3,2024-02-12,Subidón total
532,1183,435,4,2024-08-02,Obra maestra
533,173,363,5,2023-08-19,
534,2126,1844,5,2024-02-25,Podría mejorar
535,4211,1611,3,2024-05-23,¡Buena canción!
536,4594,1933,5,2023-07-23,
537,2467,379,5,2023-01-01,
538,748,1859,4,2023-10-31,Tema del verano
539,4254,692,5,2024-01-27,
540,2575,1071,4,2022-12-10,Tema del verano
541,708,1821,5,2023-08-04,
542,4202,1638,5,2023-11-22,No me gusta
543,2688,381,5,2024-05-13,Quedaría mejor sin este verso
544,4551,521,5,2024-10-09,Poco original
545,198,1617,3,2024-04-22,Poco original
546,3402,607,2,2022-08-21,
547,541,1321,4,2023-12-23,Excelente artista
548,1136,551,5,2023-03-06,Imprescindible
549,3211,828,3,2024-12-07,Excelente artista
550,3213,313,4,2022-06-16,Podría mejorar
551,733,1676,3,2023-01-30,Podría mejorar
552,102,1248,4,2022-04-14,
553,3419,65,4,2022-09-15,Subidón total
554,96,194,5,2024-10-22,¡Buena canción!
555,3775,1056,5,2024-10-28,
556,3293,379,4,2024-06-03,Vale la pena escucharla
557,2368,409,5,2024-03-06,Bailazo
558,3494,1810,4,2023-06-09,Repetida en la radio
559,455,801,2,2023-12-10,Tema del verano
560,1042,404,4,2024-02-20,
561,261,1299,5,2022-03-06,Repetida en la radio
562,858,81,5,2022-02-06,Increíble
563,4292,1431,4,2024-06-01,Gran descubrimiento
564,3889,1306,4,2022-01-05,¡Buena canción!
565,4107,1326,4,2023-01-24,Tema del verano
566,3971,1933,4,2024-12-17,
567,4655,1174,4,2022-04-25,No me gusta
568,3334,790,4,2024-03-05,Me encanta
569,145,268,3,2024-07-28,Me encanta
570,1856,589,5,2023-07-07,Obra maestra
571,3069,377,5,2022-04-29,
572,4405,10,5,2024-12-21,Me encanta
573,1088,1509,5,2024-04-16,Subidón total
574,2077,1402,4,2022-06-23,Mi favorita del álbum
575,22,186,3,2023-09-30,Tema del verano
576,3817,1159,1,2022-01-28,Vale la pena escucharla
577,3663,217,4,2024-09-04,Perfecto para el gym
578,624,151,1,2023-08-23,Tema del verano
579,4351,539,5,2023-10-30,
580,3804,930,4,2023-08-05,Poco original
581,2190,1543,4,2023-11-11,Increíble
582,2379,397,4,2023-01-15,
583,2408,249,2,2023-10-09,
584,2792,1490,3,2024-03-17,Imprescindible
585,432,533,4,2023-01-22,Subidón total
586,2900,1414,4,2022-02-20,Vale la pena escucharla
587,2267,359,4,2024-12-21,
588,1594,453,3,2024-06-23,
589,686,491,5,2022-01-15,
590,1669,8,5,2023-11-08,
591,3195,374,5,2023-04-20,Podría mejorar
592,4930,1234,3,2024-05-16,
593,3617,1288,2,2024-12-20,Subidón total
594,3306,1064,5,2024-05-22,
595,450,1105,3,2022-05-06,Bailazo
596,3357,1568,3,2024-02-18,
597,4742,713,2,2023-07-27,Gran descubrimiento
598,3776,299,4,2024-04-16,Perfecto para el gym
599,237,1087,5,2022-01-08,¡Buena canción!
600,377,843,4,2024-12-30,
601,1086,20,4,2022-08-25,Poco original
602,197,1390,5,2024-10-29,¡Buena canción!
603,2064,367,3,2023-10-28,Muy buena melodía
604,3578,263,3,2022-01-04,Excelente artista
605,91,1536,3,2023-05-21,Sensacional
606,4609,773,2,2022-10-15,Excelente artista
607,1729,940,3,2024-12-07,
608,3150,1440,5,2023-04-01,
609,2424,1652,5,2022-01-07,Podría mejorar
610,2415,1331,1,2023-09-13,
611,3052,754,2,2023-05-27,
612,3361,942,4,2024-03-30,
613,1945,1724,5,2022-03-18,
614,389,1923,3,2024-08-23,
615,1375,1520,2,2022-04-20,
616,1028,1430,4,2024-10-16,Perfecto para el gym
617,2512,559,4,2022-03-06,Bailazo
618,4075,879,5,2022-12-25,
619,2377,1340,4,2024-10-22,
620,2523,1508,3,2023-05-24,Subidón total
621,4168,295,5,2022-03-03,Quedaría mejor sin este verso
622,3415,1506,5,2024-09-09,Bailazo
623,2318,187,1,2024-11-08,Subidón total
624,2127,148,4,2023-02-16,Vale la pena escucharla
625,2842,423,5,2022-06-15,Sensacional
626,3169,636,5,2024-07-14,
627,3914,1029,4,2024-12-03,Repetida en la radio
628,3011,1035,3,2023-12-30,Sensacional
629,2575,1294,3,2022-12-20,
630,2323,300,3,2024-10-01,Vale la pena escucharla
631,2022,1073,4,2022-11-23,
632,2730,1902,5,2023-01-16,Podría mejorar
633,1227,798,4,2022-02-28,Muy buena melodía
634,4137,1929,5,2023-06-15,
635,719,774,5,2023-04-04,Poco original
636,3436,1445,5,2023-12-05,
637,872,518,3,2024-06-15,
638,1387,1474,4,2024-09-06,
639,2181,1148,4,2022-09-25,Tema del verano
640,2309,1504,5,2022-01-13,Obra maestra
641,4822,891,5,2022-02-24,No me gusta
642,46,1177,4,2022-12-26,Podría mejorar
643,2347,591,4,2024-05-16,
644,2333,1388,5,2023-10-22,Bailazo
645,4493,1090,4,2024-06-22,No me gusta
646,3296,841,5,2024-11-09,
647,3305,1875,3,2022-11-26,
648,4018,632,2,2022-10-16,Quedaría mejor sin este verso
649,990,706,5,2024-11-13,Mi favorita del álbum
650,3975,625,5,2024-06-30,
