id,playlist_id,cancion_id,posicion,fecha_agregada
103,316,1761,80,2021-02-17
104,408,734,187,2022-04-01
105,141,339,103,2023-06-27
106,155,405,41,2023-02-03
107,193,1415,99,2021-03-11
108,332,728,110,2023-11-22
109,320,1301,91,2023-01-16
110,58,1911,175,2021-09-07
111,12,1113,25,2021-11-04
112,234,517,137,2022-06-11
113,319,1498,28,2023-02-18
114,161,1772,148,2024-04-28
115,359,1577,162,2021-07-18
116,366,1391,33,2022-02-19
117,221,19,12,2022-01-02
118,327,1450,8,2023-09-19
119,359,151,159,2021-12-29
120,417,108,97,2022-07-26
121,248,1420,194,2023-06-15
122,166,1739,128,2024-01-11
123,464,548,31,2023-01-12
124,134,117,74,2021-07-13
125,15,255,48,2023-08-21
126,127,463,120,2022-12-29
127,420,1537,187,2023-02-17
128,108,916,159,2024-01-11
129,36,1268,68,2024-01-18
130,475,657,84,2024-09-06
131,79,994,74,2021-08-01
132,130,1921,1,2021-03-11
133,149,1470,152,2024-05-16
134,371,418,147,2022-07-07
135,40,1326,160,2022-04-18
136,24,169,176,2023-04-24
137,355,1748,126,2022-08-07
138,171,361,116,2021-11-20
139,134,168,95,2021-06-27
140,46,1753,133,2024-01-26
141,85,529,56,2023-01-15
142,447,93,117,2022-12-26
143,1,349,78,2023-08-20
144,354,779,59,2022-04-29
145,127,307,41,2023-06-11
146,469,1081,116,2021-07-30
147,369,245,62,2023-07-20
148,17,23,38,2024-01-24
149,330,849,60,2022-12-02
150,120,150,99,2023-05-16
151,110,746,76,2023-06-30
152,280,847,157,2023-06-10
153,222,1679,183,2023-09-25
154,494,1976,100,2023-07-17
155,423,1546,154,2022-10-11
156,378,558,140,2024-04-22
157,83,1660,46,2022-08-11
158,114,767,161,2024-05-30
159,226,406,199,2021-12-17
160,426,304,44,2022-03-18
161,420,1719,105,2023-03-03
162,380,474,159,2022-12-09
163,444,937,7,2022-01-11
164,308,1797,91,2022-09-09
165,434,1023,47,2024-08-02
166,242,1685,98,2021-09-27
167,164,92,10,2021-07-24
168,230,1686,166,2023-04-30
169,389,995,62,2023-01-29
170,266,1000,185,2023-01-16
171,135,1897,192,2021-07-08
172,142,1439,51,2022-02-05
173,115,5,33,2022-01-22
174,58,1329,185,2021-05-11
175,308,779,121,2022-06-08
176,451,829,127,2022-08-13
177,9,1717,90,2024-01-11
178,138,1163,193,2024-01-25
179,215,1954,52,2021-11-23
180,21,1336,80,2024-10-10
181,372,1975,183,2023-08-17
182,454,846,67,2022-06-05
183,345,450,186,2023-12-02
184,341,374,185,2023-08-15
185,242,716,167,2021-07-21
186,392,640,48,2022-12-04
187,401,1683,16,2021-08-30
188,26,933,111,2023-11-30
189,137,1487,108,2023-07-29
190,173,882,92,2022-03-23
191,205,821,174,2021-11-13
192,351,1631,160,2022-09-11
193,113,1727,195,2023-01-18
194,34,1700,96,2023-05-13
195,174,1773,67,2023-02-10
196,273,10,152,2023-05-07
197,372,762,190,2023-05-06
198,20,1179,22,2021-09-25
199,91,608,32,2021-11-25
200,159,1047,119,2022-06-15
201,340,535,81,2021-03-04
202,333,841,105,2021-08-05
203,288,777,167,2023-06-27
204,73,484,32,2023-10-11
205,140,1177,149,2023-07-07
206,393,1643,170,2022-04-07
207,133,1859,129,2022-01-28
208,285,1979,62,2021-08-05
209,224,1039,144,2023-11-25
210,66,1674,169,2023-04-05
211,378,1057,61,2024-07-24
212,135,495,180,2022-03-23
213,253,1968,199,2022-08-28
214,206,1812,36,2022-07-08
215,140,115,167,2023-12-22
216,470,1515,127,2023-04-09
217,185,1030,133,2023-08-12
218,271,553,65,2021-05-30
219,287,687,200,2024-02-23
220,13,1906,195,2023-09-03
221,453,1696,96,2023-09-29
222,149,1716,166,2023-09-28
223,33,821,12,2022-11-23
224,409,1413,17,2022-03-15
225,255,729,140,2023-10-26
226,79,727,189,2021-11-20
227,100,716,105,2022-07-20
228,146,1781,23,2024-05-21
229,75,948,19,2023-05-28
230,417,387,200,2022-04-19
231,206,1580,117,2022-05-08
232,84,486,76,2021-01-19
233,414,1528,47,2024-04-16
234,186,949,32,2022-11-13
235,442,1476,193,2022-08-31
236,233,943,87,2022-03-09
237,208,1586,192,2023-08-08
238,233,459,32,2022-11-02
239,461,187,137,2024-10-05
240,428,1356,158,2023-09-09
241,441,826,198,2022-01-15
242,446,154,166,2024-01-09
243,117,1015,149,2022-01-07
244,140,1071,186,2023-10-15
245,432,174,163,2021-08-24
246,373,1787,104,2023-06-04
247,350,999,88,2023-01-12
248,182,1096,165,2021-11-01
249,463,71,147,2023-08-06
250,339,220,81,2024-03-02
251,2,1268,33,2023-05-02
252,226,262,121,2022-12-01
253,396,596,11,2021-08-09
254,180,187,14,2022-01-27
255,487,358,124,2023-12-05
256,280,1375,185,2023-06-03
257,35,801,175,2023-06-18
258,70,73,145,2022-01-11
259,176,1251,28,2021-11-26
260,168,844,18,2022-11-13
261,208,1879,87,2024-03-30
262,89,1055,187,2023-12-13
263,128,1709,21,2023-07-12
264,100,1342,175,2023-04-22
265,224,1424,44,2023-07-17
266,171,1277,116,2022-08-10
267,380,1313,161,2023-10-14
268,323,1032,99,2022-06-19
269,43,719,40,2021-12-08
270,376,437,187,2022-07-15
271,423,186,42,2022-03-10
272,311,1794,154,2022-08-21
273,399,1480,4,2022-09-12
274,351,1281,8,2022-01-03
275,288,394,71,2023-04-30
276,314,19,196,2023-10-22
277,247,457,27,2022-09-28
278,388,1170,11,2022-09-01
279,481,761,151,2021-07-22
280,279,369,74,2022-02-01
281,27,1508,42,2024-01-26
282,53,1464,46,2021-10-20
283,315,315,109,2021-12-03
284,285,480,155,2022-04-09
285,463,629,139,2023-02-15
286,151,630,115,2022-10-23
287,124,464,133,2021-04-18
288,487,468,83,2024-08-07
289,29,895,146,2024-10-27
290,181,1710,95,2024-05-21
291,41,315,175,2024-02-22
292,135,1223,86,2022-04-13
293,13,541,17,2023-07-11
294,182,398,84,2022-01-18
295,341,261,35,2023-03-13
296,190,356,185,2023-12-03
297,44,1307,2,2022-02-05
298,54,177,127,2023-02-03
299,118,1028,139,2021-10-22
300,495,1277,199,2024-06-28
301,72,644,51,2021-11-17
302,417,1727,28,2023-03-08
303,185,1121,12,2023-10-23
304,301,56,22,2021-10-15
305,84,1509,8,2021-01-22
306,160,1666,6,2021-12-16
307,125,1115,103,2024-12-10
308,80,507,148,2024-04-18
309,415,1437,77,2024-05-14
310,326,1137,28,2023-01-04
311,212,1384,152,2022-10-18
312,457,385,117,2023-01-22
313,156,464,140,2024-03-03
314,29,1462,1,2024-09-19
315,291,1197,33,2022-07-27
316,290,1367,188,2022-10-06
317,223,1862,58,2023-12-08
318,38,795,198,2022-07-18
319,99,304,68,2023-11-18
320,112,1110,86,2023-05-19
321,269,409,29,2022-12-03
322,125,777,186,2024-03-13
323,341,1862,96,2023-03-21
324,157,1502,77,2022-10-09
325,49,442,66,2021-12-01
326,139,1916,23,2022-06-19
327,434,883,128,2023-08-27
328,135,667,195,2021-12-02
329,64,1256,141,2023-12-10
330,272,1047,79,2021-08-31
331,157,1723,142,2022-08-07
332,419,1929,73,2023-07-05
333,428,1700,45,2023-02-05
334,184,1268,4,2024-07-12
335,114,1569,6,2024-05-27
336,401,627,148,2021-06-26
337,41,1238,180,2023-09-13
338,489,366,50,2023-07-26
339,225,1409,60,2023-06-08
340,172,1770,188,2022-07-26
341,372,474,72,2023-12-07
342,198,1793,114,2024-02-03
343,399,1697,70,2022-02-25
344,241,235,65,2023-04-17
345,186,238,108,2023-05-31
346,121,1319,169,2023-08-27
347,32,1815,23,2023-05-07
348,144,1367,116,2023-05-10
349,239,1040,54,2021-09-09
350,75,98,83,2023-11-13
351,16,1450,162,2024-01-30
352,172,738,129,2022-10-14
353,29,535,40,2024-11-03
354,41,1956,21,2023-10-02
355,64,140,54,2023-03-18
356,8,1899,142,2022-08-25
357,202,216,92,2024-04-30
358,479,727,35,2023-02-06
359,187,487,79,2022-04-02
360,7,1726,101,2021-06-13
361,219,1792,2,2023-03-22
362,98,835,73,2023-07-12
363,44,1634,126,2022-04-19
364,175,542,140,2021-09-24
365,357,78,120,2021-10-02
366,356,1240,191,2023-03-11
367,179,776,34,2024-03-26
368,116,1950,13,2023-05-17
369,500,1476,18,2022-05-10
370,415,1082,48,2024-06-26
371,81,105,61,2021-09-24
372,470,1303,39,2022-08-16
373,233,834,101,2022-09-19
374,291,363,30,2022-11-17
375,274,600,175,2022-06-08
376,200,169,54,2021-05-21
377,209,341,181,2022-09-02
378,406,1460,147,2023-06-18
379,407,1188,51,2024-05-10
380,280,1522,111,2023-04-06
381,58,877,59,2021-07-18
382,138,370,166,2023-12-05
383,82,1838,181,2023-04-29
384,101,468,101,2024-03-17
385,245,1364,189,2023-01-08
386,274,52,168,2021-06-23
387,96,1119,27,2024-05-13
388,139,924,74,2023-02-02
389,136,671,162,2022-03-28
390,405,1171,148,2023-10-24
391,27,786,113,2023-04-06
392,69,1153,192,2024-02-03
393,466,257,1,2023-07-27
394,192,1724,191,2024-07-18
395,342,979,166,2022-03-05
396,175,1992,69,2021-12-26
397,268,1654,146,2023-11-04
398,137,782,142,2023-06-02
399,418,248,152,2023-10-12
400,150,1427,39,2022-09-20
401,76,1242,111,2024-05-04
402,124,37,78,2021-08-02
403,460,1713,178,2022-07-26
404,111,630,160,2024-07-10
405,142,764,194,2021-03-13
406,79,1884,56,2021-05-25
407,471,1087,31,2023-07-09
408,419,1953,167,2022-11-25
409,15,337,181,2024-05-26
410,313,1313,94,2022-11-06
411,274,38,135,2021-10-05
412,239,637,159,2022-03-20
413,147,8,53,2021-03-09
414,128,1147,40,2023-09-12
415,37,519,138,2023-11-12
416,47,1470,3,2021-05-06
417,267,4,14,2022-12-26
418,352,1610,70,2024-03-11
419,415,549,78,2024-03-08
420,253,207,111,2023-07-09
421,22,1102,139,2024-02-02
422,342,362,75,2021-04-28
423,274,260,179,2022-01-27
424,381,1235,23,2023-11-09
425,80,687,182,2024-12-17
426,115,627,1,2021-04-21
427,111,1119,50,2024-08-25
428,158,153,189,2021-04-15
429,407,1201,161,2024-11-26
430,211,1685,60,2024-06-02
431,400,979,11,2022-06-28
432,165,440,94,2022-04-07
433,267,1731,194,2022-08-13
434,449,54,74,2022-04-27
435,277,808,121,2022-01-16
436,77,236,134,2023-09-03
437,443,881,195,2024-02-15
438,58,1755,26,2021-04-05
439,120,899,167,2023-01-26
440,395,224,62,2022-12-15
441,30,304,93,2022-07-07
442,132,685,41,2023-09-28
443,200,1534,125,2021-10-06
444,202,1866,33,2023-07-21
445,379,1933,135,2023-09-21
446,229,704,132,2024-10-14
447,19,385,137,2024-06-07
448,257,1435,167,2022-08-19
449,50,1709,197,2023-03-17
450,221,653,116,2021-06-27
451,383,950,171,2023-10-05
452,428,82,189,2023-09-02
453,308,161,149,2022-03-13
454,465,1652,173,2024-02-04
455,24,394,156,2023-03-13
456,31,68,195,2024-05-11
457,347,651,125,2022-09-16
458,59,389,126,2021-11-11
459,112,704,53,2022-08-25
460,126,1887,61,2021-10-19
461,355,1813,44,2022-11-20
462,285,471,111,2021-09-25
463,268,89,79,2023-02-15
464,436,1925,23,2022-10-01
465,65,256,114,2021-07-10
466,444,312,68,2021-03-28
467,212,1572,70,2022-02-24
468,213,734,176,2021-12-05
469,238,739,75,2023-02-11
470,158,1905,177,2021-11-11
471,157,447,109,2023-01-01
472,11,1759,163,2021-05-03
473,483,8,93,2023-04-06
474,329,1124,128,2024-07-14
475,214,1222,186,2024-01-21
476,320,405,66,2022-08-20
477,48,1346,112,2024-08-30
478,44,1206,178,2022-03-03
479,111,155,132,2023-12-11
480,36,1040,139,2023-10-10
481,457,971,17,2022-08-11
482,273,748,31,2023-09-08
483,278,1727,26,2023-06-17
484,258,1118,113,2023-06-09
485,144,1067,2,2023-08-06
486,89,711,189,2023-08-27
487,441,1727,160,2022-09-03
488,188,1056,158,2021-04-18
489,214,211,36,2023-09-01
490,175,311,157,2021-09-04
491,108,1483,38,2023-12-15
492,116,986,141,2023-11-18
493,187,1185,2,2022-02-26
494,478,1170,25,2021-12-31
495,259,320,91,2024-08-04
496,415,1507,36,2023-12-09
497,343,422,165,2024-02-26
498,111,697,130,2023-11-14
499,16,53,45,2023-08-17
500,125,713,26,2024-07-28
501,412,798,34,2021-04-29
502,32,1108,174,2022-06-25
503,236,921,164,2021-07-01
504,374,442,27,2024-07-30
505,173,1776,119,2022-10-11
506,37,1793,171,2024-01-08
507,396,1120,4,2022-03-08
508,363,981,72,2023-08-19
509,31,826,176,2024-06-10
510,222,930,58,2023-11-20
511,294,1983,51,2023-04-07
512,489,1124,155,2023-09-24
513,352,1901,101,2023-07-25
514,183,939,142,2023-02-03
515,335,1602,99,2021-09-28
516,432,968,157,2021-11-19
517,386,922,58,2022-11-19
518,214,1799,14,2023-06-22
519,281,1823,105,2024-04-11
520,405,700,67,2023-04-21
521,74,1594,57,2024-05-31
522,13,1966,60,2023-07-31
523,230,590,133,2023-01-12
524,174,1683,157,2023-05-11
525,29,305,92,2024-04-17
526,212,1726,23,2022-04-27
527,195,1609,166,2023-12-29
528,156,1083,174,2024-08-17
529,393,1015,71,2021-10-05
530,419,292,95,2023-02-21
531,446,1385,170,2024-01-24
532,113,567,45,2022-11-01
533,47,823,124,2021-10-04
534,119,1035,29,2022-12-24
535,18,1071,172,2023-09-21
536,192,889,36,2024-09-17
537,351,257,3,2022-12-01
538,334,735,72,2022-03-29
539,60,1792,195,2022-10-04
540,3,1079,191,2022-08-14
541,234,295,200,2022-07-11
542,257,1826,32,2022-11-12
543,348,249,103,2021-08-07
544,88,1439,170,2022-09-27
545,266,450,121,2023-07-15
546,275,1158,189,2023-12-22
547,261,120,167,2022-01-04
548,157,1654,81,2022-06-05
549,102,1154,140,2022-10-13
550,212,1379,115,2021-12-14
551,204,89,32,2023-07-14
552,317,519,193,2023-07-07
553,475,334,111,2024-09-29
554,447,1333,106,2023-01-03
555,52,1697,184,2022-09-12
556,177,71,138,2023-09-20
557,309,428,173,2022-06-22
558,431,800,143,2024-04-02
559,379,1857,106,2022-12-14
560,440,394,105,2021-10-25
561,7,1475,52,2021-07-24
562,452,815,165,2023-03-20
563,317,841,119,2023-05-27
564,488,570,132,2023-05-01
565,33,1034,145,2023-01-28
566,53,117,130,2021-11-07
567,280,449,111,2023-03-04
568,23,1811,140,2022-08-16
569,335,1632,62,2021-07-06
570,344,1503,105,2024-04-28
571,332,446,36,2024-01-03
572,351,1287,139,2022-10-16
573,396,879,91,2022-04-22
574,150,251,55,2022-07-25
575,405,595,54,2023-10-30
576,439,345,159,2021-06-29
577,448,1238,117,2024-06-25
578,25,1161,121,2022-06-27
579,490,461,120,2024-11-24
580,203,564,67,2022-09-06
581,79,606,161,2021-10-16
582,147,1896,153,2021-09-07
583,78,45,172,2021-11-09
584,253,1627,56,2023-08-16
585,89,1952,40,2023-12-20
586,381,1179,62,2024-01-20
587,463,144,13,2023-04-13
588,48,1855,24,2024-08-30
589,357,1002,172,2022-05-10
590,476,885,130,2022-10-29
591,293,176,193,2024-04-19
592,415,1788,135,2023-12-16
593,61,1939,181,2022-03-03
594,480,1814,188,2023-04-14
595,498,1966,155,2023-12-05
596,229,687,44,2024-07-09
597,336,1168,165,2023-06-25
598,459,786,178,2023-09-18
599,67,499,32,2021-09-26
600,138,1139,24,2023-05-09
601,99,1297,129,2024-01-01
602,135,1645,131,2022-02-09
603,51,1172,97,2023-12-19
604,70,810,177,2022-02-26
605,357,73,25,2022-02-13
606,140,1229,148,2023-06-02
607,93,510,68,2023-03-27
608,134,1385,3,2022-02-21
609,415,1590,134,2024-07-28
610,152,631,21,2023-10-11
611,426,1874,40,2021-10-02
612,494,1332,120,2023-06-18
613,495,577,159,2024-01-05
614,464,1340,141,2023-06-17
615,444,973,78,2021-11-01
616,399,221,158,2022-09-23
617,457,912,34,2022-10-30
618,187,50,156,2021-09-20
619,162,1934,24,2022-01-21
620,292,2,23,2023-08-08
621,383,688,198,2023-10-12
622,260,1904,107,2021-07-08
623,132,1879,23,2023-10-23
624,434,1498,7,2023-12-05
625,445,1958,112,2023-04-26
626,13,1742,117,2023-11-08
627,175,1668,175,2021-08-22
628,362,519,37,2021-07-26
629,308,942,173,2022-12-02
630,306,285,21,2021-12-27
631,341,1348,89,2023-01-20
632,383,220,154,2023-10-12
633,250,1423,124,2021-12-12
634,404,1842,77,2022-12-02
635,21,1746,174,2024-01-03
636,257,126,11,2022-08-09
637,112,516,105,2022-11-18
638,335,953,149,2021-07-09
639,332,1129,95,2024-03-26
640,48,1876,141,2024-10-11
641,175,1208,193,2021-12-05
642,290,1575,26,2023-02-05
643,352,341,112,2024-04-06
644,313,670,58,2023-03-10
645,352,756,11,2024-06-13
646,269,1396,50,2023-06-16
647,465,1176,151,2023-12-01
648,375,1611,88,2022-12-04
649,142,773,161,2022-02-08
650,129,1147,13,2021-08-23
651,152,346,183,2024-06-08
652,350,1086,46,2023-03-28
653,269,941,125,2023-03-23
654,224,1066,19,2023-02-15
655,57,1436,104,2021-10-03
656,319,828,86,2023-05-28
657,445,1544,97,2022-08-22
658,8,461,36,2022-04-24
659,9,629,151,2024-05-13
660,92,1267,137,2022-02-25
661,11,496,156,2021-10-22
662,102,1033,34,2022-07-23
663,465,789,191,2023-10-28
664,77,549,119,2023-03-12
665,314,1486,136,2023-10-31
666,202,454,127,2023-12-02
667,91,711,124,2021-07-22
668,476,474,60,2022-11-11
669,201,738,110,2022-08-08
670,142,483,117,2021-04-03
671,4,942,127,2023-06-03
672,363,710,6,2023-09-26
673,411,315,15,2023-06-01
674,190,1173,162,2024-01-15
675,48,1580,12,2024-10-07
676,436,246,67,2023-03-21
677,88,34,131,2022-11-26
678,241,1527,3,2022-05-22
679,236,1061,87,2022-01-04
680,364,1380,81,2022-02-01
681,318,214,143,2022-07-13
682,147,530,30,2021-06-18
683,92,462,189,2021-10-07
684,183,367,51,2022-11-30
685,303,1761,194,2021-11-04
686,152,1675,36,2023-10-14
687,84,1922,167,2021-04-14
688,159,1644,50,2022-12-15
689,392,627,21,2022-12-24
690,476,1465,189,2022-01-28
691,245,1776,36,2023-05-16
692,157,1540,190,2022-09-04
693,322,393,111,2024-06-07
694,237,213,132,2021-10-25
695,313,847,102,2023-05-11
696,377,699,17,2022-07-18
697,415,1981,26,2024-10-08
698,364,1824,192,2022-02-10
699,16,423,2,2023-05-27
700,56,901,80,2022-04-11
701,262,1924,67,2024-01-23
702,75,993,151,2023-06-23
703,72,1240,101,2022-02-19
704,120,593,60,2023-07-01
705,401,1814,56,2022-01-31
706,85,1672,1,2022-07-08
707,403,663,24,2022-08-16
708,413,1437,157,2021-07-22
709,398,941,183,2022-10-10
710,25,1189,151,2023-04-02
711,89,1836,177,2023-09-12
712,500,1568,196,2022-03-18
713,54,467,161,2023-05-24
714,457,590,196,2023-01-12
715,172,109,157,2023-01-08
716,403,401,46,2023-05-07
717,74,1211,101,2024-09-03
718,198,1509,22,2024-08-18
719,112,88,4,2023-03-29
720,346,1074,78,2022-08-02
721,442,1256,15,2022-04-16
722,36,747,106,2024-09-29
723,198,1225,56,2024-01-22
724,450,1955,8,2021-10-19
725,320,619,179,2023-03-26
726,268,760,67,2023-04-19
727,168,895,166,2022-12-30
728,422,1640,51,2023-05-01
729,179,426,194,2023-11-04
730,206,1972,32,2022-03-02
731,96,1194,69,2024-11-25
732,82,1394,16,2022-12-14
733,110,1475,180,2022-12-24
734,98,9,1,2023-03-16
735,144,190,74,2023-10-29
736,447,461,120,2022-07-07
737,57,444,90,2022-01-30
738,215,1628,100,2021-03-10
739,223,525,78,2024-05-18
740,495,1656,83,2023-12-14
741,54,777,139,2022-11-08
742,452,1248,101,2023-05-08
743,375,1876,48,2023-06-22
744,175,13,8,2021-08-21
745,389,1840,139,2022-12-02
746,121,1419,182,2023-07-03
747,275,288,91,2023-04-11
748,355,682,124,2022-09-07
749,482,206,106,2021-12-26
750,124,66,106,2022-01-15
751,137,1575,74,2023-08-12
752,400,1259,176,2022-05-28
753,241,49,163,2022-05-06
754,200,400,73,2021-08-19
755,350,941,99,2023-02-14
756,297,208,147,2023-07-13
757,483,479,195,2022-06-30
758,39,221,159,2021-11-18
759,492,89,53,2022-04-14
760,294,918,3,2023-12-10
761,95,549,111,2022-12-26
762,267,1950,186,2022-06-06
763,450,77,14,2021-12-26
764,462,1188,5,2023-10-24
765,67,198,28,2022-02-16
766,82,1834,96,2022-12-11
767,220,426,59,2023-04-02
768,79,619,135,2021-06-06
769,289,1260,74,2022-08-04
770,188,1898,46,2021-07-03
771,334,795,159,2021-11-25
772,140,53,172,2023-10-02
773,475,1276,173,2024-04-01
774,406,1329,91,2023-04-22
775,286,1659,66,2023-11-21
776,357,1049,110,2022-03-05
777,42,543,165,2023-04-07
778,408,34,100,2022-09-08
779,96,1224,19,2024-07-26
780,468,671,171,2024-09-11
781,238,1979,155,2023-05-13
782,82,605,174,2022-10-29
783,4,1149,151,2023-07-01
784,81,1587,196,2021-10-28
785,188,404,85,2021-08-02
786,387,1191,77,2023-05-05
787,474,750,194,2021-08-23
788,255,747,87,2022-12-25
789,312,402,193,2023-11-26
790,20,1948,30,2021-11-08
791,196,1661,14,2023-09-24
792,3,79,15,2023-02-09
793,311,494,184,2022-10-15
794,148,1216,133,2023-03-23
795,469,1775,36,2021-12-12
796,433,1919,142,2022-12-07
797,309,1056,160,2022-08-01
798,244,939,10,2022-05-18
799,110,1423,132,2023-04-26
800,298,338,173,2022-06-13
801,478,796,36,2021-05-13
802,264,1306,123,2024-08-27
803,480,129,86,2022-10-30
804,185,965,27,2024-01-02
805,358,520,126,2022-07-24
806,488,235,6,2023-09-25
807,303,825,143,2021-12-11
808,429,165,114,2024-01-15
809,472,949,35,2024-02-26
810,111,926,97,2024-04-16
811,418,1274,100,2024-02-24
812,393,616,196,2021-11-09
813,456,312,80,2023-02-02
814,318,469,153,2022-11-29
815,230,329,151,2022-10-16
816,42,249,3,2022-10-30
817,337,1811,122,2024-01-17
818,241,939,14,2022-12-16
819,216,1185,163,2023-06-22
820,78,490,197,2021-10-28
821,225,66,24,2023-07-16
822,262,1060,27,2023-11-15
823,135,121,169,2022-01-21
824,480,1781,63,2023-03-20
825,392,559,148,2023-09-05
826,83,691,138,2023-01-27
827,122,1739,142,2022-01-13
828,427,22,45,2023-08-23
829,41,1228,51,2023-11-28
830,247,1575,152,2023-02-26
831,158,1868,123,2022-02-01
832,385,1313,116,2021-12-10
833,412,80,114,2021-07-04
834,338,1768,118,2021-05-08
835,271,917,74,2021-08-10
836,433,200,21,2023-07-15
837,21,631,118,2024-01-22
838,354,168,6,2022-03-05
839,332,78,28,2023-10-10
840,55,934,71,2021-11-23
841,275,1139,143,2023-02-16
842,26,1743,4,2024-04-18
843,100,1376,3,2022-11-02
844,268,1501,82,2023-07-21
845,146,1728,59,2024-03-26
846,404,1099,174,2022-07-09
847,151,1422,15,2023-06-30
848,108,1345,105,2023-09-30
849,227,237,126,2021-10-18
850,60,1239,146,2022-05-07
851,169,1628,134,2022-08-17
852,91,1847,168,2021-07-07
853,480,1798,26,2023-05-11
854,95,68,30,2022-08-30
855,328,1714,96,2021-05-12
856,89,1499,145,2024-05-25
857,92,724,89,2021-07-13
858,146,1298,192,2024-04-21
859,244,1181,93,2022-03-23
860,369,1810,30,2023-06-20
861,178,513,12,2023-03-31
862,103,220,188,2023-06-18
863,353,1576,63,2024-03-13
864,94,1226,26,2024-02-13
865,437,1564,184,2022-07-27
866,349,1859,11,2022-05-25
867,85,797,116,2023-03-21
868,204,1108,121,2023-07-17
869,329,1256,56,2024-10-03
870,172,1197,45,2022-09-13
871,498,593,124,2024-02-01
872,41,815,36,2023-11-21
873,475,1614,70,2024-03-16
874,118,536,109,2021-11-26
875,244,716,129,2021-10-28
876,475,108,126,2024-04-23
877,59,999,168,2021-10-10
878,104,305,171,2023-06-27
879,427,1615,82,2023-08-14
880,463,1695,155,2023-04-24
881,189,1625,177,2021-12-29
882,4,61,54,2023-02-26
883,155,424,95,2022-06-20
884,398,188,5,2022-12-19
885,395,1017,16,2023-05-07
886,468,599,20,2024-02-12
887,43,1576,67,2022-01-05
888,488,682,185,2023-12-06
889,151,1117,183,2022-11-06
890,282,121,181,2023-11-09
891,22,558,160,2023-07-12
892,211,1370,194,2024-03-15
893,98,112,170,2023-08-14
894,169,1625,106,2021-12-21
895,186,1070,123,2022-09-06
896,184,611,20,2024-07-26
897,137,581,65,2023-10-18
898,143,5,12,2022-07-06
899,161,1867,137,2023-07-18
900,460,589,139,2022-11-21
